Kronecker Compressive Sensing,"Marco F. Duarte, Richard G. Baraniuk, ",2012,169,Fast sparse reconstruction algorithm for multidimensional signals,Fast OMP algorithm for 3D parameters super-resolution estimation in bistatic MIMO radar,Multiple-input–multiple-output radar super-resolution three-dimensional imaging based on a dimension-reduction compressive sensing,Fast algorithm for sparse signal reconstruction based on off-grid model,Sparsity-aware adaptive block-based compressive sensing,Spatio-Temporal Kronecker Compressive Sensing for Traffic Matrix Recovery,Sparse Reconstruction of Compressive Sensing Multi-Spectral Data Using an Inter-Spectral Multi-Layered Conditional Random Field Model,Design and Analysis of In-Network Computation Protocols With Compressive Sensing in Wireless Sensor Networks,Distributed correlated data gathering in wireless sensor networks via compressed sensing,Sparsity order estimation for single snapshot compressed sensing,Dictionary learning from quadratic measurements in block sparse models,Compressive imaging by generalized total variation minimization,Compressed sensing based real-time control in a smart grid,Approximate message passing algorithm for complex separable compressed imaging,Full reconstruction of focal-field distribution using compressed sensing,Hybrid Kronecker compressive sensing for images,Permutation enhanced parallel reconstruction for compressive sampling,Tensor-Based compressed estimation of frequency-selective mmWave MIMO channels,Fast holo-kronecker compressive sensing for hyperspectral image,Compressive sensing multi-spectral demosaicing from single sensor architecture,Fast compressive sensing of high-dimensional signals with tree-structure sparsity pattern,Optimal Spatio-Temporal Projections with Holo-Kronecker Compressive Sensing of Video Acquisition,Compressive Tensor Sampling with Structured Sparsity,Kronecker covariance sketching for spatial-temporal data,Two-Dimensional Compressive Spectrum Sensing in Collaborative Cognitive Radio Networks,Generalized nested sampling for compression and exact recovery of symmetric Toeplitz matrices,2D sparse dictionary learning via tensor decomposition,Compressive large-scale image sensing,RGB detectors on compressive snapshot multi-spectral imagers,Synthetic coded apertures in compressive spectral imaging: Experimental validation
Matching shape sequences in video with applications in human movement analysis,"Veeraraghavan A, A. K. Roy-Chowdhury, R. Chellappa, ",2005,169,Linear systems with sparse inputs: Observability and input recovery,Dynamics Based Trajectory Segmentation for UAV videos,Dense depth maps-based human pose tracking and recognition in dynamic scenes using ridge data,Determinants in human gait recognition,An optimal control approach for the registration of image time-series,A Frequency Domain Analysis Based Gait Feature Representation,Mixture of Poses for human behavior understanding,Invariant Classification of Gait Types,From Videos to Verbs: Mining Videos for Activities using a Cascade of Dynamical Systems,Topology matching for 3D video compression,Moving shape dynamics: A signal processing perspective,Statistical analysis on Stiefel and Grassmann manifolds with applications in computer vision,Moving vistas: Exploiting motion for describing scenes,Multilinear feature extraction and classification of multi-focal images with applications in nematode taxonomy,Kernel Learning for Extrinsic Classification of Manifold Features,Deep Learning on Lie Groups for Skeleton-Based Action Recognition,Learning human behaviour patterns in work environments,Dynamic modeling of streaklines for motion pattern analysis in video,Pedestrian detection via contour fragments,Recent advances in human behaviour understanding: A survey,A Review of Vision-Based Gait Recognition Methods for Human Identification,Part Based Recognition of Pedestrians Using Multiple Features and Random Forests,Automatic identification of solid-phase medication intake using wireless wearable accelerometers,Tangent bundle for human action recognition,Visual analysis framework for two-person interaction,Analyzing Human Movements from Silhouettes via Fourier Descriptor,RGB-D based daily activity recognition for service robots using clustering with Gaussian Mixtures and FastDTW,Correlation coefficient for registration of monomodal brain images using Fast Walsh Hadamard transform,Depth map-based human activity tracking and recognition using body joints features and Self-Organized Map,Spherical-Homoscedastic Shapes
Adaptive cross-layer protection strategies for robust scalable video transmission over 802.11 WLANs,"M. van der Schaar, S. Krishnamachari, Sunghyun Choi, Xiaofeng Xu, ",2003,169,Cross layer optimization for scalable video multicast over 802.11 WLANs,Adaptive control algorithm for networked multimedia applications,A Tutorial and Review on Inter-Layer FEC Coded Layered Video Streaming,Experimenting With Commodity 802.11 Hardware: Overview and Future Directions,Network-aware adaptation with real-time channel statistics for wireless LAN multimedia transmissions in the digital home,A novel approach towards QoS provisioning in delay-sensitive flows over wireless networks,An adaptive ARQ enhancement to support multimedia traffic using 802.11 wireless LANs,Robust Video Decoding through Simultaneous Usage of Residual Source Information and MAC Layer CRC Redundancy,Resource Allocation for Multicarrier D2D Video Transmission Based on Exact Symbol Error Rate,Joint uplink and downlink optimization for video conferencing over wireless LAN,Cross-layer Video Streaming Over 802.11e-Enabled Wireless Mesh Networks,Application control for fast adaptive error resilient H.264/AVC streaming over IP wireless networks,Adaptive video transmission in MANETs,Integrated application MAC modeling for cross-layer optimized wireless video,Embedded packet video transmission over wireless channels using power control and forward error correction,Throughput and delay analysis in video streaming over block-fading channels,Scalable video multicast using flexible multicast service over IEEE 802.11 WLAN,Link Adaptation Based on Video Quality Monitoring for H.264/AVC Video Transmission over WLANs,Optimal Resource Allocation for Multi-user Video Streaming over mmWave Networks,Cross layer design of wireless LAN based on H.264/SVC and IEEE 802.11e,Virtual Theatre,Adaptive Cross-layer QoS for priority-based video streaming over wireless channel,A cross-layer approach for efficient MPEG-4 video streaming using multicarrier spread-spectrum transmission and unequal error protection,Cross-layer aware packetization strategies for optimized wireless multimedia transmission,Cross-Layer Optimization for Scalable Video Coding and Transmission Over Broadband Wireless Networks,Study on QoS of Multimedia Traffics in MAC Layer Based on 802.11,Optimized decoding scheme for erroneous MPEG-4 FGS bitstream,Adaptive packet encapsulation of Scalable Video Coding bitstream,Wireless access architectures for video applications: the approach proposed in the MEDIEVAL project,Cross-Layer Design: A New Paradigm
The RoboKnee: an exoskeleton for enhancing strength and endurance during walking,"J. E. Pratt, B. T. Krupp, C. J. Morse, S. H. Collins, ",2004,169,Spring uses in exoskeleton actuation design,Muscle force estimation method with surface EMG for a lower extremities rehabilitation device,Biologically-inspired soft exosuit,A novel compact compliant actuator design for rehabilitation robots,Adaptive position anticipation in a support robot for overground gait training enhances transparency,Conceptual design of a novel variable stiffness actuator for use in lower limb exoskeletons,Experimental evaluation of a sEMG-based control for elbow wearable assistive devices during load lifting tasks,Active impedance control of a knee-joint orthosis during swing phase,A novel human effort estimation method for knee assistive exoskeletons,Design of a lightweight tethered torque-controlled knee exoskeleton,Adaptive control of a human-driven knee joint orthosis,Mechanical design of a portable knee-ankle-foot robot,An experimental robotic testbed for accelerated development of ankle prostheses,Multi-joint actuation platform for lower extremity soft exosuits,Design and evaluation of a parallel-series elastic actuator for lower limb exoskeletons,Design and control of a robotic wrist with two collocated axes of compliant actuation,Design and evaluation of the Bi-directional Clutched Parallel Elastic Actuator (BIC-PEA),IMU-based iterative control for hip extension assistance with a soft exosuit,A rehabilitation exercise robot for treating low back pain,Design and validation of a torque dense highly backdrivable powered knee-ankle orthosis,Unconstrained pneumatic on-off poppet valve driven by piezoelectric actuator,Emerging robotics devices for therapeutic rehabilitation of the lower extremity,Exoskeleton for children walking rehabilitation: Theoretical studies and simulation,A novel knee exoskeleton for overweight person,Exoskeletons for Rehabilitation and Motor Control,Towards intelligent lower limb wearable robots: Challenges and perspectives - State of the art,Design and testing of assistive knee brace with magnetorheological actuator,Magnetorheological fluids based multifunctional actuator for assistive knee braces,Design frame of a leg exoskeleton for load-carrying augmentation,Substitution of motor function of polio survivors who have permanent paralysis of limbs by using Cybernic Voluntary Control
Motion compensation based on spatial transformations,"Y. Nakaya, H. Harashima, ",1994,169,2-D mesh motion compensation with adaptive interpolation,Object-based video manipulation and composition using 2D meshes in VRML,Extended motion compensation using larger blocks and an elastic motion model,Analysis of mesh-based motion compensation in wavelet lifting of dynamical 3-D+t CT data,Adaptive entropy coded DCT coding of magnetic resonance image sequences,Improved packetization of motion parameters for error resilient transmission of wavelet video,A new motion compensation algorithm and new test algorithm to compare the result of motion compensation,Affine schemes in mesh-based video motion compensation,A multi-standard micro-programmable deblocking filter architecture and its application to VC-1 video decoder,Frame rate up-conversion using perspective transform,A fast CIS still image stabilization method without parallax and moving object problems,A probabilistic adaptive algorithm for constructing hierarchical meshes,A low power VLSI architecture for mesh-based video motion tracking,Hierarchical motion estimation with content-based meshes,3-D video coding with redundant-wavelet multihypothesis,An affine-based algorithm and SIMD architecture for video compression with low bit-rate applications,Motion-Compensated Frame Interpolation Using Bilateral Motion Estimation and Adaptive Overlapped Block Motion Compensation,Programmable Deblocking Filter Architecture for a VC-1 Video Decoder,Video Coding Using Elastic Motion Model and Larger Blocks,Subsampled Block-Matching for Zoom Motion Compensated Prediction,Zoom Motion Estimation Using Block-Based Fast Local Area Scaling,Control-Point Representation and Differential Coding Affine-Motion Compensation,Merge Mode for Deformable Block Motion Information Derivation,Dynamic Motion Detection technique for fast and efficient video coding,A Segment-Based Mesh Design for Building Parallel-Perspective Stereo Mosaics,Lifting-based invertible motion adaptive transform (LIMAT) framework for highly scalable video compression,Flexible Synthesis of Video Frames Based on Motion Hints,A Joint Compression Scheme of Video Feature Descriptors and Visual Content,Temporal Scalability of Dynamic Volume Data Using Mesh Compensated Wavelet Lifting,Contextual encoding in uniform and adaptive mesh-based lossless compression of MR images
Computer-aided tumor detection in endoscopic video using color wavelet features,"S. A. Karkanis, D. K. Iakovidis, D. E. Maroulis, D. A. Karras, M. Tzivras, ",2003,168,A new approach to detecting ulcer and bleeding in Wireless capsule endoscopy images,Color and Position versus Texture Features for Endoscopic Polyp Detection,A comparative study of texture features for the discrimination of gastric polyps in endoscopic video,Intrinsic higher-order correlation and lacunarity analysis for WCE-based ulcer classification,Computer-aided capsule endoscopy images evaluation based on color rotation and texture features: An educational tool to physicians,A curvelet-based lacunarity approach for ulcer detection from Wireless Capsule Endoscopy images,Computer aided detection of bleeding in capsule endoscopy images,A fast calculation method for gray-level co-occurrence matrix base on GPU,Stacking of SVMs for abnormal region screening in endoscopic images using multisize patches,Abnormal region detection in gastroscopic images by combining classifiers on neighboring patches,Detecting abnormal regions in colonoscopic images by patch-based classifier ensemble,Automatic Detection of Intestinal Juices in Wireless Capsule Video Endoscopy,Texture analysis of the endometrium during hysteroscopy: preliminary results,Automatic Classification of Images with Appendiceal Orifice in Colonoscopy Videos,Color Based Texture - Classification of Hysteroscopy Images of the Endometrium,Efficient Tracking of the Heart Using Texture,Color multiscale texture classification of hysteroscopy images of the endometrium,Detection of small bowel tumors in capsule endoscopy frames using texture analysis based on the discrete wavelet transform,Automatic detection of small bowel tumors in capsule endoscopy based on color curvelet covariance statistical texture descriptors,Texture-based computer-assisted diagnosis for fiberscopic images,Small bowel tumors detection in capsule endoscopy by Gaussian modeling of Color Curvelet Covariance coefficients,Abnormal pattern detection in Wireless Capsule Endoscopy images using nonlinear analysis in RGB color space,Towards integrating temporal information in capsule endoscopy image analysis,Discrete Wavelet Transform based colon polyp detection using synthesize similarity measure,Surface Image Feature Extraction of Laminated Flooring Based on Texture Analysis,Computer-aided-diagnosis in colorectal cancer: A survey of state of the art techniques,Small bowel tumor detection for wireless capsule endoscopy images using textural features and support vector machine,Tumor CE image classification using SVM-based feature selection,Automatic normal-abnormal video frame classification for colonoscopy,Automatic polyp detection from learned boundaries
A Hierarchical Model of Shape and Appearance for Human Action Classification,"Juan Carlos Niebles, Li Fei-Fei, ",2007,168,A Survey on the Edge Computing for the Internet of Things,Spotting agreement and disagreement: A survey of nonverbal audiovisual cues and tools,Discriminative human action recognition using pairwise CSP classifiers,Feature extraction for human action classification using adaptive key frame interval,Sparse representation of adaptive key frame features for human action classification,Human Action Recognition using a Hybrid NTLD Classifier,Learning neighborhood cooccurrence statistics of sparse features for human activity recognition,Conditional Bayesian networks for action detection,Action recognition based on spatio-temporal interest points,Human Action Recognition with Pose Similarity,Improving codebook generation for action recognition using a mixture of Asymmetric Gaussians,Appearance-based action recognition in the tensor framework,New geometric descriptor for the recognition of aggressive human behavior,Mixture of Poses for human behavior understanding,Human Action Recognition Using Salient Opponent-Based Motion Features,Human Action Recognition Using Temporal Sequence Alignment,Progressive search space reduction for human pose estimation,Recognizing human actions using multiple features,Discriminative human action segmentation and recognition using semi-Markov model,Action recognition with motion-appearance vocabulary forest,Pose primitive based human action recognition in videos or still images,Learning human actions via information maximization,Learning human motion models from unsegmented videos,Recognizing primitive interactions by exploring actor-object states,Action snippets: How many frames does human action recognition require?,Action recognition using exemplar-based embedding,Action recognition by learning mid-level motion features,Learning 4D action feature models for arbitrary view action recognition,Pose search: Retrieving people using their pose,Max-margin hidden conditional random fields for human action recognition
Observing Human-Object Interactions: Using Spatial and Functional Compatibility for Recognition,"Abhinav Gupta, Aniruddha Kembhavi, Larry S. Davis, ",2009,168,Recognising human interaction from videos by a discriminative model,Implementation of a Virtual Training Simulator Based on 360° Multi-View Human Action Recognition,Gaze Estimation in Children's Peer-Play Scenarios,Video Based Children's Social Behavior Classification in Peer-Play Scenarios,Human object interactions recognition based on social network analysis,Human Action Recognition in Large-Scale Datasets Using Histogram of Spatiotemporal Gradients,Segmentation in multiple levels for extracting salient regions of human body from single images,Stratified learning of local anatomical context for lung nodules in CT images,Grouplet: A structured image representation for recognizing human and object interactions,Modeling mutual context of object and human pose in human-object interaction activities,Learning to recognize objects in egocentric activities,From 3D scene geometry to human workspace,A combined pose object and feature model for action understanding,Recognizing proxemics in personal photos,Representing Videos Using Mid-level Discriminative Patches,Modeling Actions through State Changes,Hallucinated Humans as the Hidden Context for Labeling 3D Scenes,Expanded Parts Model for Human Attribute and Action Recognition in Still Images,Human action segmentation with hierarchical supervoxel consistency,Going Deeper into First-Person Activity Recognition,Actor-Action Semantic Segmentation with Grouping Process Models,Recognizing Car Fluents from Video,Structural-RNN: Deep Learning on Spatio-Temporal Graphs,Weakly Supervised Actor-Action Segmentation via Robust Multi-task Ranking,Visual Translation Embedding Network for Visual Relation Detection,Modeling Temporal Dynamics and Spatial Configurations of Actions Using Two-Stream Recurrent Neural Networks,Asynchronous Temporal Fields for Action Recognition,Discriminative models for static human-object interactions,Multiple pose context trees for estimating human pose in object context,Inferring Hidden Statuses and Actions in Video by Causal Reasoning
Stable multi-target tracking in real-time surveillance video,"Ben Benfold, Ian Reid, ",2011,167,Relative Distance Metric Leaning Based on Clustering Centralization and Projection Vectors Learning for Person Re-Identification,Concatenating multiple trajectories using Kalman filter for pedestrian tracking,Abandoned Object's Owner Detection: A Case Study of Hybrid Mobile-Fixed Video Surveillance System,Online Multi-person Tracking by Tracker Hierarchy,Online multiperson tracking with occlusion reasoning and unsupervised track motion model,Online tracking parameter adaptation based on evaluation,Training a convolutional neural network for multi-class object detection using solely virtual world data,Object Tracking over a Multiple-Camera Network,A general line tracking algorithm based on computer vision,Part-based multiple-person tracking with partial occlusion handling,Multi-target tracking by online learning of non-linear motion patterns and robust appearance models,Improving multi-target tracking via social grouping,Semi-supervised Learning of Feature Hierarchies for Object Detection in a Video,Multi-target Tracking by Rank-1 Tensor Approximation,Improving an Object Detector and Extracting Regions Using Superpixels,An Online Learned Elementary Grouping Model for Multi-target Tracking,Occlusion Geodesics for Online Multi-object Tracking,Curvilinear Structure Tracking by Low Rank Tensor Approximation with Model Propagation,Self-Learning Scene-Specific Pedestrian Detectors Using a Progressive Latent Model,Forecasting Interactive Dynamics of Pedestrians with Fictitious Play,Learning to Detect Carried Objects with Minimal Supervision,Monocular Long-Term Target Following on UAVs,Embedded Vision System for Atmospheric Turbulence Mitigation,Joint Learning of Convolutional Neural Networks and Temporally Constrained Metrics for Tracklet Association,Online Tracking of People through a Camera Network,A Pedestrian Multiple Hypothesis Tracker Fusing Head and Body Detections,Faster R-CNN Scene Specialization with a Sequential Monte-Carlo Framework,Robust online multi-object tracking based on KCF trackers and reassignment,Multi-PN-learning for tracking applications,Multi-class moving target detection with Gaussian mixture part based model
Motion-Compensated Frame Interpolation Using Bilateral Motion Estimation and Adaptive Overlapped Block Motion Compensation,"Byeong-Doo Choi, Jong-Woo Han, Chang-Su Kim, Sung-Jea Ko, ",2007,167,Joint trilateral motion vector filter for bidirectional motion compensation,Occlusion-adaptive bidirectional motion compensation for pixel-based motion vector field,Bilateral frame rate up-conversion algorithm based on the comparison of texture complexity,Statistical search range adaptation solution for effective frame rate up-conversion,Multi-Scheme Frame Rate Up-Conversion Using Space-Time Saliency,Overlapped block-based adaptive bilateral motion estimation,Frame rate up conversion for multiview video,Fast dynamic magnetic resonance imaging based on an improved Motion Estimation/Motion Compensation scheme,Online dynamic magnetic resonance imaging based on an improved motion prediction scheme,Stationary subtitle processing for real-time frame rate up-conversion,A novel frame rate up conversion using iterative non-local means interpolation,Motion Compensated Frame Interpolation Using Adaptive Adjacency Pixel Information,Regularized high temporal resolution fish motion synthesis,A region of interest prediction method for real-time online dynamic magnetic resonance imaging,Frame rate up-conversion with true motion estimation and adaptive motion vector refinement,Frame rate up-conversion with motion region segmentation based optimization,A reconfigurable hardware for one bit transform based multiple reference frame Motion Estimation,Sparse spatio-temporal representation with adaptive regularized dictionaries for super-resolution based video coding,A Reconfigurable Frame Interpolation Hardware Architecture for High Definition Video,A High Performance Hardware Architecture for One Bit Transform Based Motion Estimation,An Overlapped Block Motion Compensation Hardware for Frame Rate Conversion,Influence of spatial and temporal activity of upscaled video on its perceived quality,Subpixel motion estimation without interpolation,Occlusion handling frame rate up-conversion,A frame rate up-conversion method with quadruple motion vector post-processing,3D video frame interpolation via adaptive hybrid motion estimation and compensation,Motion-blur-free Camera System Using Multi-exposed Images,Enhanced frame rate up-conversion method for UHD video,Frame rate up-conversion method based on texture adaptive bilateral motion estimation,Efficient architecture for hierarchical bidirectional motion estimation in frame rate up-conversion applications
A survey of perceptual evaluations and requirements of three-dimensional TV,"L. M. J. Meesters, W. A. IJsselsteijn, P. J. H. Seuntiens, ",2004,167,A new reduced reference objective quality metric for stereoscopic video,Free viewpoint image quality evaluation based on ray space,Stereoscopic image quality assessment model with three-component weighted structure similarity,Gaze adaptive convergence in stereo 3D applications,Characteristic extraction of stereo images,Objective quality assessment of JPEG distorted stereoscopic image,Study on visual discomfort induced by stimulus movement at fixed depth on stereoscopic displays using shutter glasses,Performance evaluation of 3D-TV transmission over WiMAX broadband access networks,Stereoscopic image quality compendium,A Novel System of Stereoscopic Video Based on TMS320DM642 DSP,Using disparity for quality assessment of stereoscopic images,A perceptual quality metric for stereoscopic crosstalk perception,Video quality assessment: From 2D to 3D — Challenges and future trends,Can 3D synthesized views be reliably assessed through usual subjective and objective evaluation protocols?,Stereoscopic image quality metric based on binocular perception model,Visual comfort assessment for stereoscopic 3D images based on salient discomfort regions,Challenges and Opportunities in Video Coding for 3D TV,Perceptual video coding: Challenges and approaches,A 2D to 3D conversion scheme based on depth cues analysis for MPEG videos,Active crosstalk reduction system for multiview autostereoscopic displays,Subjective assessment of noised stereo images,Objective Quality Assessment of Noised Stereoscopic Images,Objective image quality measure based on Weber-weighted mean absolute error,Visual Importance- and Discomfort Region-Selective Low-Pass Filtering for Reducing Visual Discomfort in Stereoscopic Displays,Predicting Visual Discomfort of Stereoscopic Images Using Human Attention Model,No-Reference Quality Assessment for Stereoscopic Images Based on Binocular Quality Perception,Visual Comfort Amelioration Technique for Stereoscopic Images: Disparity Remapping to Mitigate Global and Local Discomfort Causes,Critical Binocular Asymmetry Measure for the Perceptual Quality Assessment of Synthesized Stereo 3D Images in View Synthesis,Robust concealment for erroneous block bursts in stereoscopic images,Perceptual Strength of 3-D Crosstalk in Both Achromatic and Color Images in Stereoscopic 3-D Displays
DVB-S2: The Second Generation Standard for Satellite Broad-Band Services,"A. Morello, V. Mignone, ",2006,167,Simple capacity-achieving coded modulation strategy,Efficient soft demodulation scheme for digital video broadcasting via satellite - Second generation system,Use of matroid theory to construct a class of good binary linear codes,Energy-efficient multi-standard early stopping criterion for low-density-parity-check iterative decoding,Resource allocation for non-delay-sensitive satellite services using adaptive coding and modulation–multiple-input and multiple-output–orthogonal frequency division multiplexing,Doppler-robust high-spectrum-efficiency VCM-OFDM scheme for low Earth orbit satellites broadband data transmission,SEFDM over satellite systems with advanced interference cancellation,A Survey on Programmable LDPC Decoders,On the performance of LDPC and turbo decoder architectures with unreliable memories,Performance analysis of W-band satellite HDTV broadcasting,DVB-S2 software defined radio modem on the RC64 manycore DSP,Hardware efficient frequency estimator based on data-aided algorithm for digital video broadcasting system,Scalable and parallel codec architectures for the DVB-S2 FEC system,Carrier recovery and nonlinear compensation for DVB-S2 using multilevel pilots,Efficient bit-interleaved APSK scheme for LDPC codes,Generalized Belief Propagation to break trapping sets in LDPC codes,Multi-rate LDPC codes for DTV transmission by known-bits padding,Performance of a 4-State Turbo Code with Data Puncturing and a BCH Outer Code,Multi-objective reinforcement learning-based deep neural networks for cognitive space communications,Design and FPGA implementation of iterative decoders for codes on graphs,An Improved Turbo Equalization Method Research On Microwave Communication System,A novel LDPC decoder for DVB-S2 IP,Architecture and DSP Implementation of a DVB-S2 Baseband Demodulator,Advanced physical layer techniques: Performance limits within future multi-spot Ka-band networks,End-to-end system performance evaluation in a Forward and Return satellite communications link,Performance and improvement of the finite order compensation in a non-linear DVB-S2 communication channel,QoS and QoE evaluation of Web-browsing over an SI-SAP-enabled DVB-S2/RCS system,Flexible Parallel Architecture for DVB-S2 LDPC Decoders,Multi-carrier-code-shift-keying modulation,FPGA design and implementation of carrier synchronization for DVB-S2 demodulators
Range imaging with adaptive color structured light,"D. Caspi, N. Kiryati, J. Shamir, ",1998,167,Uncalibrated multiple image stereo system with arbitrarily movable camera and projector for wide range scanning,Dense Depth and Color Acquisition of Repetitive Motions,Structured Light Based Reconstruction under Local Spatial Coherence Assumption,Shape from Unstructured Light,Rapid Hand Shape Reconstruction with Chebyshev Phase Shifting,Automated testing and quality assurance of 3D printing/3D printed hardware: Assessment for quality assurance and cybersecurity purposes,Color structured light pattern design based on PRMVS for phase unwrapping,Enhancing structured light range imaging by adaptation of color exposure and focus,Recovering Dense Stereo Depth Maps Using a Single Gaussian Blurred Structured Light Pattern,Scene-adapted structured light,A projector-camera system with real-time photometric adaptation for dynamic environments,A projector-camera system with real-time photometric adaptation for dynamic environments,Dense 3D Reconstruction with an Uncalibrated Stereo System using Coded Structured Light,Sensing Deforming and Moving Objects with Commercial Off the Shelf Hardware,Viewpoint-Coded Structured Light,Dynamic scene shape reconstruction using a single structured light pattern,Capturing multiple illumination conditions using time and color multiplexing,Direct image alignment of projector-camera systems with planar surfaces,Multi-view reconstruction for projector camera systems based on bundle adjustment,A graph-based approach for robust single-shot structured light,Robust one-shot 3D scanning using loopy belief propagation,One-shot scanning method using an unealibrated projector and camera system,Dense depth estimation using adaptive structured light and cooperative algorithm,μNect: On using a gaming RGBD camera in micro-metrology applications,Surface depth computation and representation from multiple coded projector light,Overview of coded light projection techniques for automatic 3D profiling,A 3D IR Camera with Variable Structured Light for Home Service Robots,Signal Separation Coding for Robust Depth Imaging Based on Structured Light,State of the art on vision-based structured light systems for 3D measurements,A low-cost user-friendly and real-time operating 3D camera
Human Action Recognition by Semilatent Topic Models,"Yang Wang, Greg Mori, ",2009,166,Body posture graph: a new graph-based posture descriptor for human behaviour recognition,Human action recognition using weighted pooling,Probability-based method for boosting human action recognition using scene context,Automated cyclist data collection under high density conditions,Fully Automatic Analysis of Engagement and Its Relationship to Personality in Human-Robot Interactions,Real Time Human Action Recognition in a Long Video Sequence,Human Action Recognition and Localization in Video Using Structured Learning of Local Space-Time Features,Discovering Activities and Their Temporal Significance,PCAH: A PCA-Based Hierarchical Clustering Method for Visual Words Construction,Semi-automatic Recognition of Human Activities under Variable Lighting,Human action recognition using spatio-temoporal descriptor,Learning latent temporal structure for complex event detection,Optimizing over Radial Kernels on Compact Manifolds,When VLAD Met Hilbert,Probabilistic Temporal Subspace Clustering,Nonparametric discovery of activity patterns from video collections,A temporal Bayesian model for classifying detecting and localizing activities in video sequences,A Critical Review of Action Recognition Benchmarks,Dominant Codewords Selection with Topic Model for Action Recognition,Covert Video Classification by Codebook Growing Pattern,Recognizing human action and identity based on affine-SIFT,Temporal Archetypal Analysis for Action Segmentation,Action recognition using interest points capturing differential motion information,Spectral learning of latent semantics for action recognition,Dictionary Learning and Sparse Coding on Grassmann Manifolds: An Extrinsic Solution,A generative framework to investigate the underlying patterns in human activities,A discriminative key pose sequence model for recognizing human interactions,Iterative Action and Pose Recognition Using Global-and-Pose Features and Action-Specific Models,Human attribute analysis using a top-view camera based on multi-stage classification,Human activity recognition based on morphological dilation followed by watershed transformation method
RCBR: a simple and efficient service for multiple time-scale traffic,"M. Grossglauser, S. Keshav, D. N. C. Tse, ",1997,165,Dynamic bandwidth allocation with minimum long fluctuations,Maximizing user utility in video streaming applications,An approach to provisioning for real-time VBR video teleconferencing via end-to-end virtual path connections,Smoothing algorithms for the delivery of compressed video,Transient loss guarantees for long-range dependent multiple time-scale traffic,Practical Packet Pacing in Small-Buffer Networks,Characterize the minimum required resources for admission control of pre-recorded VBR video transmission by an O(n log n) algorithm,Online VBR video traffic smoothing,On linear prediction of Internet traffic for packet and burst switching networks,End-to-end stored FGS video transmission based on adaptive smoothing and TCP-friendly rate control,An efficient transmission schedule writing scheme for a normal playback after interactive operations in a stored video,Static and dynamic resource allocation algorithms for real-time VBR video transmissions in multimedia networks,Receiver-initiated resource renegotiation for VBR video transport,A metadata-based RCBR transmission of video-on-demand,Filtering wavelet based video streams for wireless interworking,Designing the ON-OFF CBR transmission schedule for jitter-free VBR media playback in real-time networks,A video smoothing algorithm for transmitting MPEG video over limited bandwidth,Issues and approaches towards VBR video traffic management in ATM networks,Video Bandwidth Forecasting,A modular algorithm-theoretic framework for the fair and efficient collaborative prefetching of continuous media,The rate variability-distortion (VD) curve of encoded video and its impact on statistical multiplexing,Video traffic prediction based on source information and preventive channel rate decision for RCBR,An empirical study on renegotiated CBR for VBR video services based on network testbed,A Priority Selected Cache Algorithm for Video Relay in Streaming Applications,Continuous-Time Collaborative Prefetching of Continuous Media,Minimum cost scheduling of stored video in dynamic bandwidth allocation networks,Maximizing user utility in video streaming applications,3-D physical motion-based bandwidth prediction for video conferencing,Dynamic Programming-Based Reverse Frame Selection for VBR Video Delivery Under Constrained Resources,A GoP-skipping-based dynamic transmission scheme for supporting fast scan functions of a stored video
MPEG-4 rate control for multiple video objects,"A. Vetro, Huifang Sun, Yao Wang, ",1999,165,Transporting real-time video over the Internet: challenges and approaches,Resource allocation for multimedia streaming over the Internet,Rate control and bit allocation for MPEG-4,Scalable rate control for MPEG-4 video,On end-to-end architecture for transporting MPEG-4 video over the Internet,Encoding stored video for streaming applications,Object-based transcoding for adaptable video content delivery,Constrained bit-rate control for very low bit-rate streaming-video applications,Optimal buffered compression and coding mode selection for MPEG-4 shape coding,Bit allocation method for variable frame rated low bit coding scheme,Dual frame motion compensation for a rate switching network,A Convex Optimization-Based Object-Level Rate Control Algorithm for MPEG-4 Video Object Coding,Low compute complexity BU-based rate control algorithm for H.264/AVC encoder,An improved MPEG-4 rate control algorithm,A Frame Layer Bit Allocation for H.264 Based on Frame Complexity,Novel real-time rate control algorithm for constant quality H.264/AVC high vision codec,Model-based rate control implementation for low-power video communications systems,Linear rate-distortion models for MPEG-4 shape coding,Real-time object segmentation and coding for selective-quality video communications,A robust and adaptive rate control algorithm for object-based video coding,Asynchronous rate control for multi-object videos,Joint texture-shape optimization for MPEG-4 multiple video objects,Rate-distortion optimal bit allocation for object-based video coding,On using game theory to optimize the rate control in video coding,On Lagrange multiplier and quantizer adjustment for H.264 frame-layer video rate control,Adaptive Intra-Frame Assignment and Bit-Rate Estimation for Variable GOP Length in H.264,A Novel Rate Control Scheme for Low Delay Video Communication of H.264/AVC Standard,MultiStage: A MINMAX Bit Allocation Algorithm for Video Coders,Towards Rate-Distortion Tradeoff in Real-Time Color Video Coding,Rate Control for H.264 Video With Enhanced Rate and Distortion Models
