Weakly Supervised Multiclass Video Segmentation,"Xiao Liu, Dacheng Tao, Mingli Song, Ying Ruan, Chun Chen, Jiajun Bu, ",2014,11,Weakly Supervised Actor-Action Segmentation via Robust Multi-task Ranking,Budget-Aware Deep Semantic Video Segmentation,SPFTN: A Self-Paced Fine-Tuning Network for Segmenting Objects in Weakly Labelled Videos,kNN Hashing with Factorized Neighborhood Representation,Online supervised hashing,Submodular video object proposal selection for semantic object segmentation,Smart Monitoring Cameras Driven Intelligent Processing to Big Surveillance Video Data,Action Recognition in Still Images With Minimum Annotation Efforts,Semi-Supervised Multi-View Discrete Hashing for Fast Image Search,Bringing Background into the Foreground: Making All Classes Equal in Weakly-Supervised Video Semantic Segmentation,Multinomial Latent Logistic Regression for Image Understanding,Consistent Volumetric Warping Using Floating Boundaries for Stereoscopic Video Retargeting,Semantic Object Segmentation in Tagged Videos via Detection,Exploring Weakly Labeled Images for Video Object Segmentation With Submodular Proposal Selection
Geometric and texture cue based depth-map estimation for 2D to 3D image conversion,"Kyuseo Han, Kihyun Hong, ",2011,11,Stereoscopic video generation using motion vector based depth with k-means color segmentation,Depth map estimation based on geometric scene categorization,Review of multi view auto-stereoscopic display system based on depth image analysis,2D-to-3D conversion for single-view image based on camera projection model and dark channel model,Depth map generation from a single image using local depth hypothesis,Depth Extraction from Monocular Video Using Bidirectional Energy Minimization and Initial Depth Segmentation,Exploiting a scene calibration mechanism for depth estimation,Depth estimation for deformable object using a multi-layer neural network,Semi-automatic Depth Map Extraction Method for Stereo Video Conversion
Multiclass semantic video segmentation with object-level active inference,"Buyu Liu, Xuming He, ",2015,11,Image semantic segmentation optimization by Conditional Random Field integrated with object clique potential,Feature Space Optimization for Semantic Video Segmentation,Optical Flow with Semantic Segmentation and Localized Layers,Sample and Filter: Nonparametric Scene Parsing via Efficient Filtering,Weakly Supervised Actor-Action Segmentation via Robust Multi-task Ranking,Budget-Aware Deep Semantic Video Segmentation,Ranking video segments with LSTM and determinantal point processes,Batch regularization to converge the deep neural network for indoor RGBD scene understanding,Convolutional gated recurrent networks for video semantic segmentation in automated driving,Learning Deep Spatio-Temporal Dependence for Semantic Video Segmentation,Bringing Background into the Foreground: Making All Classes Equal in Weakly-Supervised Video Semantic Segmentation,Semantic Object Segmentation in Tagged Videos via Detection,Deep Learning Markov Random Field for Semantic Segmentation
Video semantic concept detection via associative classification,"Lin Lin, Mei-Ling Shyu, Guy Ravitz, Shu-Ching Chen, ",2009,11,Mining Anomalies in Medicare Big Data Using Patient Rule Induction Method,Mining High-Level Features from Video Using Associations and Correlations,Hierarchical disaster image classification for situation report enhancement,Gaussian Mixture Model-Based Subspace Modeling for Semantic Concept Retrieval,Semantic Concept Detection Using Weighted Discretization Multiple Correspondence Analysis for Disaster Information Management,Enhancing Multimedia Imbalanced Concept Detection Using VIMP in Random Forests,FA-MCADF: Feature Affinity Based Multiple Correspondence Analysis and Decision Fusion Framework for Disaster Information Management,Enhancing Concept Detection by Pruning Data with MCA-Based Transaction Weights,MADIS: A Multimedia-Aided Disaster information Integration System for emergency management
Active MAP Inference in CRFs for Efficient Semantic Segmentation,"Gemma Roig, Xavier Boix, Roderick De Nijs, Sebastian Ramos, Koljia Kuhnlenz, Luc Van Gool, ",2013,11,Semantic Channels for Fast Pedestrian Detection,Simultaneous semantic segmentation of a set of partially labeled images,Volume-based shape analysis for internal microstructure of steels,Multi-class segmentation for traffic scenarios at over 50 FPS,Efficient scene parsing by sampling unary potentials in a fully-connected CRF,Fast traffic scene segmentation using multi-range features from multi-resolution filtered and spatial context channels,Vision-Based Offline-Online Perception Paradigm for Autonomous Driving,Budget-Aware Deep Semantic Video Segmentation,Multiclass semantic video segmentation with object-level active inference
Building extraction from aerial imagery using a generic scene model and invariant geometric moments,"M. Gerke, C. Heipke, B. -M. Straub, ",2001,11,Review of buildings information extraction based on single high-resolution remote sensing images,The role of context and model in urban aerial image interpretation focusing on buildings,Building detection from high-resolution satellite image using probability model,Fusion of LiDAR data and orthoimage for automatic building reconstruction,Building Outline Extraction Using a Heuristic Approach Based on Generalization of Line Segments,3D detailed building model extraction for urban large-scale orthorectification,Automatic high-rise building extraction from aerial images,Fast Computation of Chebyshev Moments
Perceptually based techniques for image segmentation and semantic classification,"Thrasyvoulos N. Pappas, Junqing Chen, Dejan Depalov, ",2007,11
Semantic video indexing using a probabilistic framework,"M. R. Naphade, T. S. Huang, ",2000,11,Detecting semantic concepts using context and audiovisual features,A people similarity based approach to video indexing,Multimedia understanding: challenges in the new millennium,Inferring semantic concepts for video indexing and retrieval,Recognizing high-level audio-visual concepts using context,Events recognition by semantic inference for sports video,Audio-visual event detection using duration dependent input output Markov models,Real-time content-based adaptive streaming of sports videos,An HMM-based framework for video semantic analysis,Extracting semantics from audio-visual content: the final frontier in multimedia retrieval,Duration dependent input output markov models for audio-visual event detection
Multimodal acting in mixed reality interactive storytelling,"M. Cavazza, F. Charles, S. J. Mead, O. Martin, X. Marichal, A. Nandi, ",2004,11,Engaging in a Conversation with Synthetic Agents along the Virtuality Continuum,The synthetic character Ritchie: first steps towards a virtual companion for mixed reality,Multimodal Multi-user and Adaptive Interaction for Interactive Storytelling Applications,Engaging in a Conversation with Synthetic Agents along the Virtuality Continuum
Automatic Segmentation of Method Code into Meaningful Blocks to Improve Readability,"Xiaoran Wang, Lori Pollock, K. Vijay-Shanker, ",2011,10,Preprocessing of Metrics Measurement Based on Simplifying Program Structures,Code Readability Testing an Empirical Study,A cohesion metric approach to dividing source code into functional segments to improve maintainability,Reordering Program Statements for Improving Readability,A textual-based technique for Smell Detection,Textual Analysis for Code Smell Detection,Developing a model of loop actions by mining loop characteristics from a large code corpus,How to extract differences from similar programs? A cohesion metric approach,Automatically generating natural language descriptions for object-related statement sequences
Learning to Group Objects,"Victoria Yanulevskaya, Jasper Uijlings, Nicu Sebe, ",2014,10,The Middle Child Problem: Revisiting Parametric Min-Cut and Seeds for Object Proposals,Learning to Combine Mid-Level Cues for Object Proposal Generation,Contour Box: Rejecting Object Proposals without Explicit Closed Contours,Efficient indexing for Query By String text retrieval,Saliency detection for improving object proposals,Adobe Boxes: Locating Object Proposals Using Object Adobes,Learning Spatial Transforms for Refining Object Segment Proposals,Sequential Optimization for Efficient High-Quality Object Proposal Generation,Object Proposal Generation Using Two-Stage Cascade SVMs
Gradual transition detection using color coherence and other criteria in a video shot meta-segmentation framework,"Efthymia Tsamoura, Vasileios Mezaris, Ioannis Kompatsiaris, ",2008,10,Multi-Modal Visual Features-Based Video Shot Boundary Detection,High-level event detection in video exploiting discriminant concepts,Fast shot segmentation combining global and local visual descriptors,Fast object re-detection and localization in video for spatio-temporal fragment creation,On the Use of Visual Soft Semantics for Video Temporal Decomposition to Scenes,Temporal Video Segmentation to Scenes Using High-Level Audiovisual Features,A Model-Based Shot Boundary Detection Technique Using Frame Transition Parameters,Concept Detection in Multimedia Web Resources About Home Made Explosives,On the use of audio events for improving video scene segmentation
Describing images via linguistic features and hierarchical segmentation,"R. Castillo-Ortega, J. Chamorro-Mart&iacute;nez, N. Mar&iacute;n, D. S&aacute;nchez, J. M. Soto-Hidalgo, ",2010,10,Using specificity to measure referential success in referring expressions with fuzzy properties,Combining fuzzy experts' decisions fusion with linguistic summarization of mammograms for computer-aided breast diagnosis,On some fuzzy relations for color information,Automatic linguistic description about relevant features of the Mars' surface,Fuzzy Color Spaces: A Conceptual Approach to Color Vision
Severity detection of traffic accidents at intersections based on vehicle motion analysis and multiphase linear regression,"&Ouml;. Ak&ouml;oz, M. E. Karsligil, ",2010,10,Review on: Severity estimation unit of automotive accident,Severity classification of abnormal traffic events at intersections,A Novel Approach to Analyzing Object Motion Behavior,Video processing techniques for traffic flow monitoring: A survey,Automatic accident detection using topic models,Adaptive video-based algorithm for accident detection on highways,Severity analysis of abnormal traffic events at intersections
Coarse-to-Fine Semantic Video Segmentation Using Supervoxel Trees,"Aastha Jain, Shuanak Chatterjee, Ren&eacute; Vidal, ",2013,10,A feature clustering approach based on Histogram of Oriented Optical Flow and superpixels,Weakly Supervised Multiclass Video Segmentation,Bilateral Space Video Segmentation,Budget-Aware Deep Semantic Video Segmentation,An online hierarchical supervoxel segmentation algorithm based on Uniform Entropy Slice,Robust video segment proposals with painless occlusion handling,Can humans fly? Action understanding with multiple classes of actors,Classifier based graph construction for video segmentation,Semantic Object Segmentation in Tagged Videos via Detection,Exploring Weakly Labeled Images for Video Object Segmentation With Submodular Proposal Selection,Deep Learning Markov Random Field for Semantic Segmentation
Digital image indexing using secret sharing schemes: a unified framework for single-sensor consumer electronics,"R. Lukac, K. N. Plataniotis, ",2005,10,Single-sensor camera image compression
Real-time video content analysis tool for consumer media storage system,"Jungong Han, D. Farin, P. H. N. de With, Weilun Lao, ",2006,10,Application of computer vision to automate notation for tactical analysis of badminton,A real-time video surveillance system with human occlusion handling using nonlinear regression,Automatic video-based human motion analyzer for consumer surveillance system,GMM adaptation based online speaker segmentation for spoken document retrieval,Unattended object intelligent analyzer for consumer video surveillance,Employing a RGB-D sensor for real-time tracking of humans across multiple re-entries in a smart environment,Fast scene analysis for surveillance &amp; video databases
Exploiting the Self-Organizing Map for Medical Image Segmentation,"Ping-Lin Chang, Wei-Guang Teng, ",2007,10,Wavelet Based Video Segmentation Using Self Organizing Map Neural Network,Pixel classification based brain MR image segmentation,Multi-agent segmentation for 3D medical images,Ultrasound image segmentation by using a FIR neural network,A review on noise reduction methods for brain MRI images,Medical image segmentation using fuzzy c-mean (FCM) Bayesian method and user interaction
Semantic segmentation and description for video transcoding,"A. Cavallaro, O. Steiger, T. Ebrahimi, ",2003,10,Adaptive Video Compression for Video Surveillance Applications,A Proposal of Test Bed for Intelligent Multimedia Communication System Using MPEG-4,Seamless QoS adaptation control for embedded multimedia communications,Semantic video analysis for adaptive content delivery and automatic description,On the usefulness of object shape coding with MPEG-4,A Framework for Ontology Enriched Semantic Annotation of CCTV Video,A quality decision method for multi-object content based on user requirements,Energy-aware QoS adaptation for streaming video based on MPEG-7,A development of Local Area Tele-Conference Network,Semantic adaptation of sport videos with user-centred performance analysis
Events recognition by semantic inference for sports video,"Chuan Wu, Yu-Fei Ma, Hong-Jiang Zhan, Yu-Zhuo Zhong, ",2002,10,Semantic analysis of soccer video using dynamic Bayesian network,Event detection in field sports video using audio-visual features and a support vector Machine,Enhanced event recognition in video using image quality assessment,Event Detection and Summarization in Soccer Videos Using Bayesian Network and Copula,Knowledge-Discounted Event Detection in Sports Video,A Statistics-Based Method for Video Semantic Analysis,Using Decision-Tree to Automatically Construct Learned-Heuristics for Events Classification in Sports Video,Towards universal and statistical-driven heuristics for automatic classification of sports video events,Effective Feature Extraction for Play Detection in American Football Video,Creating audio keywords for event detection in soccer video
Weakly Supervised Human Fixations Prediction,"Luming Zhang, Xuelong Li, Liqiang Nie, Yi Yang, Yingjie Xia, ",2016,10,Learning With Label Proportions via NPSVM,Media Quality Assessment by Perceptual Gaze-Shift Patterns Discovery
Content Extraction and Interpretation of Superimposed Captions for Broadcasted Sports Videos,"Huang-Chia Shih, Chung-Lin Huang, ",2008,10,Key-frame extraction and key-frame rate determination using human attention modeling,A semantic-based video segmentation method,LIVE: An Integrated Production and Feedback System for Intelligent and Interactive TV Broadcasting,A Novel Attention-Based Key-Frame Determination Method,Content-Based Attention Ranking Using Visual and Contextual Attention Model for Baseball Videos,Knowledge-Discounted Event Detection in Sports Video,Multi-modal summarization of key events and top players in sports tournament videos,A Survey of Content-Aware Video Analysis for Sports
Lifelogging: Archival and retrieval of continuously recorded audio using wearable devices,"Mohit Shah, Brian Mears, Chaitali Chakrabarti, Andreas Spanias, ",2012,10,Spectrogram patch based acoustic event detection and classification in speech overlapping conditions,Speech/music indexing for audio life-logs from portable device record,A speech emotion recognition framework based on latent Dirichlet allocation: Algorithm and FPGA implementation,Supervised model training for overlapping sound events based on unsupervised source separation,FPGA based emotions recognition from speech signals,A Survey of Polyphonic Sound Event Detection Based on Non-Negative Matrix Factorization,A neural network approach for sound event detection in real life audio
Dialog act classification with the help of prosody,"M. Mast, R. Kompe, S. Harbeck, A. Kiessling, H. Niemann, E. Noth, E. G. Schukat-Talamazzini, V. Warnke, ",1996,10,VERBMOBIL: the use of prosody in the linguistic components of a speech understanding system,Automatic detection of discourse structure for speech recognition and understanding,The CALO Meeting Assistant System,Prosodic processing and its use in VERBMOBIL,Automatic classification of question turns in spontaneous speech using lexical and prosodic evidence,Robust Classification of Dialog Acts from the Transcription of Utterances,Evaluation of dialogue act recognition approaches,Detection of questions in Chinese conversational speech
SVM-based salient region(s) extraction method for image retrieval,"ByoungChul Ko, Soo Yeong Kwak, Hyeran Byun, ",2004,10,A Novel Objects of Interest Extraction Approach Using Attention-Driven Model for Content-Based Image Retrieval,Non-embedded image coding techniques based on pixels classification,Content Representation of Video Sequences Based on Salient Region,Radon features and barcodes for medical image retrieval via SVM,A novel salient region extraction based on color and texture features,A Novel Generalized SVM Algorithm with Application to Region-Based Image Retrieval,A novel multile salient regions combination-based image retrieval scheme with color and texture features,A novel region-based image segmentation method using SVM and D-S evidence theory,Hybrid scheme for lifting based image coding,Automatic Object-of-Interest segmentation from natural images
3D Semantic Parsing of Large-Scale Indoor Spaces,"Iro Armeni, Ozan Sener, Amir R. Zamir, Helen Jiang, Ioannis Brilakis, Martin Fischer, Silvio Savarese, ",2016,10,Exploiting 2D Floorplan for Building-Scale Panorama RGBD Alignment,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,Distinguishing the Indistinguishable: Exploring Structural Ambiguities via Geodesic Context,ScanNet: Richly-Annotated 3D Reconstructions of Indoor Scenes,Cognitive Mapping and Planning for Visual Navigation,Space-Time Localization and Mapping,3DCNN-DQN-RNN: A Deep Reinforcement Learning Framework for Semantic Parsing of Large-Scale 3D Point Clouds,Exploring Spatial Context for 3D Semantic Segmentation of Point Clouds,Room segmentation in 3D point clouds using anisotropic potential fields,MF3D: Model-free 3D semantic scene parsing,SmartCaveDrone: 3D cave mapping using UAVs as robotic co-archaeologists,Group Marching Tree: Sampling-Based Approximately Optimal Motion Planning on GPUs,Multi-view deep learning for consistent semantic mapping with RGB-D cameras,Indoor Scan2BIM: Building information models of house interiors,[POSTER] Semantic Augmented Reality Environment with Material-Aware Physical Interactions,Automatic Room Segmentation From Unstructured 3-D Data of Indoor Environments,The Raincouver Scene Parsing Benchmark for Self-Driving in Adverse Weather and at Night,Noise-Resistant Deep Learning for Object Classification in Three-Dimensional Point Clouds Using a Point Pair Descriptor,Guaranteed Parameter Estimation for Discrete Energy Minimization,Modeling Urban Scenes from Pointclouds
Key frame extraction from consumer videos using sparse representation,"Mrityunjay Kumar, Alexander C. Loui, ",2011,10,Video Summarization via Simultaneous Block Sparse Representation,Key frames extraction using graph modularity clustering for efficient video summarization,Nonlinear kernel sparse dictionary selection for video summarization,A Key Frame Selection Algorithm Based on Sliding Window and Image Features,Heterogeneity Image Patch Index and Its Application to Consumer Video Summarization,RPCA-KFE: Key Frame Extraction for Video Using Robust Principal Component Analysis,New fusional framework combining sparse selection and clustering for key frame extraction
Automatic segmentation and recognition of human activities from observation based on semantic reasoning,"Karinne Ramirez-Amaro, Michael Beetz, Gordon Cheng, ",2014,10,Bootstrapping humanoid robot skills by extracting semantic representations of human-like activities from virtual reality,Online prediction of activities with structure: Exploiting contextual associations and sequences,General recognition models capable of integrating multiple sensors for different domains,Learning convolutional action primitives for fine-grained action recognition,Robotic technologies for fast deployment of industrial robot systems,Sensor substitution for video-based action recognition,Integration of Robotic Technologies for Rapidly Deployable Robots,Robust semantic representations for inferring human co-manipulation activities even with different demonstration styles,Robot programming from demonstration feedback and transfer
Robust Image Segmentation Using Resampling and Shape Constraints,"Thomas Zoller, Joachim M. Buhmann, ",2007,10,Aircraft recognition based on convex-concave analysis,Aircraft recognition based on nonparametrical statistics,Automatic Semantic Annotation of Real-World Web Images,Generalized Competitive Learning of Gaussian Mixture Models,Automated diagnosis of melanomas based on globular and reticular pattern recognition algorithms for epiluminiscence images
Highlights extraction from sports video based on an audio-visual marker detection framework,"Z. Xiong, Regunathan Radhakrishnan, Ajay Divakaran, T. S. Huang, ",2005,10,Sports Type Determination Based on Keyword Spotting,A study on sports video classification based on audio analysis and speech recognition,Physics-Based Ball Tracking in Volleyball Videos with its Applications to Set Type Recognition and Action Detection,Visual-aural attention modeling for talk show video highlight detection,Scene-Based Video Analytics Studio,Real-time position estimation and tracking of a basketball,An open framework for video content analysis,A Real Time and Low Cost Hardware Architecture for Video Abstraction System,Sports Program Boundary Detection,Current and Emerging Topics in Sports Video Processing
Content-Based Image Retrieval Based on Integrating Region Segmentation and Relevance Feedback,"Dewen Zhuang, Shoujue Wang, ",2010,10,A novel image retrieval system based on BP neural network,Semantic image retrieval system based on object relationships,Query-by-Shape interface for Content Based Image Retrieval,Content based image retrieval by IPP algorithm,Effect of Finite Sample Size in Content-Based Image Retrieval,A novel BP-based image retrieval system,Stochastic firefly for image optimization,A novel method for multiple-query image retrieval
Sensor fusion for semantic segmentation of urban scenes,"Richard Zhang, Stefan A. Candra, Kai Vetter, Avideh Zakhor, ",2015,10,Visual-Inertial-Semantic Scene Representation for 3D Object Detection,Exploring Spatial Context for 3D Semantic Segmentation of Point Clouds,Urban scene segmentation with laser-constrained CRFs,Semantic segmentation of urban scenes with a location prior map using lidar measurements,Semantic Stixels: Depth is not enough,XDvision: Dense outdoor perception for autonomous vehicles,Fast Occupancy Grid Filtering Using Grid Cell Clusters From LIDAR and Stereo Vision Sensor Data,Combining Semantic and Geometric Features for Object Class Segmentation of Indoor Scenes,Semantic segmentation of urban scenes with enhanced spatial contexts,Exploring Context with Deep Structured Models for Semantic Segmentation,CNN for very fast ground segmentation in velodyne LiDAR data
Segmentation from a box,"Leo Grady, Marie-Pierre Jolly, Aaron Seitz, ",2011,10,Adaptive figure-ground classification,Pull the Plug? Predicting If Computers or Humans Should Segment Images,Integrating Bayesian Classifier into Random Walk optimizer for interactive image segmentation on mobile phones,Enhanced Figure-Ground Classification With Background Prior Propagation,Interactive Cell Segmentation Based on Active and Semi-Supervised Learning,Image segmentation in Twenty Questions,Saliency Detection via Graph-Based Manifold Ranking,The role of image understanding in contour detection
Free-Form Region Description with Second-Order Pooling,"Jo&atilde;o Carreira, Rui Caseiro, Jorge Batista, Cristian Sminchisescu, ",2015,9,Robust Covariance Representations With Large Margin Dimensionality Reduction for Visual Classification,Hierarchical Gaussian Descriptor for Person Re-identification,RAID-G: Robust Estimation of Approximate Infinite Dimensional Gaussian with Application to Material Recognition,End-to-End Instance Segmentation with Recurrent Attention,Towards Automated Visual Monitoring of Individual Gorillas in the Wild,Grain segmentation of multi-angle petrographic thin section microscopic images,Fusing Local and Global Features for High-Resolution Scene Classification,Conditional Random Fields Meet Deep Neural Networks for Semantic Segmentation: Combining Probabilistic Graphical Models with Deep Learning for Structured Prediction,A New Pooling Strategy Based on Local Feature Distribution: A Case Study for Human Action Classification,High-Order Local Pooling and Encoding Gaussians Over a Dictionary of Gaussians,Dimensionality Reduction on SPD Manifolds: The Emergence of Geometry-Aware Methods,Learning to propose objects,A New Spatial–Spectral Feature Extraction Method for Hyperspectral Images Using Local Covariance Matrix Representation
Optimization of Segmentation Algorithms Through Mean-Shift Filtering Preprocessing,"Leiguang Wang, Guoying Liu, Qinling Dai, ",2014,9,An mean shift algorithm with adaptive bandwidth and weight selection for high spatial remotely sensed imagery segmentation,Constructing Hierarchical Segmentation Tree for Feature Extraction and Land Cover Classification of High Resolution MS Imagery,Adaptive Scale Selection for Multiscale Segmentation of Satellite Images,Semantic Segmentation of Remote Sensing Imagery Using an Object-Based Markov Random Field Model With Auxiliary Label Fields,Semantic Segmentation of Remote Sensing Imagery Using Object-Based Markov Random Field Model With Regional Penalties
An optimization methodology for document structure extraction on Latin character documents,"Jisheng Liang, I. T. Phillips, R. M. Haralick, ",2001,9,Spatial Relation Based Object Extraction from the World Wide Web,Classification of Hebrew calligraphic handwriting styles: preliminary results,Robust text detection from binarized document images,Learning to parse hierarchical lists and outlines using conditional random fields,A handwriting textline extraction approach based on connected domain
Caption text extraction for indexing purposes using a hierarchical region-based image model,"Miriam Leon, Veronica Vilaplana, Antoni Gasull, Ferran Marques, ",2009,9,Automatic keyframe selection based on mutual reinforcement algorithm,Natural language processing based interpretation of skewed graphs,Unsupervised text extraction from G-maps,Text extraction from assorted images using morphological-region texture and multiscale techniques - A comparative study,A Survey on Video Caption Extraction,Object detection and segmentation on a hierarchical region-based image representation,An Automated Approach for Interpretation of Statistical Graphics,Gray-Scale Morphology Based Image Segmentation and Character Extraction Using SVM,Text localization based on the Discrete Shearlet Transform,Region-based caption text extraction
Instant Outdoor Localization and SLAM Initialization from 2.5D Maps,"Clemens Arth, Christian Pirchheim, Jonathan Ventura, Dieter Schmalstieg, Vincent Lepetit, ",2015,9,Interactive geo-location based service application as pervasive computing through mobile devices,Learning to Align Semantic Segmentation and 2.5D Maps for Geolocalization,Hybrid visual and inertial position and orientation estimation based on known urban 3D models,Pedestrian track estimation with handheld monocular camera and inertial-magnetic sensor for urban augmented reality,Riverwalk: Incorporating Historical Photographs in Public Outdoor Augmented Reality Experiences,Monocular Visual-Inertial State Estimation for Mobile Augmented Reality,Facade Proposals for Urban Augmented Reality,Landmark based localization: LBA refinement using MCMC-optimized projections of RJMCMC-extracted road marks,Semantic segmentation for 3D localization in urban environments,Pedestrian positioning in urban city with the aid of Google maps street view,Fast initialization method for monocular SLAM based on indoor model
Optical Flow with Semantic Segmentation and Localized Layers,"Laura Sevilla-Lara, Deqing Sun, Varun Jampani, Michael J. Black, ",2016,9,Dense Scene Flow Based Coarse-to-Fine Rigid Moving Object Detection for Autonomous Vehicle,Semantic filtering for video stabilization,Full Flow: Optical Flow Estimation By Global Optimization over Regular Grids,Surveillance Video Parsing with Single Frame Supervision,Slow Flow: Exploiting High-Speed Cameras for Accurate and Diverse Optical Flow Reference Data,CNN-Based Patch Matching for Optical Flow with Thresholded Hinge Embedding Loss,Deep Feature Flow for Video Recognition,Robust Interpolation of Correspondences for Large Displacement Optical Flow,Accurate Optical Flow via Direct Cost Volume Processing,InterpoNet a Brain Inspired Neural Network for Optical Flow Dense Interpolation,Optical Flow in Mostly Rigid Scenes,Optical Acceleration for Motion Description in Videos,High-Quality Correspondence and Segmentation Estimation for Dual-Lens Smart-Phone Portraits,Video Scene Parsing with Predictive Feature Learning,Joint coarse-and-fine reasoning for deep optical flow,Semantic background subtraction,Fundamental Principles on Learning New Features for Effective Dense Matching,DeepLab: Semantic Image Segmentation with Deep Convolutional Nets Atrous Convolution and Fully Connected CRFs,Volumetric Flow Estimation for Incompressible Fluids Using the Stationary Stokes Equations,Bounding Boxes Segmentations and Object Coordinates: How Important is Recognition for 3D Scene Flow Estimation in Autonomous Driving Scenarios?,Video Deblurring via Semantic Segmentation and Pixel-Wise Non-linear Kernel,SegFlow: Joint Learning for Video Object Segmentation and Optical Flow,MirrorFlow: Exploiting Symmetries in Joint Optical Flow and Occlusion Estimation,Understanding Convolution for Semantic Segmentation,Proposal Flow: Semantic Correspondences from Object Proposals,Cascaded Scene Flow Prediction Using Semantic Segmentation
Semantic part segmentation using compositional model combining shape and appearance,"Jianyu Wang, Alan Yuille, ",2015,9,Semantic Object Parsing with Local-Global Long Short-Term Memory,Attention to Scale: Scale-Aware Semantic Image Segmentation,Interpretable Structure-Evolving LSTM,Gated Feedback Refinement Network for Dense Image Labeling,Look into Person: Self-Supervised Structure-Sensitive Learning and a New Benchmark for Human Parsing,Teaching Compositionality to CNNs,Joint Object and Part Segmentation Using Deep Learned Potentials,Embedding 3D Geometric Features for Rigid Object Part Segmentation,Weakly Supervised Part Proposal Segmentation From Multiple Images,Seeds-Based Part Segmentation by Seeds Propagation and Region Convexity Decomposition,Object Instance Segmentation and Fine-Grained Localization Using Hypercolumns,DeepLab: Semantic Image Segmentation with Deep Convolutional Nets Atrous Convolution and Fully Connected CRFs,Image Piece Learning for Weakly Supervised Semantic Segmentation,Towards a Unified Compositional Model for Visual Pattern Modeling,Learning Semantic Part-Based Models from Google Images
Using Dempster-Shafer Theory to Fuse Multiple Information Sources in Region-Based Segmentation,"Tomasz Adamek, Noel E. O'Connor, ",2007,9,Object-based evaluation of hierarchical region-based representations based on information theory statistical measures,Hierarchical fusion of color and depth information at partition level by cooperative region merging,Incorporating spatio-temporal mid-level features in a region segmentation algorithm for video sequences,General region merging approaches based on information theory statistical measures,Region merging parameter dependency as information diversity to create sparse hierarchies of partitions,A novel region-based image segmentation method using SVM and D-S evidence theory,An improved image segmentation algorithm for salient object detection,Region Merging Techniques Using Information Theory Statistical Measures,General region merging based on first order Markov information theory statistical measures
Unsupervised semantic object segmentation of stereoscopic video sequences,"A. D. Doulamis, N. D. Doulamis, K. S. Ntalianis, S. D. Kollias, ",1999,9,Object Segmentation by Comparison of Active Contour Snake and Level Set in Biomedical Applications,Adaptive Stereo Video Object Segmentation Based on Depth and Spatio-temporal Information,An active contour-based video object segmentation scheme for stereoscopic video sequences,Non-sequential video structuring based on video object linking: an efficient tool for video browsing and indexing,A feature point based scheme for unsupervised video object segmentation in stereoscopic video sequences,D - Clutter: Building object model library from unsupervised segmentation of cluttered scenes,Video object segmentation using depth and saliency map,Motion detection based on temporal-to-spatial conversion of depth maps for multi-view video
Commercial video retrieval by induced semantics,"M. Caliani, C. Colombo, A. del Bimbo, P. Pala, ",1998,9,Issues and directions in visual information retrieval,Semantics in visual information retrieval,Retrieval of commercials by video semantics,Content based annotation and retrieval of news videos
A Generative Probabilistic Model and Discriminative Extensions for Brain Lesion Segmentation&mdash; With Application to Tumor and Stroke,"Bjoern H. Menze, Koen Van Leemput, Danial Lashkari, Tammy Riklin-Raviv, Ezequiel Geremia, Esther Alberts, Philipp Gruber, Susanne Wegener, Marc-Andr&eacute; Weber, Gabor Sz&eacute;kely, Nicholas Ayache, Polina Golland, ",2016,9
Low-level motion activity features for semantic characterization of video,"K. A. Peker, A. A. Alatan, A. N. Akansu, ",2000,9,Human activity detection in MPEG sequences,A novel pair-wise comparison based analytical framework for automatic measurement of intensity of motion activity of video segments,Statistical Motion Information Extraction and Representation for Semantic Video Analysis,Vector quantization-based automatic shot boundary detection,Format-Independent Motion Content Description based on Spatiotemporal Visual Sensitivity,A robust error concealment technique using data hiding for image and video transmission over lossy channels,Indexing and Querying in Multimedia Databases,Interpreting Camera Operations in the Context of Content-based Video Indexing and Retrieval
Semantic keyword extraction via adaptive text binarization of unstructured unsourced video,"Michele Merler, John R. Kender, ",2009,9,Indexing and keyword search to ease navigation in lecture videos,Annotation and taxonomy of gestures in lecture videos,Binarization of Textual Content in Video Frames,Synchronization of presentation slides and lecture videos using bit rate sequences,Multi-modal and Cross-Modal for Lecture Videos Retrieval,Binarization of natural scene text based on L1-Norm PCA
Region-based high-level semantics extraction with CEDD,"Yuzhu Zhou, Le Li, Tong Zhao, Honggang Zhang, ",2010,9,Nonnegative matrix factorization: When data is not nonnegative,Location aided energy balancing strategy in green cellular networks,Robust rear-view ground surface detection with hidden state conditional random field and confidence propagation,Documents clustering based on max-correntropy nonnegative matrix factorization,Adaptive context-aware sensor array system for scene analysis in multiple human monitoring,Large margin image set representation and classification,Utilizing concept correlations for effective imbalanced data classification,Extrinsic calibration for wide-baseline RGB-D camera network
