A direct adaptive method for faster backpropagation learning: the RPROP algorithm,"M. Riedmiller, H. Braun, ",1993,1179,Artificial Neural Network Based Adaptive Load Shedding for an Industrial Cogeneration Facility,The forward EEG solutions can be computed using artificial neural networks,Crack detection and recognition using an eddy current differential probe,Automatic analysis of facial expressions: the state of the art,Computer-aided diagnosis: a neural-network-based approach to lung nodule detection,A comparison of linear genetic programming and neural networks in medical data mining,Effects of phenotypic redundancy in structure optimization,Tracing patterns and attention: humanoid robot cognition,Advances in feedforward neural networks: demystifying knowledge acquiring black boxes,Exploiting domain-specific properties: compiling parallel dynamic neural network algorithms into efficient code,Performance evaluation of a sequential minimal radial basis function (RBF) neural network learning algorithm,Learning in the combinatorial neural model,Fast initialization for cascade-correlation learning,Bidirectional recurrent neural networks,Multiple reflection attenuation in seismic data using backpropagation,Optimization of HV electrode systems by neural networks using a new learning method,Neural networks for control,An adaptive critic global controller,An Augmented Reality Question Answering System Based on Ensemble Neural Networks,Audiovisual Detection of Laughter in Human-Machine Interaction,Novel Approaches for Minutiae Verification in Fingerprint Images,On a Successful Application of Multi-Agent Reinforcement Learning to Operations Research Benchmarks,Improved neural fitted Q iteration applied to a novel computer gaming and learning benchmark,A diagnostic approach for electro-mechanical actuators in aerospace systems,Comparison between geometry-based and Gabor-wavelets-based facial expression recognition using multi-layer perceptron,Application of Improved BP Network in the Flaws Evaluation of Conductive Materials,Quantification of Intermarket Influence Based on the Global Optimization and Its Application for Stock Market Prediction,Spiking neural networks for identification and control of dynamic plants,Neural Network Trainer through Computer Networks,Anomaly prediction in seismic signals using neural networks
Simple model of spiking neurons,"E. M. Izhikevich, ",2003,1174,An Extreme Learning Machine-Based Neuromorphic Tactile Sensing System for Texture Recognition,Nonlinear Dynamic Modeling of Synaptically Driven Single Hippocampal Neuron Intracellular Activity,Modeling of Multisensory Convergence with a Network of Spiking Neurons: A Reverse Engineering Approach,Nonlinear Dynamic Modeling of Neuron Action Potential Threshold During Synaptically Driven Broadband Intracellular Activity,Investigating the Neural Correlates of Pathological Cortical Networks in Alzheimer's Disease Using Heterogeneous Neuronal Models,Reduced Computational Models of Serotonin Synthesis Release and Reuptake,Biophysically Accurate Foating Point Neuroprocessors for Reconfigurable Logic,Model Order and Identifiability of Non-Linear Biological Systems in Stable Oscillation,A Neurally Controlled Computer Game Avatar With Humanlike Behavior,Peer-to-Peer Communication in Neuronal Nano-Network,A Novel Hybrid Spiking Neuron: Bifurcations Responses and On-Chip Learning,A Novel PWC Spiking Neuron Model: Neuron-Like Bifurcation Scenarios and Responses,Biologically Inspired Spiking Neurons: Piecewise Linear Models and Digital Implementation,Digital Multiplierless Implementation of Biological Adaptive-Exponential Neuron Model,Digital Multiplierless Realization of Two Coupled Biological Morris-Lecar Neuron Model,A CORDIC Based Digital Hardware For Adaptive Exponential Integrate and Fire Neuron,Scalable Networks-on-Chip Interconnected Architecture for Astrocyte-Neuron Networks,Homeostatic Fault Tolerance in Spiking Neural Networks: A Dynamic Hardware Perspective,Spiking and Bursting in Josephson Junction,Digital Multiplierless Realization of Two-Coupled Biological Hindmarsh–Rose Neuron Model,The neural communication network: A brief review on neuromodeling and neuroengineering,Effect of Transcranial Ultrasonic–Magnetic Stimulation on Two Types of Neural Firing Behaviors in Modified Izhikevich Model,A Structural Variation Classification Model for Image Quality Assessment,Which model to use for cortical spiking neurons?,The role of temporal parameters in a thalamocortical model of analogy,A MOSFET-based model of a class 2 nerve membrane,Learning Anticipation via Spiking Networks: Application to Navigation Control,Self-Sustained Irregular Activity in 2-D Small-World Networks of Excitatory and Inhibitory Neurons,Theoretical Model for Mesoscopic-Level Scale-Free Self-Organization of Functional Brain Networks,Multiagent Reinforcement Learning: Spiking and Nonspiking Agents in the Iterated Prisoner's Dilemma
Wavelet networks,"Q. Zhang, A. Benveniste, ",1992,1167,WN-based approach to melanoma diagnosis from dermoscopy images,Short-term forecasting of available parking space using wavelet neural network model,Hybrid forecasting model-based data mining and genetic algorithm-adaptive particle swarm optimisation: a case study of wind speed time series,A Novel Neuro-Wavelet Based Self-Tuned Wavelet Controller for IPM Motor Drives,Modeling the relationship between concurrent epicardial action potentials and bipolar electrograms,Single-sweep analysis of event-related potentials by wavelet networks-methodological basis and clinical application,Sup-norm approximation bounds for networks through probabilistic methods,Wavelet network-based detection and classification of transients,A wavelet networks-based method for the digital telecommunication system monitoring,Using wavelet neural networks for the optimal design of electromagnetic devices,Wavelet tools for improving the accuracy of neural network solution of electromagnetic inverse problems,Wavelet decomposition and radial basis function networks for system monitoring,The Chebyshev-polynomials-based unified model neural networks for function approximation,Learning methodology for failure detection and accommodation,Classifying biosignals with wavelet networks [a method for noninvasive diagnosis],Neural networks for classification: a survey,Using adaptive networks to model and control drug delivery,Accuracy analysis for wavelet approximations,Multidimensional wavelet frames,Learning algorithms for feedforward networks based on finite samples,Circular backpropagation networks for classification,Using wavelet network in nonparametric estimation,ScaleNet-multiscale neural-network architecture for time series prediction,Bayesian wavelet networks for nonparametric regression,Multiwavelet neural network and its approximation properties,Focused local learning with wavelet neural networks,Wavelet neural networks for function learning,Fast adaptive digital equalization by recurrent neural networks,Density function approximation using reduced sufficient statistics for joint estimation of linear and nonlinear parameters,Orthogonal wavelet neural networks applying to identification of Wiener model
Bidirectional associative memories,"B. Kosko, ",1988,1114,A bidirectional associative memory based on optimal linear associative memory,Timing and chunking in processing temporal order,Toward intelligent flight control,Designing bidirectional associative memories with optimal stability,Optimum learning for bidirectional associative memory in the sense of capacity,Asymmetric bidirectional associative memories,Anticipation-based temporal pattern generation,Stability capacity and statistical dynamics of second-order bidirectional associative memory,Model-base structures to support adaptive planning in command/control systems,Higher-ordered and intraconnected bidirectional associative memories,Real-time applications of neural nets,A switched capacitor bidirectional associative memory,Associative recall using a contraction operator,A heteroassociative memory using current-mode MOS analog VLSI circuits,A unified model for abduction-based reasoning,A deterministic capacity-finding method for multi-valued exponential BAM,Cognitive reasoning using fuzzy neural nets,Capacity analysis of the asymptotically stable multi-valued exponential bidirectional associative memory,Orthogonal schemes for bidirectional associative memories,Data compression by the recursive algorithm of exponential bidirectional associative memory,A general model for bidirectional associative memories,Multi-associative neural networks and their applications to learning and retrieving complex spatio-temporal sequences,A modular T-mode design approach for analog neural network hardware implementations,Complex temporal sequence learning based on short-term memory,Neural networks for fault location in substations,Characteristics of Hebbian-type associative memories having faulty interconnections,Weighted learning of bidirectional associative memories by global minimization,An analog feedback associative memory,A modified bidirectional decoding strategy based on the BAM structure,Performance analysis of the bidirectional associative memory and an improved model from the matched-filtering viewpoint
Backpropagation through time: what it does and how to do it,"P. J. Werbos, ",1990,1100,Using deep learning to detect price change indications in financial markets,Neural networks in control systems,Design of an adaptive power system stabilizer using recurrent neural networks,Long short-term memory based on a reward/punishment strategy for recurrent neural networks,Adjoint Systems for Models of Cell Signaling Pathways and their Application to Parameter Fitting,A method of pattern recognition based upon synthetic technology of fuzzy logic and neural network,Modeling and optimal control of batch processes using recurrent neuro-fuzzy networks,Fuzzy-Based Goal Representation Adaptive Dynamic Programming,Recurrent Neural Networks to Correct Satellite Image Classification Maps,Adaptive-critic-based optimal neurocontrol for synchronous generators in a power system using MLP/RBF neural networks,A Novel System-Centric Intelligent Adaptive Control Architecture for Damping Interarea Mode Oscillations in Power System,Recurrent Neural Networks Trained With Backpropagation Through Time Algorithm to Estimate Nonlinear Load Harmonic Currents,Respiratory Motion Estimation With Hybrid Implementation of Extended Kalman Filter,Precise Positioning of Nonsmooth Dynamic Systems Using Fuzzy Wavelet Echo State Networks and Dynamic Surface Sliding Mode Control,Sparse Coding-Inspired Optimal Trading System for HFT Industry,Time-delay neural network for the prediction of carbonation tower's temperature,Semi-Supervised Deep Learning Using Pseudo Labels for Hyperspectral Image Classification,Unsupervised Hierarchical Modeling of Driving Behavior and Prediction of Contextual Changing Points,Knowledge Graph Embedding: A Survey of Approaches and Applications,Grounded spoken language acquisition: experiments in word learning,EM-based optimization of microwave circuits using artificial neural networks: the state-of-the-art,A recurrent log-linearized Gaussian mixture network,Trajectory generation and modulation using dynamic neural networks,Query-based learning for aerospace applications,Markovian architectural bias of recurrent neural networks,Indirect adaptive control for synchronous Generator: comparison of MLP/RBF neural networks approach with Lyapunov stability analysis,Smooth function approximation using neural networks,Spiking perceptrons,An approximate internal model-based neural control for unknown nonlinear discrete processes,Training Recurrent Neurocontrollers for Robustness With Derivative-Free Kalman Filter
"30 years of adaptive neural networks: perceptron, Madaline, and backpropagation","B. Widrow, M. A. Lehr, ",1990,1096
Going deeper with convolutions,"Christian Szegedy, Wei Liu, Yangqing Jia, Pierre Sermanet, Scott Reed, Dragomir Anguelov, Dumitru Erhan, Vincent Vanhoucke, Andrew Rabinovich, ",2015,1078,Object Recognition Using Deep Convolutional Features Transformed by a Recursive Network Structure,Multilinear Principal Component Analysis Network for Tensor Object Classification,Liver Fibrosis Classification Based on Transfer Learning and FCNet for Ultrasound Images,Facial Expression Recognition From Image Sequence Based on LBP and Taylor Expansion,A Deep Normalization and Convolutional Neural Network for Image Smoke Detection,Nuclear Architecture Analysis of Prostate Cancer via Convolutional Neural Networks,Efficient Stereo Matching Leveraging Deep Local and Context Information,Age Group and Gender Estimation in the Wild With Deep RoR Architecture,An Ensemble Deep Learning Method for Vehicle Type Classification on Visual Traffic Surveillance Sensors,G-CNN: Object Detection via Grid Convolutional Neural Network,BundleNet: Learning with Noisy Label via Sample Correlations,Cascaded Regional Spatio-Temporal Feature-Routing Networks for Video Object Detection,Deep Learning Applications in Medical Image Analysis,Analyzing Tongue Images Using a Conceptual Alignment Deep Autoencoder,Towards Emotionally Aware AI Smart Classroom: Current Issues and Directions for Engineering and Education,Fast Deep Neural Networks With Knowledge Guided Training and Predicted Regions of Interests for Real-Time Video Object Detection,Exploiting Convolutional Neural Networks With Deeply Local Description for Remote Sensing Image Classification,Adaptive Feature Mapping for Customizing Deep Learning Based Facial Expression Recognition Model,Additional feature CNN based automatic target recognition in SAR image,DeepBreath: Deep learning of breathing patterns for automatic stress recognition using low-cost thermal imaging in unconstrained settings,Recognition of emotional speech with convolutional neural networks by means of spectral estimates,Transfer learning for high resolution aerial image classification,Stop line detection and distance measurement for road intersection based on deep learning neural network,Ensemble of binary tree structured deep convolutional network for image classification,Detection of various image operations based on CNN,A deep learning architecture for classifying medical images of anatomy object,Parallel Multi Channel convolution using General Matrix Multiplication,Arabic manuscript author verification using deep convolutional networks,FPGA-based convolution neural network for traffic sign recognition,Neural networks: Efficient implementations and applications
Fuzzy ARTMAP: A neural network architecture for incremental supervised learning of analog multidimensional maps,"G. A. Carpenter, S. Grossberg, N. Markuzon, J. H. Reynolds, D. B. Rosen, ",1992,1066,Application of intelligent tools to detect and classify broken rotor bars in three-phase induction motors fed by an inverter,Fuzzy based methodologies comparison for high-impedance fault diagnosis in radial distribution feeders,PV-Microgrid Operational Cost Minimization by Neural Forecasting and Heuristic Optimization,Classification of cardiac arrhythmias using fuzzy ARTMAP,A computational neural approach to support the discovery of gene function and classes of cancer,Incremental knowledge acquisition in supervised learning networks,Fuzzy inference neural network for fuzzy model tuning,An adaptive neural fuzzy filter and its applications,Neural network models for a resource allocation problem,Fuzzy classifications using fuzzy inference networks,Pattern fusion in feature recognition neural networks for handwritten character recognition,Learning sensor-based navigation of a real mobile robot in unknown worlds,A reinforcement neuro-fuzzy combiner for multiobjective control,A survey of fuzzy clustering algorithms for pattern recognition. I,A survey of fuzzy clustering algorithms for pattern recognition. II,An effective neuro-fuzzy paradigm for machinery condition health monitoring,NeuroFAST: on-line neuro-fuzzy ART-based structure and parameter learning TSK model,Evolving fuzzy neural networks for supervised/unsupervised online knowledge-based learning,A self-organizing neural network for supervised learning recognition and prediction,ART neural networks for remote sensing: vegetation classification from Landsat TM and terrain data,A neural network algorithm for sea ice edge classification,A Gaussian adaptive resonance theory neural network classification algorithm applied to supervised land cover mapping using multitemporal vegetation index data,Classifying multichannel ECG patterns with an adaptive neural network,Learn++: an incremental learning algorithm for supervised neural networks,Hopfield/ART-1 neural network-based fault detection and isolation,ART-EMAP: A neural network architecture for object recognition by evidence accumulation,X-tron: an incremental connectionist model for category perception,A fuzzy ARTMAP nonparametric probability estimator for nonstationary pattern recognition problems,Reinforcement learning for an ART-based fuzzy adaptive learning control network,Incremental backpropagation learning networks
Representation Learning: A Review and New Perspectives,"Yoshua Bengio, Aaron Courville, Pascal Vincent, ",2013,1022,Data driven visual tracking via representation learning and online multi-class LPBoost learning,Video anomaly detection using deep incremental slow feature analysis network,Sample reconstruction with deep autoencoder for one sample per person face recognition,Mid-level deep Food Part mining for food image recognition,Survey on deep learning methods in human action recognition,Extracting statistically significant behaviour from fish tracking data with and without large dataset cleaning,Deep convolutional neural networks for automatic segmentation of left ventricle cavity from cardiac magnetic resonance images,Cognition-Based Networks: A New Perspective on Network Optimization Using Learning and Distributed Intelligence,Location-Aware Personalized News Recommendation With Deep Semantic Analysis,Recognizing Emotions From Whispered Speech Based on Acoustic Feature Transfer Learning,Liver Fibrosis Classification Based on Transfer Learning and FCNet for Ultrasound Images,Machine Learning With Big Data: Challenges and Approaches,Convolutional Neural Networks for Automatic Cognitive Radio Waveform Recognition,Robust Face Super-Resolution via Locality-Constrained Low-Rank Representation,HAST-IDS: Learning Hierarchical Spatial-Temporal Features Using Deep Neural Networks to Improve Intrusion Detection,Deep Learning Applications in Medical Image Analysis,Analyzing Tongue Images Using a Conceptual Alignment Deep Autoencoder,Automatic LPI Radar Waveform Recognition Using CNN,An experimental study of speech emotion recognition based on deep convolutional neural networks,Learning spectro-temporal features with 3D CNNs for speech emotion recognition,Analog Neural Circuit with Switched Capacitor and Design of Deep Learning Model,Recommendation Engine for Online Short Video,Sparse autoencoder based spatial pyramid facial feature learning,On the interplay of network structure and gradient convergence in deep learning,Disentangled representations via synergy minimization,Image ordinal estimation: Classification and regression benefit each other,Hybrid acoustic models for distant and multichannel large vocabulary speech recognition,Stochastic Gradient Variational Bayes for deep learning-based ASR,Exploring ASR-free end-to-end modeling to improve spoken language understanding in a cloud-based dialog system,Machine learning anomaly detection in large systems
Simics: A full system simulation platform,"P. S. Magnusson, M. Christensson, J. Eskilson, D. Forsgren, G. Hallberg, J. Hogberg, F. Larsson, A. Moestedt, B. Werner, ",2002,969,Development of the Temperature Sensor for Measuring Heat Based on the Difference between the Specific Enthalpy,Execution-driven parallel simulation of PGAS applications on heterogeneous tiled architectures,Memory Heat Map: Anomaly detection in real-time embedded systems using memory behavior,On-chip interconnection network for accelerator-rich architectures,A CAM fault-tolerant strategy for multiprocessor by using bloom filter and history lookup table,Spin detection hardware for improved management of multithreaded systems,Extending the TokenCMP Cache Coherence Protocol for Low Overhead Fault Tolerance in CMP Architectures,Dealing with Transient Faults in the Interconnection Network of CMPs at the Cache Coherence Level,Secure Synchronization of Periodic Updates in Ad Hoc Networks,Modeling and Stack Simulation of CMP Cache Capacity and Accessibility,A Direct Coherence Protocol for Many-Core Chip Multiprocessors,Supporting Overcommitted Virtual Machines through Hardware Spin Detection,Communication-Aware Globally-Coordinated On-Chip Networks,Balancing Performance and Cost in CMP Interconnection Networks,Distributed Cooperative Caching: An Energy Efficient Memory Scheme for Chip Multiprocessors,Efficient and Scalable Starvation Prevention Mechanism for Token Coherence,Efficient Eager Management of Conflicts for Scalable Hardware Transactional Memory,Hardware Signature Designs to Deal with Asymmetry in Transactional Data Sets,LvtPPP: Live-Time Protected Pseudopartitioning of Multicore Shared Caches,Improving Utilization of Hardware Signatures in Transactional Memory,Eager Beats Lazy: Improving Store Management in Eager Hardware Transactional Memory,Adaptive-Tree Multicast: Efficient Multidestination Support for CMP Communication Substrate,Fast and Accurate Simulation of the Cray XMT Multithreaded Supercomputer,Architectural Support for Handling Jitterin Shared Memory Based Parallel Applications,Thread Progress Aware Coherence Adaption for Hybrid Cache Coherence Protocols,Extending the Performance and Energy-Efficiency of Shared Memory Multicores with Nanophotonic Technology,ZEBRA: Data-Centric Contention Management in Hardware Transactional Memory,A-WiNoC: Adaptive Wireless Network-on-Chip Architecture for Chip Multiprocessors,Efficient TLB-Based Detection of Private Pages in Chip Multiprocessors,A Loosely-Coupled Full-System Multicore Simulation Framework
Universal approximation bounds for superpositions of a sigmoidal function,"A. R. Barron, ",1993,959,High-order neural network structure selection for function approximation applications using genetic algorithms,Adaptive output feedback control of systems preceded by the Preisach-type hysteresis,Reinforcement Learning in Continuous Time and Space: Interference and Not Ill Conditioning Is the Main Problem When Using Distributed Function Approximators,Foreword - ADP: The Key Direction for Future Research in Intelligent Control and Understanding Brain Intelligence,Trajectory Planning and Optimized Adaptive Control for a Class of Wheeled Inverted Pendulum Vehicle Models,Efficient approximation of neural filters for removing quantum noise from images,Acoustic characterization and prediction of the cut-off dimensionless frequency of an elastic tube by neural networks,Neural Network Control of two Electrically Driven Cooperating 6 DOF Robot Manipulators,Neural network approximation and estimation of functions,Direct Identification of Optimal SM-LPV Filters and Application to Vehicle Yaw Rate Estimation,A Novel Fault Diagnostics and Prediction Scheme Using a Nonlinear Observer With Artificial Immune System as an Online Approximator,Predictive Control of Container Flows in Maritime Intermodal Terminals,Dynamic Extreme Learning Machine and Its Approximation Capability, $F$ -Discrepancy for Efficient Sampling in Approximate Dynamic Programming,An Efficient Leave-One-Out Cross-Validation-Based Extreme Learning Machine (ELOO-ELM) With Minimal User Intervention,Stochastic Configuration Networks: Fundamentals and Algorithms,ANN-Based Optimal Energy Control of Induction Motor Drive in Pumping Applications,Stable auto-tuning of adaptive fuzzy/neural controllers for nonlinear discrete-time systems,Experimental studies in nonlinear discrete-time adaptive prediction and control,Differential Neuro-Fuzzy Controller for Uncertain Nonlinear Systems,Design and implementation of industrial neural network controller using backstepping,Robust Smooth-Trajectory Control of Nonlinear Servo Systems Based on Neural Networks,Sequential greedy approximation for certain convex optimization problems,Nonparametric regression estimation by normalized radial basis function networks,Information Theory and Mixing Least-Squares Regressions,Geometric Upper Bounds on Rates of Variable-Basis Approximation,Estimation of a Regression Function by Maxima of Minima of Linear Functions,Sequential Procedures for Aggregating Arbitrary Estimators of a Conditional Mean,Local Minimax Learning of Functions With Best Finite Sample Estimation Error Bounds: Applications to Ridge and Lasso Regression Boosting Tree Learning Kernel Machines and Inverse Problems,An $L_{2}$ -Boosting Algorithm for Estimation of a Regression Function
Evolving artificial neural networks,"Xin Yao, ",1999,946,A study of the Lamarckian evolution of recurrent neural networks,Designing classifier fusion systems by genetic algorithms,Evolution of functional link networks,Effects of phenotypic redundancy in structure optimization,Hybrid soft computing systems: industrial and commercial applications,STRIP - a strip-based neural-network growth algorithm for learning multiple-valued functions,Coupling a Fast Fourier Transformation With a Machine Learning Ensemble Model to Support Recommendations for Heart Disease Patients in a Telehealth Environment,An Adaptive Memetic Algorithm With Rank-Based Mutation for Artificial Neural Network Architecture Optimization,Preference learning for affective modeling,A Weighted Evolving Fuzzy Neural Network for Electricity Demand Forecasting,Bio-mimetic approach in digital artificial neuro-science,Hardware Implementation of a Bio-plausible Neuron Model for Evolution and Growth of Spiking Neural Networks on FPGA,Dynamic Routing on the Ubichip: Toward Synaptogenetic Neural Networks,A Multi-cellular Developmental Representation for Evolution of Adaptive Spiking Neural Microcircuits in an FPGA,Engineering cooperative smart things based on embodied cognition,Sensory-motor Coordination in Object Detection,Evolution of bilateral symmetry in agents controlled by spiking neural networks,A Generic Architecture for Intelligent System Hardware,Evolution and incremental learning in the iterative prisoner's dilemma,Evolutionary computation variants for cooperative spatial coordination,Evolution of Neural Networks for Helicopter Control: Why Modularity Matters,Evolving General Regression Neural Networks for Tsunami Detection and Response,Evolutionary Neural Networks Applied To The Classification Of Microcalcification Clusters In Digital Mammograms,Evolved Neural Networks for High Throughput Anti-HIV Ligand Screening,ANNE - A New Algorithm for Evolution of Artificial Neural Network Classifier Systems,Enhance the Baldwin Effect by Strengthening the Correlation between Genetic Operators and Learning Methods,Speciation Techniques in Evolved Ensembles with Negative Correlation Learning,Feature selection using Double Parallel Feedforward Neural Networks and Particle Swarm Optimization,Combine and compare evolutionary robotics and reinforcement Learning as methods of designing autonomous robots,A global-local hybrid Evolutionary Strategy (ES) for Recurrent Neural Networks (RNNs) in system identification
A Cooperative approach to particle swarm optimization,"F. van den Bergh, A. P. Engelbrecht, ",2004,921,Fault diagnosis for nonlinear mechatronic system using particle swarm optimization,Energy management of a parallel plug-in hybrid electric vehicle based on SA-PSO algorithm,A competitive swarm optimizer integrated with Cauchy and Gaussian mutation for large scale optimization,GPU-based coevolutionary particle swarm optimization,A Multiobjective Cooperative Coevolutionary Algorithm for Hyperspectral Sparse Unmixing,Factored Evolutionary Algorithms,Efficient Resource Allocation in Cooperative Co-Evolution for Large-Scale Global Optimization,Turning High-Dimensional Optimization Into Computationally Expensive Optimization,DG2: A Faster and More Accurate Differential Grouping for Large-Scale Black-Box Optimization,Efficient Self-Evolving Evolutionary Learning for Neurofuzzy Inference Systems,Hierarchical Cluster-Based Multispecies Particle-Swarm Optimization for Fuzzy-System Optimization,Evolutionary-Group-Based Particle-Swarm-Optimized Fuzzy Controller With Application to Mobile-Robot Navigation in Unknown Environments,Rule-Based Cooperative Continuous Ant Colony Optimization to Improve the Accuracy of Fuzzy System Design,Cooperative Coevolution for Large-Scale Optimization Based on Kernel Fuzzy Clustering and Variable Trust Region Methods,A Novel Feature Selection Approach Based on FODPSO and SVM,Evolving Gaits of a Hexapod Robot by Recurrent Neural Networks With Symbiotic Species-Based Particle Swarm Optimization,Model Parameter Identification for Lithium Batteries Using the Coevolutionary Particle Swarm Optimization Method,GPU-Accelerated Parallel Coevolutionary Algorithm for Parameters Identification and Temperature Monitoring in Permanent Magnet Synchronous Machines,Multilevel Thresholding for Image Segmentation Through an Improved Quantum-Behaved Particle Swarm Algorithm,Long-Term Ship Speed Prediction for Intelligent Traffic Signaling,Hierarchical Deployment Optimization for Wireless Sensor Networks,Parallel Decomposition Approach to Gradient-Based EM Optimization,Self-Organizing Potential Field Network: A New Optimization Algorithm,Mixing Matrix Estimation From Sparse Mixtures With Unknown Number of Sources,Nonlinear Model Predictive Control Based on Collective Neurodynamic Optimization,Operating Point Optimization of Auxiliary Power Unit Based on Dynamic Combined Cost Map and Particle Swarm Optimization,A New Particle Swarm Optimization Solution to Nonconvex Economic Dispatch Problems,Determination of Capacity Benefit Margin in Multiarea Power Systems Using Particle Swarm Optimization,Coordinated Scheduling of Residential Distributed Energy Resources to Optimize Smart Home Energy Services,Equivalence of Multi-Time Scale Optimization for Home Energy Management Considering User Discomfort Preference
Long Short-Term Memory,"Sepp Hochreiter, J&uuml;rgen Schmidhuber, ",1997,919,LSTM recurrent networks learn simple context-free and context-sensitive languages,Meta-learning with backpropagation,Incremental syntactic parsing of natural language corpora with simple synchrony networks,Generalization ability of folding networks,Constructing hysteretic memory in neural networks,Recurrent nets that time and count,Neural processing of complex continual input streams,Sufficient conditions for error back flow convergence in dynamical recurrent neural networks,New results on recurrent network training: unifying the algorithms and accelerating convergence,On the choice of parameters of the cost function in nested modular RNN's,Enhanced semantic refinement gate for RNN-based neural language generator,An empirical study of discriminative sequence labeling models for Vietnamese text processing,An Ensemble of Convolutional Neural Networks for Image Classification Based on LSTM,Deep Sentiment Representation Based on CNN and LSTM,Character-Based Convolutional Grid Neural Network for Breast Cancer Classification,A transition-based approach for AMR parsing using LSTM networks,Learn&amp;Fuzz: Machine learning for input fuzzing,Automatically generating commit messages from diffs using neural machine translation,Efficient Processing of Deep Neural Networks: A Tutorial and Survey,Speaker-Independent Silent Speech Recognition From Flesh-Point Articulatory Movements Using an LSTM Neural Network,Direct Speech Reconstruction From Articulatory Sensor Data by Machine Learning,Hierarchical Bidirectional Long Short-Term Memory Networks for Chinese Messaging Spam Filtering,Predicting Stock Price Returns Using Microblog Sentiment for Chinese Stock Market,A Convolutional Neural Network for Clickbait Detection,Processing LSTM in memory using hybrid network expansion model,Long short-term memory description and its application in text processing,A Sequence Learning Model with Recurrent Neural Networks for Taxi Demand Prediction,Deep Learning on Operational Facility Data Related to Large-Scale Distributed Area Scientific Workflows,Towards a Fully Automated Diagnostic System for Orthodontic Treatment in Dentistry,Forecasting of ionospheric vertical total electron content (TEC) using LSTM networks
Complete discrete 2-D Gabor transforms by neural networks for image analysis and compression,"J. G. Daugman, ",1988,916,Neural network technique for image compression,Entropy reduction and decorrelation in visual coding by oriented neural receptive fields,A neural network approach to the labeling of line drawings,Shiftable multiscale transforms,A generalized wavelet transform for Fourier analysis: the multiresolution Fourier transform and its application to image and audio signal analysis,Localized measurement of emergent image frequencies by Gabor wavelets,Vector quantization with complexity costs,Psychophysical 1-D wavelet analysis and the appearance of visual contrast illusions,Visual pattern image coding,Weight adjustment rule of neural networks for computing discrete 2-D Gabor transforms (image processing),Image compression using an overcomplete discrete wavelet transform,Kernel designs for efficient multiresolution edge detection and orientation estimation,The canonical coordinates method for pattern deformation: theoretical and computational considerations,High confidence visual recognition of persons by a test of statistical independence,Deformable kernels for early vision,Multichannel texture analysis using localized spatial filters,Texture features for browsing and retrieval of image data,Handprinted character recognition based on spatial topology distance measurement,Image representation using 2D Gabor wavelets,Texture classification using windowed Fourier filters,Object recognition robust under translations deformations and changes in background,Face recognition by elastic bunch graph matching,Space-variant Fourier analysis: the exponential chirp transform,Pictorial recognition of objects employing affine invariance in the frequency domain,Scale-space derived from B-splines,Primitive features by steering quadrature and scale,Classifying facial actions,The design and use of steerable filters,A selective attention-based method for visual pattern recognition with application to handwritten digit recognition and face recognition,An experiment on texture segmentation using modulated wavelets
Using mutual information for selecting features in supervised neural net learning,"R. Battiti, ",1994,897,Estimating optimal feature subsets using efficient estimation of high-dimensional mutual information,Sparse Model Identification Using a Forward Orthogonal Regression Algorithm Aided by Mutual Information,Maximization of Mutual Information for Supervised Linear Feature Extraction,Normalized Mutual Information Feature Selection,Feature Selection for MLP Neural Network: The Use of Random Permutation of Probabilistic Outputs,Discriminant Independent Component Analysis,Feature Selection Using Probabilistic Prediction of Support Vector Regression,Tree-Structured Feature Extraction Using Mutual Information,A Discrimination Analysis for Unsupervised Feature Selection via Optic Diffraction Principle,A Telescopic Binary Learning Machine for Training Neural Networks,Design and Application of a Variable Selection Method for Multilayer Perceptron Neural Network With LASSO,Filter Bank Regularized Common Spatial Pattern Ensemble for Small Sample Motor Imagery Classification,Input feature selection by mutual information based on Parzen window,Simultaneous feature selection and clustering using mixture models,Learning vector quantization with training data selection,Feature extraction using information-theoretic learning,Information Discriminant Analysis: Feature Extraction with an Information-Theoretic Objective,Natural Image Statistics and Low-Complexity Feature Selection,Discriminant Saliency the Detection of Suspicious Coincidences and Applications to Visual Recognition,On the Feature Selection Criterion Based on an Approximation of Multidimensional Mutual Information,A Semidefinite Programming Based Search Strategy for Feature Selection with Mutual Information Measure,Preventive Control Stability Via Neural Network Sensitivity,Intelligent Condition Based Monitoring Using Acoustic Signals for Air Compressors,Pattern Analysis Framework With Graphical Indices for Condition-Based Monitoring,Data Mining for Electricity Price Classification and the Application to Demand-Side Management,A Distributed Computing Platform Supporting Power System Security Knowledge Discovery Based on Online Simulation,Cycle-Time Key Factor Identification and Prediction in Semiconductor Manufacturing Using Machine Learning and Data Mining,Hybrid User-Assisted Incremental Model Adaptation for Activity Recognition in a Dynamic Smart-Home Environment,FD4C: Automatic Fault Diagnosis Framework for Web Applications in Cloud Computing,Firm bankruptcy prediction: experimental comparison of isotonic separation and other classification approaches
