Further developments in LP-based optimal power flow,"O. Alsac, J. Bright, M. Prais, B. Stott, ",1990,272,Optimal power flow based on successive linear approximation of power flow equations,Optimal active OPF with FACTS devices by an innovative load-equivalent approach,Real-time implementation of optimal reactive power flow,The implementation of an energy brokerage system using linear programming,Optimal power flow emulation of interchange brokerage systems using linear programming,Features of a hybrid expert system for security enhancement,Network constrained security control using an interior point algorithm,Sensitivity-based reactive power control for voltage profile improvement,Implementation of the import optimizer function for Florida Power and Light,Reactive power optimization using fuzzy load representation,A direct nonlinear predictor-corrector primal-dual interior point algorithm for optimal power flows,Application of fuzzy sets to optimal reactive power planning with security constraints,Active-reactive coupling in optimal reactive dispatch: a solution via Karush-Kuhn-Tucker optimality conditions,Application of decomposition techniques to VAr planning: methodological and computational aspects,A simple two stage optimization algorithm for constrained power economic dispatch,A load flow and fuzzy linear programming based external network modeling approach,Static security in power system operation with fuzzy real load conditions,AI approach to optimal VAr control with fuzzy reactive loads,Effect of EMF on minimum cost power transmission,A hybrid tool to assist the operator in reactive power/voltage control and optimization,Linear programming based optimal power flow using second order sensitivities,Short-term generation scheduling with transmission and environmental constraints using an augmented Lagrangian relaxation,Optimization method for reactive power planning by using a modified simple genetic algorithm,OPF for reactive pricing studies on the NGC system,Fuzzy constraint enforcement and control action curtailment in an optimal power flow,A hybrid decoupled approach to optimal power flow,Application of interior point methods to power flow unsolvability,A methodology for probabilistic simultaneous transfer capability analysis,Critical cases in the optimal power flow,Remote cranking of steam electric stations
Evaluation of natural language processing systems: Issues and approaches,"G. Guida, G. Mauri, ",1986,3,Issues in Performance Evaluation: A Case Study of Math Recognition,Evaluating performance and quality of knowledge-based systems: foundation and methodology,Commercial benefits of AI applications in CIM: value analysis approach
A Survey of Intelligent Language Tutoring Systems,"Mustafa Al Emran, Khaled Shaalan, ",2014,3,Chinese Natural Language Processing Based on Semantic Structure Tree,Parsing modern standard Arabic using Treebank resources
Alignment of bilingual named entities in parallel corpora using statistical models and multiple knowledge sources,"Chun-Jen Lee, Jason S. Chang, Jyh-Shing R. Jang, ",2006,3
An ontological model for representing computational lexicons a componential based approach,"Maha Al-Yahya, Hend Alkhalifa, Alia Bahanshal, Iman Alodah, Nawal Al-Helwah, ",2010,3,Towards Ontology Construction from Arabic Texts-A Proposed Framework,Exploiting Arabic Wikipedia for automatic ontology generation: A proposed approach,Quranic Computation: A Review of Research and Application
A hybrid scheme for Automated Essay Grading based on LVQ and NLP techniques,"Abdulaziz Shehab, Mohamed Elhoseny, Aboul Ella Hassanien, ",2016,3
Applying product line Use case modeling in an industrial automotive embedded system: Lessons learned and a refined approach,"Ines Hajri, Arda Goknil, Lionel C. Briand, Thierry Stephany, ",2015,3,A Framework for Synchronization Between Feature Configurations and Use Cases Based on Bidirectional Programming
Sentiment miner: A prototype for sentiment analysis of unstructured data and text,"Muhammad Shahbaz, Aziz Guergachi, Rana Tanzeel ur Rehman, ",2014,3,Feature level sentiment analysis on movie reviews,A Machine Learning approach for classification of sentence polarity
Online natural language processing of the Slovak Language,"Daniel Hl&aacute;dek, Stanislav Ond&aacute;&scaron;, J&aacute;n Sta&scaron;, ",2014,3,Unsupervised acoustic corpora building based on variable confidence measure thresholding,Implementing English speech interface to Jaguar robot for SWAT training
Semi-automatic Generation of Extended Finite State Machines from Natural Language Standard Documents,"Juliana Galvani Greghi, Eliane Martins, Ariadne Maria Brito Rizzoni Carvalho, ",2015,3,Semi-Automatic Checklist Quality Assessment of Natural Language Requirements for Space Applications,MARITACA: From Textual Use Case Descriptions to Behavior Models,Modeling Dependable Product-Families: From Use Cases to State Machine Models
A Novel Approach to Prevent Personal Data on a Social Network Using Graph Theory,"Neha A. Patil, Amitkumar S. Manekar, ",2015,2,Data sanitization for privacy preservation on Social Network,Privacy preservation on social network using data sanitization
Time optimal trajectory planning for reconfiguration of satellite formation with collision avoidance,"Guangfu Ma, Haibin Huang, Yufei Zhuang, ",2010,2,Time-optimal control for formation reconfiguration of multiple unmanned aerial vehicles,?Hybrid Particle Swarm Optimization and Genetic Algorithm for Multi-UAV Formation Reconfiguration
Discrete localized modes in binary waveguide arrays,"Alejandro B. Aceves, Aldo Auditore, Matteo Conforti, Costantino De Angelis, ",2013,2
Understanding Citizens' Direct Policy Suggestions to the Federal Government: A Natural Language Processing and Topic Modeling Approach,"Loni Hagen, &Ouml;zlem Uzuner, Christopher Kotfila, Teresa M. Harrison, Dan Lamanna, ",2015,2
Energy efficient MPSoC on-chip communication bus synthesis using voltage scaling technique,"S. Pandey, M. Glesner, ",2006,2,Simultaneous On-Chip Bus Synthesis and Voltage Scaling Under Random On-Chip Data Traffic,Energy Conscious Simultaneous Voltage Scaling and On-chip Communication Bus Synthesis
An evolutionary algorithm of contracting search space based on partial ordering relation for constrained optimization problems,"S. Y. Zeng, L. X. Ding, L. S. Kang, ",2002,2,Using nonlinear constrained optimization methods to solve manipulators path planning with hybrid genetic algorithms,A Genetic Algorithm method for Standing Phase Angle reduction in power system restoration
A Cascaded Approach to the Optimization of Translation Rules,"Shu-jie Liu, Mu-yun Yang, Tie-jun Zhao, ",2006,2,A framework for generation of rules from decision tree and decision table,Machine translation — A journey
A speech feature based on Bark frequency warping-the non-uniform linear prediction (NLP) cepstrum,"Yoon Kim, J. O. Smith, ",1999,2,A frequency warping approach for vocal tract length normalization,Isolated Word Recognition Using Low Dimensional Features and Kernel Based Classification
Linear matrix inequality-based robust model predictive control for time-delayed systems,"B. D. O. Capron, M. T. Uchiyama, D. Odloak, ",2012,2,Model-predictive control based on Takagi-Sugeno fuzzy model for electrical vehicles delayed model,Robust MPC for constrained LPV systems with guaranteed ISS and finite L2-gain
Signal processing for through-the-Earth radio communication,"F. H. Raab, I. R. Joughin, ",1995,2
Towards automated identification and analysis of argumentation structures in the decision corpus of the German Federal Constitutional Court,"Constantin Houy, Tim Niesen, Peter Fettke, Peter Loos, ",2013,2
Twitter part-of-speech tagging using pre-classification Hidden Markov model,"Shichang Sun, Hongbo Liu, Hongfei Lin, Ajith Abraham, ",2012,2,Sentiment analysis from social media in crisis situations
A requirements specification case study with ProjectIT-studio/requirements,"David Ferreira, Alberto Rodrigues da Silva, ",2008,2
Predicting the Helpfulness of Online Physician Reviews,"Nujood Alodadi, Lina Zhou, ",2016,2,Monitoring Fishy activity of the user in social networking
Measurement of the Effects of Temporal clipping on Speech Quality,"Lijing Ding, M. S. El-Hennawey, R. A. Goubran, ",2005,2,Categorical rating of narrowband Mandarin speech quality,C23. Self-healing autonomic networking for voice quality in VoIP and wireless networks
Cost-Effective Heuristics for Planning GMPLS Transport Networks with Conversion and Regeneration Capabilities,"Nabil Naas, H. T. Mouftah, ",2007,2,A novel MILP formulation for planning GMPLS transport networks with conversion and regeneration capabilities,Towards deciding the optimum optical reach for GMPLS-based long-haul transport networks
ASHRAM: active summarization and Markup,"M. S. Neff, J. W. Cooper, ",1999,2,Discourse segmentation in aid of document summarization,Interactive document summarisation using automatically extracted keyphrases
Sentiment Classification Based on Ontology and SVM Classifier,"Khin Phyu Phyu Shein, Thi Thi Soe Nyunt, ",2010,2,An intelligent framework for sentiment analysis of text and emotions - A review
Grammar Teaching Tools for Tamil language,"Velliangiri Dhanalakshmi, M. Anand Kumar, R U Rekha, K P Soman, S. Rajendran, ",2010,2,Language learning for visual and auditory learners using scratch toolkit
Web mining based OALF model for context-aware mobile advertising system,"Yuchul Jung, Sungkooc Lim, Jeong-Hwan Kim, Sangki Kim, ",2009,2
Normalizing Chinese temporal expressions with multi-label classification,"Mingli Wu, Wenjie Li, Qing Chen, Qin Lu, ",2005,2,Extracting Event Temporal Information Based on Web,A New Model of Time Expressions Detection and Annotation in Vietnamese: The hôm Case
With LSA Size DOES Matter,"Colin Layfield, ",2012,2,Search Results Clustering without External Resources
Optimal dynamic spectrum access in multi-channel multi-user cognitive radio networks,"Pochiang Lin, Tsungnan Lin, ",2010,2,Kernel-Based Channel Gain Estimation for Dynamic Spectrum Access in Cognitive Radio Networks,An optimal transmission policy for opportunistic spectrum access in fading channels
OntoSeg: A Novel Approach to Text Segmentation Using Ontological Similarity,"Mostafa Bayomi, Killian Levacher, M. Rami Ghorab, S&eacute;amus Lawless, ",2015,2,A monolingual approach to detection of text reuse in Russian-English collection
Semantic annotation of semi-structured documents,"Girish R. Ranganathan, Yevgen Biletskiy, Alexey Kaltchenko, ",2008,2,Automatic Extraction of Main Thesis Documents Fields Using Decision Trees
A Lexicon-Grammar Based Methodology for Ontology Population for e-Health Applications,"F. Amato, A. De Santo, V. Moscato, A. Picariello, D. Serpico, G. Sperl&igrave;, ",2015,2,Information extraction from unstructured data using RDF
Lexical normalization for social media text,"Bo Han, Paul Cook, Timothy Baldwin, ",2013,2,Efficient natural language pre-processing for analyzing large data sets,It's you on photo?: Automatic detection of Twitter accounts infected with the Blackhole Exploit Kit,Semi-supervised learning and social media text analysis towards multi-labeling categorization
Natural language parsing using Fuzzy Simple LR (FSLR) parser,"Suvarna G Kanakaraddi, V. Ramaswamy, ",2014,2,Resolving issues in parsing technique in machine translation from hindi language to english language,Listening deaf through tactile sign language
A Strategy for Deploying Secure Cloud-Based Natural Language Processing Systems for Applied Research Involving Clinical Text,"David Carrell, ",2011,2,Scalability and cost of a cloud-based approach to medical NLP,Implementing public health analytical services: Grid enabling of MetaMap
Nonlinear programming applied to calibrating thermal and fluid models to test data,"J. Baumann, B. Cullimore, ",2002,2,Nonlinear programming applied to thermal and fluid design optimization,CAD-based methods for thermal modeling of coolant loops and heat pipes
An Automatic Online Recruitment System Based on Exploiting Multiple Semantic Resources and Concept-Relatedness Measures,"Aseel B. Kmail, Mohammed Maree, Mohammed Belkhatir, Saadat M. Alhashmi, ",2015,2,Levelized Taxonomy Approach for the Job Seeking/Recruitment Problem,JRC: A Job Post and Resume Classification System for Online Recruitment
Automatic Lexicon Generator for Logic Based Question Answering System,"Kasturi Dewi Varathan, Tengku Mohd Tengku Sembok, Rabiah Abdul Kadir, ",2010,2,Skolem preprocessing using WordNet and lexicon in building effective knowledge representation,Retrieving answers from multiple documents using semantic skolem indexing
Embedding nonlinear optimization in RRT* for optimal kinodynamic planning,"Samantha Stoneman, Roberto Lampariello, ",2014,2,Toward asymptotically optimal motion planning for kinodynamic systems using a two-point boundary value problem solver,Asymptotically Optimal Planning by Feasible Kinodynamic Planning in a State–Cost Space
Resources for Nepali Word Sense Disambiguation,"Niraj Shrestha, Patrick A. V. Hall, Sanat K. BISTA, ",2008,2,Word sense disambiguation in Nepali language,Word Sense Disambiguation using WSD specific WordNet of polysemy words
Semi-automatic extraction and modeling of ontologies using Wikipedia XML Corpus,"Lalindra De Silva, Lakshman Jayaratne, ",2009,2,Exploiting Arabic Wikipedia for automatic ontology generation: A proposed approach
A NLP Based Framework to Support Document Verification-as-a-Service,"Suman Roychoudhury, Nikhil Bellarykar, Vinay Kulkarni, ",2016,2,Monitoring Fishy activity of the user in social networking
Developing a shuffle grammar for parsing Arabic verbs,"Peyman Passban, Mahmoud Shokrollahi-Far, ",2012,2,Mobin: A knowledge-based morpho-syntactic parser for Arabic,POSABL: ABL-based grammar induction on POS tags
Recursive Deep Learning for Sentiment Analysis over Social Data,"Changliang Li, Bo Xu, Gaowei Wu, Saike He, Guanhua Tian, Hongwei Hao, ",2014,2,Review Sentiment Analysis Based on Deep Learning
Development and Verification of a Verbal Corpus Based on Natural Language for Ecuadorian Dialect,"Wilbert G. Aguilar, Darwin Alulema, Alex Limaico, David Sandoval, ",2017,2
Spark-Based Political Event Coding,"Mohiuddin Solaimani, Rajeevardhan Gopalan, Latifur Khan, Patrick T. Brandt, Bhavani Thuraisingham, ",2016,2,RePAIR: Recommend political actors in real-time from news websites,Near real-time atrocity event coding,Adaptive scalable pipelines for political event data generation,Big data and learning analytics in higher education: Demystifying variety acquisition storage NLP and analytics
A multi-agent system for natural language understanding,"M. M. Aref, ",2003,2,The Ontology Web Language (OWL) for a multi-agent understanding system
A pragmatic path toward endowing virtually-embodied AIs with human-level linguistic capability,"Ben Goertzel, ",2008,2,OpenCogPrime: A cognitive synergy based architecture for artificial general intelligence,Adaptive experiential learning for business intelligence agents
"How Advances in Search Combine Databases, Sentence Diagramming, and ""Just the Facts""","David Bean, ",2007,2,Auto-Assessor: Computerized Assessment System for Marking Student's Short-Answers Automatically,Automarking: Automatic Assessment of Open Questions
A Scalable Approach for Sentiment Analysis of Turkish Tweets and Linking Tweets to News,"Sercan Kulcu, Erdogan Dogdu, ",2016,2,Identifying the Overlap between Election Result and Candidates’ Ranking Based on Hashtag-Enhanced Lexicon-Based Sentiment Analysis
A multimodal predictive-interactive application for computer assisted transcription and translation,"Vicent Alabau, Daniel Ortiz, Ver&oacute;nica Romero, Jorge Ocampo, ",2009,2
Query translation architecture for Malay-English Cross-Language information retrieval system,"Nurjannaton Hidayah Rais, Muhamad Taufik Abdullah, Rabiah Abdul Kadir, ",2010,2,Characteristics of a Malay journalistic corpus,The implementation of fuzzy logic controller for defining the ranking function on malay text corpus
Similar researcher search in academic environments,"Sujatha Das Gollapalli, Prasenjit Mitra, C. Lee Giles, ",2012,2
Automatic extraction of usable information from unstructured resumes to aid search,"Sunil Kumar Kopparapu, ",2010,2,Novel Application of MapReduce and Conceptual Graphs
"Seeking Nonsense, Looking for Trouble: Efficient Promotional-Infection Detection through Semantic Inconsistency Search","Xiaojing Liao, Kan Yuan, XiaoFeng Wang, Zhongyu Pei, Hao Yang, Jianjun Chen, Haixin Duan, Kun Du, Eihal Alowaisheq, Sumayah Alrwais, Luyi Xing, Raheem Beyah, ",2016,2,How to Notify a Vulnerability to the Right Person? Case Study: In an ISP Scope,How to Learn Klingon without a Dictionary: Detection and Measurement of Black Keywords Used by the Underground Economy
Dashboard: An integration and testing platform based on backboard architecture for NLP applications,"Pawan Kumar, Arun Kumar Rathaur, Rashid Ahmad, Mukul K Sinha, Rajeev Sangal, ",2010,2,Enriched Dashboard: An Integration and Visualization Tool for Distributed NLP Systems on Heterogeneous Platforms,Machine Translation System as Virtual Appliance: For Scalable Service Deployment on Cloud
Optimal coordination of Directional Overcurrent Relays using hybrid CSA-FFA method,"V. N. Rajput, K. S. Pandya, Kevin Joshi, ",2015,2
Automatic generation of sequence diagram from use case specification,,2014,2
A new DMOC-based approach to solve Goddard rocket problem,"Jiawei Zhang, Weizhong Zhang, Jiayuan Shan, ",2012,2,A trajectory design method for quadrotor based on DMOC method and Dubins path algorithm,A multi-phase DMOC-based optimal trajectory generation methodology for a quadrotor
An Automated System for Tamil Named Entity Recognition Using Hybrid Approach,"K. G. Srinivasagan, S. Suganthi, N. Jeyashenbagavalli, ",2014,2,Named entity recognition in Malayalam using fuzzy support vector machine,Information extraction: Evaluating named entity recognition from classical Malay documents
Recommendations Based on User-Generated Comments in Social Media,"Andrew Messenger, Jon Whittle, ",2011,2,A semantic graph based approach on interest extraction from user generated texts in social media
An intelligent bilingual system for spoken language,"Feng-Long Huang, Ming-Shing Yu, Jun-Hong Lin, ",2010,2,Break prediction of prosody for Hakka'S TTS systems based on data mining approaches,Constructing online audio dictionaries for bilingual Mandarin-Taiwan dialects based on Web 2.0 concept
Modeling Attributes from Category-Attribute Proportions,"Felix X. Yu, Liangliang Cao, Michele Merler, Noel Codella, Tao Chen, John R. Smith, Shih-Fu Chang, ",2014,2
Disambiguating effectively Chinese polyphonic ambiguity based on unify approach,"Feng-Long Huang, ",2008,2,Break prediction of prosody for Hakka'S TTS systems based on data mining approaches,Study and implementation of intelligent e-Learning system for modern spoken chinese
Character gazetteer for Named Entity Recognition with linear matching complexity,"Stefan Dlugolinsky, Giang Nguyen, Michal Laclavik, Martin Seleng, ",2013,2,Lightweight Semantic approach for enterprise interoperability issues
Semantic graph based approach for text mining,"Chandra Shekhar Yadav, Aditi Sharan, Manju Lata Joshi, ",2014,2,Connecting the Dots in a Concept Space by Iterative Reading of Freetext References with Wordnet,E-commerce sentiment analysis using graph based approach
Adopting New Rules in Rule-Based Machine Translation,"Mohammed M. Abu Shquier, Mohammed M. Al Nabhan, Tengku Mohammed Sembok, ",2010,2,Malayalam machine translation using hybrid approach,Syntactic Based Machine Translation from English to Malayalam
Real-coded genetic algorithm-based particle swarm optimization method for solving unconstrained optimization problems,"Jui-Yu Wu, ",2010,2,PSO as a meta-search for hyper-GA system to evolve optimal agendas for sequential multi-issue negotiation,Two-loop PID control using PSO-RGA algorithm for solar heat pumps
User Interface Design in Semi-automated Ontology Construction,"Peter J. Danielsen, Knarig Arabshian, ",2013,2,A new plugin to support new relations in Protege
Workload-aware storage layout for database systems,"Oguzhan Ozmen, Kenneth Salem, Jiri Schindler, Steve Daniel, ",2010,2,NoSE: Schema Design for NoSQL Applications,NoSE: Schema design for NoSQL applications
Computation of Continuous Wavelet Transform Using Microsoft Excel SpreadSheet,"Pinchu Prabha, Sikha O. K., Suchithra M., Sukanya P., Sowmya V., K. P. Soman, ",2012,2,Understanding CDMA in linear algebra point of view and its simulation in Excel
An Efficient Linear Text Segmentation Algorithm Using Hierarchical Agglomerative Clustering,"Ji-Wei Wu, Judy C. R. Tseng, Wen-Nung Tsai, ",2011,2,Rule based approach for text segmentation on Indonesian news article using named entity distribution,A knowledge exploration assistant system for inquiry-based learning
Clustering of words using dictionary-learnt word representations,"Remya R. K. Menon, S. Gargi, S. Samili, ",2016,2,A model for auto-tagging of research papers based on keyphrase extraction methods,Three dimensional geo-tweet visualization system for spatio-temporal events,A novel approach for document extraction based on SVD and FCA,Three dimensional tagcloud visualization for intelligent tourism
Web Page Clustering Using a Fuzzy Logic Based Representation and Self-Organizing Maps,"Alberto P. Garc&iacute;a-Plaza, V&iacute;ctor Fresno, Raquel Mart&iacute;nez, ",2008,2,Educational Tool Based on Topology and Evolution of Hyperlinks in the Wikipedia,Learning taxonomic relations from a set of text documents
Using Natural Language Processing techniques and fuzzy-semantic similarity for automatic external plagiarism detection,"Deepa Gupta, Vani K, Charan Kamal Singh, ",2014,2,Investigating the impact of combined similarity metrics and POS tagging in extrinsic text plagiarism detection system
Parallelization of modes of the multi-level iteration scheme for nonlinear model-predictive control of an industrial process,"C. Lindscheid, D. Ha&szlig;kerl, A. Meyer, A. Potschka, H. G. Bock, S. Engell, ",2016,2,An inexact sensitivity updating scheme for fast nonlinear model predictive control based on a curvature-like measure of nonlinearity,A fast Nonlinear Model Predictive Control strategy for real-time motion control of mechanical systems
Building a foundation of HPSG-based treebank on Bangla language,"Altaf Mahmud, Mumit Khan, ",2007,2,A Rule Based Approach for Implementation of Bangla to English Translation,An initiative of Bangla-English Natural Language Translation using case
English to Persian machine translation exploiting semantic word sense disambiguation,"Yasaman Motazedi, Mehnoush Shamsfard, ",2009,2,Machine translation — A journey
Research on textual emotion recognition incorporating personality factor,"Haifang Li, Na Pang, Shangbo Guo, Heping Wang, ",2007,2,Computational approaches for emotion detection in text,A survey on emotion detection: A lexicon based backtracking approach for detecting emotion from Bengali text
"InaNLP: Indonesia natural language processing toolkit, case study: Complaint tweet classification","Ayu Purwarianti, Alvin Andhika, Alfan Farizki Wicaksono, Irfan Afif, Filman Ferdian, ",2016,2,Query-based summarization for Indonesian news articles,Topic classification and clustering on Indonesian complaint tweets for bandung government using supervised and unsupervised learning,Aspect-sentiment classification in opinion mining using the combination of rule-based and machine learning,Rapid data stream application development framework,Construction and analysis of Indonesian-interviews deception corpus
Towards an NLP-based log template generation algorithm for system log analysis,"Satoru Kobayashi, Kensuke Fukuda, Hiroshi Esaki, ",2014,2
Explicit Approximate Approach to Feedback Min-Max Model Predictive Control of Constrained Nonlinear Systems,"Alexandra Grancharova, Tor A. Johansen, ",2006,2,A semidefinite relaxation for the quadratic minimax problem with application to H∞ model predictive control,Approximate off-line receding horizon control of constrained nonlinear discrete-time systems,Model predictive controller for perturbed nonlinear systems with bounded inputs
TUCUXI: The InTelligent Hunter Agent for Concept Understanding and LeXical ChaIning,"R. Benassi, S. Bergamaschi, M. Vincini, ",2004,2,Word Sense Disambiguation of semantic document,An ontology search engine based on semantic analysis
POS Tagging of Assamese Language and Performance Analysis of CRF++ and fnTBL Approaches,"Anup Kumar Barman, Jumi Sarmah, Shikhar Kr. Sarma, ",2013,2,Fusion of multi-features for Mongolian part of speech,Automatic identification of assamese and bodo multiword expressions
A study on cross-language text summarization using supervised methods,"Lei Yu, Fuji Ren, ",2009,2,An overview of Text Summarization techniques
Partitioning under timing and area constraints,"G. Tumbush, D. Bhatia, ",1997,2,Clustering to improve bi-partition quality and run time,K-way partitioning under timing pin and area constraints
Domain Specific Sentence Level Mood Extraction from Malayalam Text,"Neethu Mohandas, Janardhanan P. S. Nair, Govindaru V., ",2012,2,SentiMa - Sentiment extraction for Malayalam,Lexicon based sentiment analysis system for malayalam language,Sentiment Analysis of Malayalam film review using machine learning techniques
A Prototype of Semantic-Based Intelligent Search Engine for Chinese Documents,"Haiyan Che, Jigui Sun, Tao Jing, Xi Bai, ",2007,2,A semantic enabled intelligent search system for educational information resources,Application of Aggregated Knowledge Concept in Automatic Knowledge Acquisition from Chinese Web Pages
A Novel POS-Based Approach to Chinese News Topic Extraction from Internet,"Xujian Zhao, Peiquan Jin, Lihua Yue, ",2008,2,Topic Feature Extraction of Chinese News Title
Chinese semantic dependency analysis: Construction of a treebank and its use in classification,"Jiajun Yan, David B. Bracewell, Shingo Kuroiwa, Fuji Ren, ",2007,2
Two stage decision making of technical virtual power plants in electricity market via Nash-SFE equilibrium,"Hossein Nezamabadi, Vahid Vahidinasab, ",2015,2,Aggregation of small loads for demand response programs — Implementation and challenges: A review,A review on the virtual power plant: Components and operation systems
ITEM2VEC: Neural item embedding for collaborative filtering,"Oren Barkan, Noam Koenigstein, ",2016,2,Deep learning approach to link weight prediction
Natural language processing future,"M. Chandhana Surabhi, ",2013,2,Cyberbullying Detection: A Survey on Multilingual Techniques
Semantic feature reduction in chinese document clustering,"Xianjun Meng, Qingcai Chen, Xiaolong Wang, ",2008,2,A hybrid feature selection algorithm for web document clustering
Nonlinear optimal power flow by a noninterior-point method based on Chen-Harker-Kanzow NCP-functions,"G. L. Torres, V. H. Quintana, ",1998,2,Optimal Active-Reactive Power Dispatch Under Competition via Bilevel Programming,Finding improved local minima of power system optimization problems by interior-point methods
Subtopic-based Multi-documents Summarization,"Shu Gong, Youli Qu, Shengfeng Tian, ",2010,2
"Fusion of acoustic, linguistic and psycholinguistic features for Speaker Personality Traits recognition","Firoj Alam, Giuseppe Riccardi, ",2014,2,Can we detect speakers' empathy?: A real-life case study,A Mobile Security-Related Behavior Prevention Model Based on Speech Personality Traits
Human-Cognition-Based CAPTCHAs,"Sanjib Kumar Saha, Abhijit Kumar Nag, Dipankar Dasgupta, ",2015,2,A multibiometrics-based CAPTCHA for improved online security,An Adaptive Approach Towards the Selection of Multi-Factor Authentication,Pedometric CAPTCHA for mobile Internet users,Attack-Resistant aiCAPTCHA Using a Negative Selection Artificial Immune System
Context-based similar words detection and its application in specialized search engines,"Hisham Al-Mubaid, Ping Chen, ",2005,2,Improvement on corpus-based word similarity using vector space models,New ontology-based semantic similarity measure for the biomedical domain
Anaphora Resolution of Malay Text: Issues and Proposed Solution Model,"Noorhuzaimi Karimah Mohd Noor, Shahrul Azman Noah, Mohd Juzaidin Ab. Aziz, Mohd Pouzi Hamzah, ",2010,2,Benchmarking Mi-AR: Malay anaphora resolution
A penalty function for reactive power optimization with discrete variables,"Ana Paula Mazzini, Eduardo N. Asada, ",2014,2,Solving control-constrained reactive power dispatch with discrete variables,The optimal reactive dispatch problem with discrete control variables and limited control adjustments
Automatic generation of semantic icon encodings for visualizations,"Vidya Setlur, Jock D. Mackinlay, ",2014,2,Using Semantics to Automatically Generate Speech Interfaces for Wearable Virtual and Augmented Reality Applications,A Linguistic Approach to Categorical Color Assignment for Data Visualization,Automatic Assignment of Topical Icons to Documents for Faster File Navigation
Part 3: Carrier Sense Multiple Access With Collision Detect on (CSMA/CD) Access Method and Physical Layer Specifications,,2000,2
Machine Translation System as Virtual Appliance: For Scalable Service Deployment on Cloud,"Pawan Kumar, Rashid Ahmad, Banshi Dhar Chaudhary, Rajeev Sangal, ",2013,2,A novel architecture for identity management system using virtual appliance technology,Improve performance of machine translation service using memcached
Towards the relationship between Semantic Web and NLP,"Ruiqiang Guo, Fuji Ren, ",2009,2,An Arabic language framework for semantic web,Extraction of medical terms for word sense disambiguation within multilingual framework
Beyond FOAF: Challenges in Characterizing Social Relations,"Jan Hauffa, Gottlieb Bossert, Nadja Richter, Florian Wolf, Nora Liesenfeld, Georg Groh, ",2011,1,Towards an NLP-Based Topic Characterization of Social Relations
Key phrase extraction: a hybrid assignment and extraction approach,"Chau Q. Nguyen, Tuoi T. Phan, ",2009,1
Bangla Parts-of-Speech tagging using Bangla stemmer and rule based analyzer,"Md. Nesarul Hoque, Md. Hanif Seddiqui, ",2015,1,Statistical parsing of Bangla sentences by CYK algorithm
Multiple-source and multiple-destination charge migration in hybrid electrical energy storage systems,"Yanzhi Wang, Qing Xie, Massoud Pedram, Younghyun Kim, Naehyuck Chang, Massimo Poncino, ",2012,1,SIMES: A simulator for hybrid electrical energy storage systems
Impact of imperfect OCR on part-of-speech tagging,"Xiaofan Lin, ",2003,1,BeA: Management of handwritten exams on the cloud
Using Na&Atilde;&macr;ve Bayes Model and Natural Language Processing for Classifying Messages on Online Forum,"Do Phuc, Nguyen Thi Kim Phung, ",2007,1,Text message corpus: Applying natural language processing to mobile device forensics
An integrative computational approach to identify disease-specific networks from PubMed literature information,"Yuji Zhang, Dingchen Li, Cui Tao, Feichen Shen, Hongfang Liu, ",2013,1
Sentence Boundary Detection in Colloquial Arabic Text: A Preliminary Result,"Afnan A. Al-Subaihin, Hend S. Al-Khalifa, AbdulMalik S. Al-Salman, ",2011,1
An architecture to support intelligent user interfaces for Wikis by means of Natural Language Processing,"Johannes Hoffart, Torsten Zesch, Iryna Gurevych, ",2009,1
Word Sense Disambiguation Based on Bayes Model and Information Gain,"Yu Zhengtao, Deng Bin, Hou Bo, Han Lu, Guo Jianyi, ",2008,1,Analysis on the applications of Wikipedia in Chinese information processing
A semantical twist to syntactical navigation,"E. Grootjen, ",2000,1,Relational indexing using a grammarless parser
Graph connectivity for unsupervised Word Sense Disambiguation for HINDI language,"Lokesh Nandanwar, ",2015,1,A word sense disambiguation system based on bayesian model
BenLem (A Bengali Lemmatizer) and Its Role in WSD,"Abhisek Chakrabarty, Utpal Garain, ",2016,1
An Intelligent System Framework for an Automated Language Tutoring Tool,"Chandhya Thirugnanasambantham, ",2011,1,A Survey of Intelligent Language Tutoring Systems
A neural network model for acquisition of semantic structures,"S. W. K. Chan, J. Franklin, ",1994,1,Inferences in natural language understanding
Mining English-Chinese Named Entity Pairs from Comparable Corpora,"Lishuang Li, Peng Wang, Degen Huang, Lian Zhao, ",2011,1
Data mining model in analyzing portuguese studies as the second language acquisition,"Sam Chao, Fai Wong, Cust&oacute;Dio Cavaco Martins, ",2010,1,Examination data analysis for open education teaching reform using Wilcoxon Rank Sum Test
An Improved Discriminative Model for Duplication Detection on Bug Reports with Cluster Weighting,"Meng-Jie Lin, Cheng-Zen Yang, ",2014,1,Mining Temporal Information to Improve Duplication Detection on Bug Reports
SoLSCSum: A Linked Sentence-Comment Dataset for Social Context Summarization,"Minh-Tien Nguyen, Chien-Xuan Tran, Duc-Vu Tran, Minh-Le Nguyen, ",2016,1,Learning to Summarize Web Documents Using Social Information
Ge(o)Lo(cator): Geographic Information Extraction from Unstructured Text Data and Web Documents,"Paolo Nesi, Gianni Pantaleo, Marco Tenti, ",2014,1,A Climbing Plan Sharing System with a Document Converter for Machine-Readable Climbing Plans
Biologically plausible connectionist prediction of natural language thematic relations,"Jo&atilde;o Lu&iacute;s Garcia Rosa, ",2010,1,Natural language generation using automatically constructed lexical resources
