Decentralized trust management,"M. Blaze, J. Feigenbaum, J. Lacy, ",1996,579,Reasoning about public-key certification: on bindings between entities and public keys,A perspective: the role of identifiers in managing and protecting intellectual property in the digital age,The threat from the net [Internet security],The SwitchWare active network architecture,A secure active network environment architecture: realization in SwitchWare,Security and management policy specification,Composite trust in networked multi-agent systems,History based distributed filtering - a tagging approach to network-level access control,Establishing and Sustaining System Integrity via Root of Trust Installation,Please Permit Me: Stateless Delegated Authorization in Mashups,Secure Web 2.0 Content Sharing Beyond Walled Gardens,A Distributed Trust Management Based on Authorizing Negotiation in Open and Dynamic Environments,Adaptive and Distributed Access Control in Cognitive Radio Networks,Towards a Dynamic Access Control Model for E-Government Web Services,A Preference and Honesty Aware Trust Model for Web Services,RATING: rigorous assessment of trust in identity management,Resource management continuity with constraint inheritance relation,Provably secure anonymous access control for heterogeneous trusts,Trust in global computing systems as a limit property emerging from short range random interactions,Why Trust is not Proportional to Risk,A Semantic and Time Related Recommendation-Feedback Trust Model,Privacy/Analysis Tradeoffs in Sharing Anonymized Packet Traces: Single-Field Case,Weighted Datalog and Levels of Trust,Enforcing Access Control in Virtual Organizations Using Hierarchical Attribute-Based Encryption,Opportunistic Sensor Networks: A survey on privacy and secure routing,Towards personalization of Trust Management service for ubiquitous healthcare environment,Cooperative Forensics Sharing,Access control mechanisms for fraglets,A Novel Trust Management Mechanism for Mobile Ad Hoc Networks Based on Grey Theory,Identifying local trust value with neural network in P2P environment
A Survey on Software-Defined Network and OpenFlow: From Concept to Implementation,"Fei Hu, Qi Hao, Ke Bao, ",2014,119,A Survey on Software-Defined Wireless Sensor Networks: Challenges and Design Requirements,SAT-FLOW: Multi-Strategy Flow Table Management for Software Defined Satellite Networks,SDN Based VxLAN Optimization in Cloud Computing Networks,Full-Duplex Aided User Virtualization for Mobile Edge Computing in 5G Networks,5G cellular network integration with SDN: Challenges issues and beyond,Assessing the overhead of authentication during SDN-enabled restoration of smart grid inter-substation communications,Software Defined Radio Access Network in 5G Mobile Network,A Software Engineering Perspective on SDN Programmability,A Survey on SDN Programming Languages: Toward a Taxonomy,Wireless Software Defined Networking: A Survey and Taxonomy,Software Defined Optical Networks (SDONs): A Comprehensive Survey,Software Defined Networking Architecture Security and Energy Efficiency: A Survey,A Survey on Large-Scale Software Defined Networking (SDN) Testbeds: Approaches and Challenges,A Survey on the Contributions of Software-Defined Networking to Traffic Engineering,5G: Adaptable Networks Enabled by Versatile Radio Access Technologies,Machine-to-Machine Communications in Ultra-Dense Networks—A Survey,A Survey on the Security of Stateful SDN Data Planes,Comprehensive Survey on T-SDN: Software-Defined Networking for Transport Networks,How Can Edge Computing Benefit From Software-Defined Networking: A Survey Use Cases and Future Directions,A Survey on Approaches to Reduce BGP Interdomain Routing Convergence Delay on the Internet,Unicast QoS Routing Algorithms for SDN: A Comprehensive Survey and Performance Evaluation,Towards Energy-Efficient Wireless Networking in the Big Data Era: A Survey,Distributed SDN Control: Survey Taxonomy and Challenges,IP over ICN - The better IP?,Joint Resource Allocation for Software Defined Networking Caching and Computing,Design and Implementation of OpenFlow Networks for Medical Information Systems,Wide-area control of power systems using cloud-in-the-loop feedback,Enhanced SDN security using firewall in a distributed scenario,Flow statistics based load balancing in OpenFlow,Software defined networking for resilient communications in Smart Grid active distribution networks
Three models for the description of language,"N. Chomsky, ",1956,570,Cooperative learning on autonomous agents acquiring common language for action and perception,A grammatical characterization of exponential-time languages,Semantical consideration on floyo-hoare logic,Formal languages: Origins and directions,Discovery of patterns in LZ-78 text discrimination,Password Cracking Using Probabilistic Context-Free Grammars,On the Generality and Convenience of Etypes,HERMES: A high-level policy language for high-granularity enterprise-wide secure browser configuration management,Application of sentence parsing for determining keywords in Ukrainian texts,String adjunct grammars,Complexity of recognition in intermediate Level languages,Mathematical and Computational Mistakes and Failures as a Source of Creativity,What Automaton Model Captures Decision Making? The Necessity of Behavioral Complexity,An encryption and decryption algorithm for messages transmitted by phonetic alphabets,An SPN based methodology for document understanding,Experiments on competence and performance,Establishing the value of voice communication with computers,Chemical Name Extraction Based on Automatic Training Data Generation and Rich Feature Set,Designing and Using Software Tools for Educational Purposes: FLAT a Case Study,Logical Machine Design: A Selected Bibliography,On Synergistic Interactions Between Evolution Development and Layered Learning,A Selected Descriptor-Indexed Bibliography to the Literature on Artificial Intelligence,Stealthy Domain Generation Algorithms,Retrieval for color artistry concepts,A convergent gambling estimate of the entropy of English,Universal Estimation of Erasure Entropy,An instance of coincidence detection architecture relying on temporal coding,A New Approach to Knowledge-Based Design of Recurrent Neural Networks,Word-Meaning Selection in Multiprocess Language Understanding Programs,Wireless Spectrum Occupancy Prediction Based on Partial Periodic Pattern Mining
What models mean,"E. Seidewitz, ",2003,118,Model-Driven Refactoring Approaches: A Comparison Criteria,Metamodeling approach for creating an abstract representation of simulation tools concepts,Model driven design in industrial automation,A Meta Modeling Framework for Domain Specific Process Management,The Right Tool for the Right Job: Assessing Model Transformation Quality,Model-Driven Evolution of Software Architectures,Agent Relation Charts (ARCs) for Modeling Cloud Based Transactions,Introducing the Concept of Hyperactivity in Multi Agent Systems,Formal design of a model repository based on knowledge representation using graphs,Hacia un Modelo de madurez para apoyar el Desarrollo de software Dirigido por Modelos,An MDE approach for modeling network on chip topologies,Model-Based Empirical Performance Evaluation Based on Relational Traces,Visualizing the Bias of Enterprise Metamodels towards Nuanced Concepts,Combining Rules and Activities for Modeling Service-Based Business Processes,An event-based framework for model integration,Model-driven engineering of industrial process control applications,f-R2ML: A fuzzy Rule Markup Language,PatternGuru: an educational system for software patterns,A combine usability framework for IMCAT evaluation,Model driven software development: An overview,Tools for an extended object modelling environment,Diffusion Experiences of Developer Productivity Tools in an IT Services Company in India,Intensions are a key to program comprehension,An Ontology-Based Approach to Model-Driven Software Product Lines,Automatic generation of VHDL code from traditional ladder diagrams applying a model-driven engineering approach,A tool for modeling form type check constraints,Consistency preserving for evolving megamodels through axiomatic semantics,Towards managing information security knowledge through metamodelling approach,From Electronic Documents to Problem-based Learning Environments: an ongoing Challenge for Educational Modeling Languages,A model-driven reengineering approach to Web site personalization
A survey of active network research,"D. L. Tennenhouse, J. M. Smith, W. D. Sincoskie, D. J. Wetherall, G. J. Minden, ",1997,566,Policy-driven data dissemination for context-aware applications,A scalable high-performance router platform supporting dynamic service extensibility on network and host processors,A Scalable High-performance Router Platform Supporting Dynamic Service Extensibility On Network and Host Processors,Application of active telecommunication network to intelligent data processing for power system operation,Safe and efficient active network programming,A fragmentation scheme for multimedia traffic in active networks,Implementing IPv6 as a peer-to-peer overlay network,Feasibility analysis of stochastic sensor networks,The Bio-Networking Architecture: a biologically inspired approach to the design of scalable adaptive and survivable/available network applications,Dynamic configuration of agent migration protocols for the Internet,A virtual overlay network for integrating home appliances,A Component Framework for Document-Centric Network Processing,CCDM: Central Controller-Based Device Management Architecture and Method to Split Management Scripts,Challenges and Applications for Network-Processor-Based Programmable Routers,Active anycast method for server load balancing,Active network implementations,Composition of Self Descriptive Protocols for Future Network Architectures,A secure and reliable bootstrap architecture,Towards mobile cryptography,An on-line test platform for component-based systems,Source routing and scheduling in packet networks,Biswapped Networks and Their Topological Properties,Network Innovation using OpenFlow: A Survey,A Survey of Software-Defined Networking: Past Present and Future of Programmable Networks,Cognitive packet networks,Application-aware buffer management: new metrics and techniques,Coordinated en-route Web caching,Distributed Bayesian algorithms for fault-tolerant event region detection in wireless sensor networks,Dynamic allocation of VS/VD in ABR service using active networking technology,Jini/sup TM/ application framework for mobile networks
A holistic lexicon-based approach to opinion mining,"Xiaowen Ding, Bing Liu, Philip S. Yu, ",2008,117,A Rule-Based Chinese Sentiment Mining System with Self-Expanding Dictionary - Taking TripAdvisor as an Example,Aspect-based sentiment analysis for Indonesian restaurant reviews,A bipartite graph model for implicit feature extraction in Chinese reviews,Sentiment analysis for restaurant rating,Weakly-Supervised Deep Embedding for Product Review Sentiment Analysis,Improving sentiment rating of movie review comments for recommendation,Feature-Opinion Pairs Discovery for Chinese Review,Sentiment analysis with the exploration of overall opinion sentences,Aspect rating analysis based product ranking,MVP: Memetic Voter Patterns for aspect extraction in sentiment analysis,Mining Competitors from Large Unstructured Datasets,Ontology- and Sentiment-Aware Review Summarization,Multi-layered sentiment analytical model for product review mining,Opinion Analysis of text on the basis of Three Domain Classification,Automatic Sentiment Detection in Naturalistic Audio,Clustering Product Features of Online Reviews Based on Nonnegative Matrix Tri-factorizations,Summarizing customer review based on product feature and opinion,Sentiment analysis of Twitter data: Case study on digital India,Multiclass mood classification on Twitter using lexicon dictionary and machine learning algorithms,Feature-based sentiment analysis in online Arabic reviews,Personalized Recommendation with Confidence,Combining user-based and global lexicon features for sentiment analysis in twitter,Clause sentiment identification based on convolutional neural network with context embedding,Feature extraction and opinion classification using class sequential rule on customer product review,Rating Prediction Based on Social Sentiment From Textual Reviews,Sentiment analysis for Arabizi text,Aspect Extraction in Product Reviews via an Improved Unsupervised Method,Twitter Sentiment Analysis -- A More Enhanced Way of Classification and Scoring,CMiner: Opinion Extraction and Summarization for Chinese Microblogs,TipMe: Personalized advertising and aspect-based opinion mining for users and businesses
Performance study of conditional and unconditional direction-of-arrival estimation,"P. Stoica, A. Nehorai, ",1990,561
Dhrystone: a synthetic systems programming benchmark,"Reinhold P. Weicker, ",1984,117
The Google Similarity Distance,"Rudi L. Cilibrasi, Paul M. B. Vitanyi, ",2007,544
URBE: Web Service Retrieval Based on Similarity Evaluation,"Pierluigi Plebani, Barbara Pernici, ",2009,117,A Graph-Based Approach to Web Service Matchmaking,A Semantic Based Framework for Supporting Negotiation in Service Oriented Architectures,An Enhanced Community Detection Method Based on Neighborhood Similarity,Search of Web Service Based on Community,Context-Aware Service Discovery and Selection in Decentralized Environments,Semantic-structural assessment scheme for integrability in service-oriented applications,A Web service composition system based on semantic parsing,Video Structural Description: A Semantic Based Model for Representing and Organizing Video Surveillance Big Data,Web Service Discovery Based on User Requirements,Ontology-based DEVS model maintenance and reuse,A hybrid semantic-based Battlefield Information Services matching algorithm,Web Service Discovery Using Lexical and Semantic Query Expansion,Goal-Oriented Service Refinement Based on Dynamic Planning,Context-aware similarity search of web service,Efficient Service Discovery Using Similarity-Distance-Based Relaxation,WSExpress: A QoS-aware Search Engine for Web Services,Web Services Discovery and Composition: A Schema Matching Approach,Constructing Operation-Level Ontologies for Web Services,Retrieving Compatible Web Services,CoWS: An Internet-Enriched and Quality-Aware Web Services Search Engine,Towards Optimal and Scalable Non-functional Service Matchmaking Techniques,Analyzing the Evolution of Web Services Using Fine-Grained Changes,Automatic Abstract Service Generation from Web Service Communities,Annotating Web Service Sections with Combined Classification,The Aspect of Data Translation in Service Similarity,Web service recommendation framework using QoS based discovery and ranking process,An outranking model for web service discovery,Design and implementation of the automatic generation workflow system,Improvement of Semantic Similarity Computation in Battlefield Information Services Matching,Trade-Offs in a Google Distance and a WordNet Hybrid for QoS-Enabled Web Services Composition
Applying 'design by contract',"B. Meyer, ",1992,538,Making components contract aware,Modeling simulation and optimization software framework for dynamic systems,Symbolic construction of GR(1) contracts for systems with full information,On monitoring concurrent systems with TLA: an example,A Temporal Logics Approach to Contract-Based Design,Model-based software health management for real-time systems,Towards an independent component model,Detecting Functional Dependence Program Invariants Based on Data Mining,Contract-Based Security Monitors for Service Oriented Software Architecture,Formal specification of dependable pervasive applications,An enhanced reflective architecture for adaptation of the object-oriented language/software,A reuse case perspective on documenting frameworks,Strengthening Method Contracts for Objects,Modular Checking of C Programs Using SAT-Based Bounded Model Checker,Decoupling Constraint Validation from Business Activities to Improve Dependability in Distributed Object Systems,System testing for object-oriented frameworks using hook technology,Automatic test case optimization using a bacteriological adaptation model: application to .NET components,Model-driven Monitoring: Generating Assertions from Visual Contracts,OCRA: A tool for checking the refinement of temporal contracts,Self-healing strategies for component integration faults,A pilot study in effort estimation for the generalization of object-oriented components for reuse,Compatibility test for coordination aspects of software components,Scenario-Based Validation: Beyond the User Requirements Notation,Introducing Security Building Block Models,Incorporating a contract-based test facility to the GUI framework,Monitoring Multi-Agent Systems for deadlock detection based on UML models,Dynamic contracts for distributed temporal logic control of traffic networks,Service-oriented design and implementation strategy of real-time distributed embedded control software,Towards the development of an autonomic network management architecture,Dynamically Discovering Functional Likely Program Invariants Based on Relational Database Theory
Formal Grammar and Human Factors Design of an Interactive Graphics System,"P. Reisner, ",1981,117,Layout appropriateness: a metric for evaluating user interface widget layout,A system for specification and rapid prototyping of application command languages,An automated tool for describing and evaluating user interfaces,An object-oriented software application architecture,A scalable formal method for design and automatic checking of user interfaces,Effectiveness of direct manipulation interaction in the supervisory control of FMS part movement,Cognitive Factors in the Use of Menus and Trees: An Experiment,Special Feature Computer Graphics: The Human Interface,The human engineering task area,Towards an Inclusive World - A Simulation Tool to Design Interactive Electronic Systems for Elderly and Disabled Users,Human Factors and User Assistance in Interactive Computing Systems: An Introduction
JUPlTER: a telephone-based conversational interface for weather information,"V. Zue, S. Seneff, J. R. Glass, J. Polifroni, C. Pao, T. J. Hazen, L. Hetherington, ",2000,117,Natural language generation using automatically constructed lexical resources,A method for automatically generating proper responses to user’s utterances in open-ended conversation by retrieving documents on the web,Information-demanding question answering system,Concept Extraction from Conversational Speech using Segment Graphs,A Distributed Prototyping Environment for Human Language Technology,A Low-Power Speech Recognizer and Voice Activity Detector Using Deep Neural Networks,Harvesting and Summarizing User-Generated Content for Advanced Speech-Based HCI,An Example-Based Approach to Ranking Multiple Dialog States for Flexible Dialog Management,The Technology Behind Personal Digital Assistants: An overview of the system architecture and key components,A Hierarchical Bayesian Network for Mixed-Initiative Human-Robot Interaction,Utilizing relationships between named entities to improve speech recognition in dialog systems,A nonparametric Bayesian approach for automatic discovery of a lexicon and acoustic units,Integration of Speech and Action in Humanoid Robots: iCub Simulation Experiments,A Robust Viterbi Algorithm Against Impulsive Noise With Application to Speech Recognition,Out-of-Domain Utterance Detection Using Classification Confidences of Multiple Topics,Discriminative Training for Large-Vocabulary Speech Recognition Using Minimum Classification Error,Learning Lexicons From Speech Using a Pronunciation Mixture Model,Unsupervised Spoken Language Understanding for a Multi-Domain Dialog System,An Intelligent TV interface based on Statistical Dialogue Management,Enhancing the recognition of children's speech on acoustically mismatched ASR system,Natural language spoken interface control using data-driven semantic inference,Robust recognition of children's speech,Speech act modeling and verification of spontaneous speech with disfluency in a spoken dialogue system,Mixed-Initiative Human–Robot Interaction Using Hierarchical Bayesian Networks,Conversational interfaces: advances and challenges,Voice access of global information for broad-band wireless: technologies of today and challenges of tomorrow,Creating conversational interfaces for children,On the construction of more human-like chatbots: Affect and emotion analysis of movie dialogue data,Incremental language models for speech recognition using finite-state transducers,Grammar learning for spoken language understanding
A New Sense for Depth of Field,"Alex Paul Pentland, ",1987,516,Vision-based tactile sensor using depth from defocus for artificial finger in hand prosthesis,Single lens stereo with a plenoptic camera,A generalized depth estimation algorithm with a single image,Detection localization and estimation of edges,An investigation of methods for determining depth from focus,Interpolation using wavelet bases,Shape from focus,Accurate recovery of three-dimensional shape from image focus,Performance analysis of stereo vergence and focus as depth cues for active vision,Real-time focus range sensor,A variational approach to recovering depth from defocused images,Analysis of photometric properties of occluding edges by the reversed projection blurring model,Recovering affine motion and defocus blur simultaneously,Local scale control for edge detection and blur estimation,An MRF model-based approach to simultaneous recovery of depth and restoration from defocused images,3-D position sensing using a passive monocular vision system,Sensor-based microassembly of hybrid MEMS devices,The Reverse Projection Correlation Principle for Depth from Defocus,Optimized Aperture for Estimating Depth from Projector's Defocus,Optimal Camera Parameters for Depth from Defocus,Video Depth-from-Defocus,Discriminative Filters for Depth from Defocus,Micropositioning of a weakly calibrated microassembly system using coarse-to-fine visual servoing strategies,Focused object extraction with multiple cameras,,Multiresolution 3-D range segmentation using focus cues,Blind identification of multichannel FIR blurs and perfect image restoration,Shape recovery methods for visual inspection,Continuous media and machine vision distributed active stereo reconstruction,A robotic structured light camera
Accurate Telemonitoring of Parkinson's Disease Progression by Noninvasive Speech Tests,"Athanasios Tsanas, Max A. Little, Patrick E. McSharry, Lorraine O. Ramig, ",2010,117,Rule based regression and feature selection for biological data,A Combinatorial Approach to Multidimensional Scaling,Efficient speech edge detection for mobile health applications,An analysis of exchanging fitness cases with population size in symbolic regression genetic programming with respect to the computational model,Text independent classification of normal and pathological voices using MFCCs and GMM-UBM,Network grafting: Transferring learned features from trained neural networks,Improving accuracy in noninvasive telemonitoring of progression of Parkinson'S Disease using two-step predictive model,Feature analysis of dysphonia speech for monitoring Parkinson's disease,Speech features for telemonitoring of Parkinson's disease symptoms,An innovative system of health monitoring using mobile phones,Exploring risk factors and predicting UPDRS score based on Parkinson's speech signals,Parkinson disease detection using ensemble method in PASW benchmark,Phoneme independent pathological voice detection using wavelet based MFCCs GMM-SVM hybrid classifier,Closed phase estimation for inverse filtering the oral airflow waveform,Automatic detection of expressed emotion in Parkinson's Disease,Selection of dominant voice features for accurate detection of Parkinson's disease,Boosting Unsupervised Additive Clustering Using Cluster-Wise Optimization and Multi-label Learning,Detection of Parkinson's disease from vocal features using random subspace classifier ensemble,Performance comparison of heterogeneous classifiers for detection of Parkinson's disease using voice disorder (dysphonia),Variational Inference on Infinite Mixtures of Inverse Gaussian Multinomial Probit and Exponential Regression,Presentation of a new gender dependent feature selection approach for diagnosis of Parkinson disease using speech signal processing,Objective assessment of Parkinson's disease symptoms severity: A review,Biomedical diagnosis and prediction using parsimonious fuzzy neural networks,Partially affine invariant back propagation,An adaptive microphone preamplifier for low power applications,Assessing progress of Parkinson's disease using acoustic analysis of phonation,Collection and Analysis of a Parkinson Speech Dataset With Multiple Types of Sound Recordings,Random Discriminative Projection Based Feature Selection with Application to Conflict Recognition,Examining Everyday Speech and Motor Symptoms of Parkinson's Disease for Diagnosis and Progression Tracking,Parkinson's disease patients classification based on the speech signals
Evaluation of Objective Quality Measures for Speech Enhancement,"Yi Hu, Philipos C. Loizou, ",2008,515,Speech enhancement based on mEMD-VMD method,Robust speech processing using local adaptive non-linear filtering,Distributed multichannel speech enhancement based on perceptually-motivated Bayesian estimators of the spectral amplitude,Voicing detection based on adaptive aperiodicity thresholding for speech enhancement in non-stationary noise,Enhancing noisy speech signals using orthogonal moments,Hidden Markov model-based speech enhancement using multivariate Laplace and Gaussian distributions,Improved single channel phase-aware speech enhancement technique for low signal-to-noise ratio signal,Discrete cosine transform-derived spectrum-based speech enhancement algorithm using temporal-domain multiband filtering,Unsupervised noise removal technique based on constrained NMF,Signal compression and enhancement using a new orthogonal-polynomial-based discrete transform,Deep neural network-based linear predictive parameter estimations for speech enhancement,Level crossing speech sampling and its sparsity promoting reconstruction using an iterative method with adaptive thresholding,On Computational Aspects of Tchebichef Polynomials for Higher Polynomial Order,Low-Distortion MMSE Speech Enhancement Estimator Based on Laplacian Prior,Compressed sensing based scalable speech coders,Acoustic echo and noise cancellation using Kalman filter in a modified GSC framework,MMSE speech enhancement using GMM,Frequency-domain dereverberation on speech signal using surround retinex,Estimation of Japanese DRT intelligibility using Articulation Index Band Correlations,Impact noise suppression using spectral phase estimation,A maximum likelihood approach to deep neural network based speech dereverberation,A new data-driven band-weighting function for predicting the intelligibility of noise-suppressed speech,Performance measures of noise reduction algorithms in voice control channels of UAVs,Noise estimation with lowcomplexity for speech enhancement,Robustness of the Hearing Aid Speech Quality Index (HASQI),An improved perceptual speech enhancement technique employing a psychoacoustically motivated weighting factor,Statistical selection of relevant objective criteria for speech enhancement assessment,Under-determined reverberant blind source separation using excitation sources characteristics,Optimum microphone array for monaural and binaural in-the-canal hearing aids,Nonintrusive speech quality estimation based on Perceptual Linear Prediction
Knowledge Representation as the Basis for Requirements Specifications,"A. Borgida, S. Greenspan, J. Mylopoulos, ",1985,117,Computer-assisted analysis and refinement of informal software requirements documents,Model-based automatic programming for plant control,A resource-based paradigm for the configuring of technical systems from modular components,Developing specifications for cement plant automation systems,An approach to software requirement specification,Rapid prototyping using FRORL language,The requirement model in a knowledge-based rapid prototyping system,Exploratory prototyping through the use of frames and production rules,ICICLE: Intelligent code inspection in a C language environment,HAL: A Multi-Paradigm Approach to Automatic Data Path Synthesis,A concept-oriented logical framework for domain knowledge modelling and analysis in computer-based systems engineering,A methodology for an incremental logical specification of real-time systems,Towards a requirements definition specification and system design environment,Prototyping conceptual models of real-time systems: a visual perspective,Specification by example using graphical animation and a production system,A pragmatic approach to computer assisted system building,eQuality: a knowledge acquisition approach to process management and decision support tools,A cognitive foundation for comparing object-oriented analysis methods,A knowledge-based system for selecting development methodologies,Using goals rules and methods to support reasoning in business process reengineering,Computing Requirements: Cognitive Approaches to Distributed Requirements Engineering,Toward an object-oriented framework for defining services in future intelligent networks,A Road Map to the Software Engineering Security,A declarative approach to software requirement specification languages,Are knowledge representations the answer to requirement analysis?,On formal requirements modeling languages: RML revisited,Automated knowledge-based software construction,CAEin Requirements Definition and Specification for complex Microelectronic Systems,A methodology for customer requirements generation in communication systems planning,Is software requirements a corporate asset?
Language-based information-flow security,"A. Sabelfeld, A. C. Myers, ",2003,512
MVA Processing of Speech Features,"Chia-Ping Chen, Jeff A. Bilmes, ",2007,117,Robust speech recognition using compression of Mel sub-band energies and temporal filtering,Mapping Mel sub-band energies using Deep belief network for robust speech recognition,Noise suppression based on nonnegative matrix factorization for robust speech recognition,Multiresolution convolutional neural network for robust speech recognition,Low-Complexity Variable Frame Rate Analysis for Speech Recognition and Voice Activity Detection,Weight-Space Viterbi Decoding Based Spectral Subtraction for Reverberant Speech Recognition,On the robustness of tiny decoding graphs for voice-based robotic interaction,Synthetic triphones from trajectory-based feature distributions,Subband acoustic waveform front-end for robust speech recognition using support vector machines,Normalization of the Speech Modulation Spectra for Robust Speech Recognition,Histogram-Based Quantization for Robust and/or Distributed Speech Recognition,A Study on the Generalization Capability of Acoustic Models for Robust Speech Recognition,Robust Acoustic Speech Feature Prediction From Noisy Mel-Frequency Cepstral Coefficients,Combined Features and Kernel Design for Noise Robust Phoneme Classification Using Support Vector Machines,On the Effects of Filterbank Design and Energy Computation on Robust Speech Recognition,Articulatory Information for Noise Robust Speech Recognition,Exemplar-Based Sparse Representations for Noise Robust Automatic Speech Recognition,Telephone Channel Compensation in Speaker Verification Using a Polynomial Approximation in the Log-Filter-Bank Energy Domain,Low-Variance Multitaper MFCC Features: A Case Study in Robust Speaker Verification,A Joint Approach for Single-Channel Speaker Identification and Speech Separation,A Multistream Feature Framework Based on Bandpass Modulation Filtering for Robust Speech Recognition,A Direct Masking Approach to Robust ASR,An Overview of Noise-Robust Automatic Speech Recognition,Investigation of Speech Separation as a Front-End for Noise Robust Speech Recognition,Robust Feature Extraction Using Modulation Filtering of Autoregressive Models,An Improved VTS Feature Compensation using Mixture Models of Distortion and IVN Training for Noisy Speech Recognition,On Training Targets for Supervised Speech Separation,A Feature Study for Classification-Based Speech Separation at Low Signal-to-Noise Ratios,Improving Robustness of Deep Neural Network Acoustic Models via Speech Separation and Joint Adaptive Training,Minimum Mean-Square Error Estimation of Mel-Frequency Cepstral Features–A Theoretically Consistent Approach
NVIDIA Tesla: A Unified Graphics and Computing Architecture,"Erik Lindholm, John Nickolls, Stuart Oberman, John Montrym, ",2008,509
Model checking programs,"W. Visser, K. Havelund, G. Brat, Seungjoon Park, ",2000,117,Model checking rational agents,Formal methods for safety critical system specification,The use of automated theorem proving for error analysis and removal in safety critical embedded system specifications,Towards software model checking using MDGs,Concurrent predicates: A debugging technique for every parallel programmer,Where has my battery gone? Finding sensor related energy black holes in smartphone applications,Engineering Abstractions in Model Checking and Testing,Effective Static Analysis to Find Concurrency Bugs in Java,Concolic Fault Abstraction,Exception safety for C#,On monitoring concurrent systems with TLA: an example,A novel flow-sensitive type and effect analysis for securing C code,Automated Management of Dynamic Component Dependency for Runtime System Reconfiguration,Type and Effect Annotations for Safe Memory Access in C,Monitoring programs using rewriting,Exploiting heap symmetries in explicit-state model checking of software,Combining static analysis and model checking for software analysis,Model checking for an executable subset of UML,Automata-based verification of temporal properties on running programs,No Java without caffeine: A tool for dynamic analysis of Java programs,Using Formal Verification to Reduce Test Space of Fault-Tolerant Programs,Using Bounded Model Checking with BOGOR,Abstracting Symbolic Execution with String Analysis,Recovery of PTUIE handling from source codes through recognizing its probable properties,Tool support for testing concurrent Java components,Statistical Debugging: A Hypothesis Testing-Based Approach,Interface Grammars for Modular Software Model Checking,Toward a Tool-Based Development Methodology for Pervasive Computing Applications,GreenDroid: Automated Diagnosis of Energy Inefficiency for Smartphone Applications,Automated environment generation for software model checking
Hardware-software cosynthesis for digital systems,"R. K. Gupta, G. De Micheli, ",1993,310,COFTA: hardware-software co-synthesis of heterogeneous distributed embedded systems for low overhead fault tolerance,Codesign from cospecification,Program implementation schemes for hardware-software systems,Synthesis steps and design models for codesign,Computer-aided hardware-software codesign,Codesign of architectures for automotive powertrain modules,A software-hardware cosynthesis approach to digital system simulation,Applying fuzzy logic to codesign partitioning,SIERA: a unified framework for rapid-prototyping of system-level hardware and software,Specification and analysis of timing constraints for embedded systems,Automatic configuration of embedded multicomputer systems,Techniques for minimizing and balancing I/O during functional partitioning,Hardware/software co-synthesis with memory hierarchies,Codesign [hardware/software partitioning],Hardware-software co-design of embedded systems,Hardware/software co-design,Hardware-software partitioning: a case for constraint satisfaction,Specification and design of embedded hardware-software systems,A multi-formalisms approach for codesign in the development of avionics,Performance estimation for real-time distributed embedded systems,Incremental hardware estimation during hardware/software functional partitioning,Protocol selection and interface generation for HW-SW codesign,An architectural co-synthesis algorithm for distributed embedded computing systems,SpecSyn: an environment supporting the specify-explore-refine paradigm for hardware/software system design,Strategy for power-efficient design of parallel systems,Reconfigurable pipelined 2-D convolvers for fast digital signal processing,Partitioning and pipelining for performance-constrained hardware/software systems,Fine-grained and coarse-grained behavioral partitioning with effective utilization of memory and design space exploration for multi-FPGA architectures,Co-RAM: combinational logic synthesis applied to software partitions for mapping to a novel memory device,A Parallel Genetic Algorithm With Dispersion Correction for HW/SW Partitioning on Multi-Core CPU and Many-Core GPU
Generic Tasks in Knowledge-Based Reasoning: High-Level Building Blocks for Expert System Design,"B. Chandrasekaran, ",1986,310,Task classification for knowledge-based systems in industrial automation,An epistemological framework for medical knowledge-based systems,Automating knowledge acquisition as extending updating and improving a knowledge base,Functional and teleological knowledge in the multimodeling approach for reasoning about physical systems: a case study in diagnosis,A declarative representation of control knowledge,From numbers to symbols to knowledge structures: artificial intelligence perspectives on the classification task,Emerging trends in millimeter-wave CAD,Computational feasibility of structured matching,Composition of image analysis processes through object-centered hierarchical planning,Modeling and reasoning techniques in geologic interpretation,Knowledge-based segmentation of Landsat images,Hierarchical classification: its usefulness for diagnosis and sensor validation,Artificial intelligence in medical consultation systems: a review,A framework for building intelligent manufacturing systems,A study of knowledge engineering tools in power engineering applications,From generic restoration actions to specific restoration strategies,Expert systems and tools: myths and realities,Fabricating composite materials-a comprehensive problem-solving architecture based on generic tasks,An explanation-based-learning approach to knowledge compilation: a Pilot's Associate application,A task-based methodology for specifying expert systems,A stratified approach to specifying designing and building knowledge systems,Acquiring knowledge in Soar,Combining multiple knowledge sources in an integrated intelligent system,Explaining control strategies in problem solving,Toward a competence theory of diagnosis,The paradoxical success of fuzzy logic,AI knowledge and the quest for smart systems,Reusing makes it easier: manufacturing process design by CBR with KnowledgeWare,Printing press configuration-a knowledge-based approach,The current status of expert system development and related technologies in Japan
The Design of OpenMP Tasks,"Eduard Ayguade, Nawal Copty, Alejandro Duran, Jay Hoeflinger, Yuan Lin, Federico Massaioli, Xavier Teruel, Priya Unnikrishnan, Guansong Zhang, ",2009,116
