PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Yang, Hyunjin; Massoudi, Mehrdad								Conduction and convection heat transfer in a dense granular suspension								APPLIED MATHEMATICS AND COMPUTATION				332				351	362		10.1016/j.amc.2018.03.056					SEP 1 2018	2018										0	0	0	0	0	0			0096-3003	1873-5649		WOS:000432739500029		
J	Thirumalaisamy, Ramakrishnan; Natarajan, Ganesh; Dalal, Amaresh								Towards an improved conservative approach for simulating electrohydrodynamic two-phase flows using volume-of-fluid								JOURNAL OF COMPUTATIONAL PHYSICS				367				391	398		10.1016/j.jcp.2018.04.024					AUG 15 2018	2018										0	0	0	0	0	0			0021-9991	1090-2716		WOS:000432926800019		
J	Formalev, V. F.; Kolesnik, S. A.								Temperature-dependent anisotropic bodies thermal conductivity tensor components identification method								INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER				123				994	998		10.1016/j.ijheatmasstransfer.2018.03.014					AUG 2018	2018										0	0	0	0	0	0			0017-9310	1879-2189		WOS:000434887000083		
J	Kang, Hyunsuk; Lee, Ki-Ahm								Harnack inequality and pinching estimates for anisotropic curvature flow of hypersurfaces								JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS				464	1			32	57		10.1016/j.jmaa.2018.03.062					AUG 1 2018	2018										0	0	0	0	0	0			0022-247X	1096-0813		WOS:000431934500002		
J	Masutani, Evan M.; Contijoch, Francisco; Kyubwa, Espoir; Cheng, Joseph; Alley, Marcus T.; Vasanawala, Shreyas; Hsiao, Albert					Cheng, Joseph/0000-0002-6559-0473; Hsiao, Albert/0000-0002-9412-1369			Volumetric segmentation-free method for rapid visualization of vascular wall shear stress using 4D flow MRI								MAGNETIC RESONANCE IN MEDICINE				80	2			748	755		10.1002/mrm.27159					AUG 2018	2018										0	0	0	0	0	0			0740-3194	1522-2594		WOS:000430469300033	29516632	
J	Chacko, Rahul N.; Mari, Romain; Fielding, Suzanne M.; Cates, Michael E.								Shear reversal in dense suspensions: the challenge to fabric evolution models from simulation data								JOURNAL OF FLUID MECHANICS				847				700	734		10.1017/jfm.2018.279					JUL 25 2018	2018										0	0	0	0	0	0			0022-1120	1469-7645		WOS:000434255400028		
J	Lai, Jiawei; Wacks, Daniel H.; Chakraborty, Nilanjan								Flow topology distribution in head-on quenching of turbulent premixed flame: A Direct Numerical Simulation analysis								FUEL				224				186	209		10.1016/j.fuel.2018.03.021					JUL 15 2018	2018										0	0	0	0	0	0			0016-2361	1873-7153		WOS:000432920900019		
J	Li, Yi								Long time existence and bounded scalar curvature in the Ricci-harmonic flow								JOURNAL OF DIFFERENTIAL EQUATIONS				265	1			69	97		10.1016/j.jde.2018.02.028					JUL 5 2018	2018										0	0	0	0	0	0			0022-0396	1090-2732		WOS:000430281500003		
J	Surana, K. S.; Long, S. W.; Reddy, J. N.								Necessity of law of balance/equilibrium of moment of moments in non-classical continuum theories for fluent continua								ACTA MECHANICA				229	7			2801	2833		10.1007/s00707-018-2143-1					JUL 2018	2018										0	0	0	0	0	0			0001-5970	1619-6937		WOS:000435774800006		
J	Ricardo, Ana M.; Grigoriadis, Dimokratis G. E.; Ferreira, Rui M. L.								Numerical simulations of turbulent flows within an infinite array of randomly placed cylinders								JOURNAL OF FLUIDS AND STRUCTURES				80				245	261		10.1016/j.jfluidstructs.2018.04.004					JUL 2018	2018										0	0	0	0	0	0			0889-9746			WOS:000435046100014		
J	Dopazo, Cesar; Martin, Jesus; Cifuentes, Luis; Hierro, Juan					Cifuentes, Luis/0000-0001-9077-2597			Strain, Rotation and Curvature of Non-material Propagating Iso-scalar Surfaces in Homogeneous Turbulence								FLOW TURBULENCE AND COMBUSTION				101	1			1	32		10.1007/s10494-017-9888-9					JUL 2018	2018										0	0	0	0	0	0			1386-6184	1573-1987		WOS:000434708500001		
J	Klus, Stefan; Gelss, Patrick; Peitz, Sebastian; Schuette, Christof								Tensor-based dynamic mode decomposition								NONLINEARITY				31	7			3359	3380		10.1088/1361-6544/aabc8f					JUL 2018	2018										0	0	0	0	0	0			0951-7715	1361-6544		WOS:000434282900004		
J	Jansson, J.; Gustafsson, T.; Salomonsson, K.; Olofsson, J.; Johansson, J.; Appelsved, P.; Palm, M.								An anisotropic non-linear material model for glass fibre reinforced plastics								COMPOSITE STRUCTURES				195				93	98		10.1016/j.compstruct.2018.04.044					JUL 1 2018	2018										0	0	0	0	0	0			0263-8223	1879-1085		WOS:000432491400009		
J	Clayton, J. D.				Clayton, John/C-7760-2009				Generalized pseudo-Finsler geometry applied to the nonlinear mechanics of torsion of crystalline solids								INTERNATIONAL JOURNAL OF GEOMETRIC METHODS IN MODERN PHYSICS				15	7					1850113	10.1142/S021988781850113X					JUL 2018	2018										0	0	0	0	0	0			0219-8878	1793-6977		WOS:000433119300008		
J	Li, Wanai; Pan, Jianhua; Ren, Yu-Xin								The discontinuous Galerkin spectral element methods for compressible flows on two-dimensional mixed grids								JOURNAL OF COMPUTATIONAL PHYSICS				364				314	346		10.1016/j.jcp.2018.03.001					JUL 1 2018	2018										0	0	0	0	0	0			0021-9991	1090-2716		WOS:000432481000015		
J	Berdichevsky, V. L.								Entropy and temperature of microstructure in crystal plasticity								INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE				128				24	30		10.1016/j.ijengsci.2018.03.001					JUL 2018	2018										0	0	0	0	0	0			0020-7225	1879-2197		WOS:000432646300003		
J	Abels, Helmut; Liu, Yuning								Sharp Interface Limit for a Stokes/Allen-Cahn System								ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS				229	1			417	502		10.1007/s00205-018-1220-x					JUL 2018	2018										0	0	0	0	0	0			0003-9527	1432-0673		WOS:000431644400009		
J	Zhang, Zhu-Hong								FOUR-DIMENSIONAL GRADIENT SHRINKING SOLITONS WITH PINCHED CURVATURE								PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY				146	7			3049	3056		10.1090/proc/13859					JUL 2018	2018										0	0	0	0	0	0			0002-9939	1088-6826		WOS:000430427700027		
J	Nishiguchi, Koji; Okazawa, Shigenobu; Tsubokura, Makoto								Multimaterial Eulerian finite element formulation for pressure-sensitive adhesives								INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING				114	13			1368	1388		10.1002/nme.5790					JUN 29 2018	2018										0	0	0	0	0	0			0029-5981	1097-0207		WOS:000434116100002		
J	Kumar, Rajiv; Gu, Wei-Min								The 2D Disk Structure with Advective Transonic Inflow-Outflow Solutions around Black Holes								ASTROPHYSICAL JOURNAL				860	2					114	10.3847/1538-4357/aac328					JUN 20 2018	2018										0	0	0	0	0	0			0004-637X	1538-4357		WOS:000435654900004		
J	de Laborderie, J.; Duchaine, F.; Gicquel, L.; Vermorel, O.; Wang, G.; Moreau, S.					Moreau, Stephane/0000-0002-9306-8375			Numerical analysis of a high-order unstructured overset grid method for compressible LES of turbomachinery								JOURNAL OF COMPUTATIONAL PHYSICS				363				371	398		10.1016/j.jcp.2018.02.045					JUN 15 2018	2018										0	0	0	0	0	0			0021-9991	1090-2716		WOS:000429576400021		
J	Choo, Jinhyun; Sun, WaiChing				Sun, WaiChing/A-2638-2009	Sun, WaiChing/0000-0002-3078-5086; Choo, Jinhyun/0000-0002-5861-3796			Cracking and damage from crystallization in pores: Coupled chemo-hydro-mechanics and phase-field modeling								COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING				335				347	379		10.1016/j.cma.2018.01.044					JUN 15 2018	2018										0	0	0	0	0	0			0045-7825	1879-2138		WOS:000430071900014		
J	Kim, Jihoon								A new numerically stable sequential algorithm for coupled finite-strain elastoplastic geomechanics and flow								COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING				335				538	562		10.1016/j.cma.2018.02.024					JUN 15 2018	2018										0	0	0	0	0	0			0045-7825	1879-2138		WOS:000430071900021		
J	Chattopadhyay, Chandrodoy; Heinz, Ulrich; Pal, Subrata; Vujanovic, Gojko								Higher order and anisotropic hydrodynamics for Bjorken and Gubser flows								PHYSICAL REVIEW C				97	6					064909	10.1103/PhysRevC.97.064909					JUN 14 2018	2018										1	0	0	0	0	1			2469-9985	2469-9993		WOS:000435334000003		
J	Promjunyakul, Nutta-On; Dodge, Hiroko H; Lahna, David; Boespflug, Erin L; Kaye, Jeffrey A; Rooney, William D; Silbert, Lisa C								Baseline NAWM structural integrity and CBF predict periventricular WMH expansion over time.								Neurology				90	24			e2119	e2126		10.1212/WNL.0000000000005684					2018-Jun-12	2018										0	0	0	0	0	0				1526-632X		MEDLINE:29769375	29769375	
J	Eller, Alexander M.; Moore, Guy D.								Gradient-flowed thermal correlators: How much flow is too much?								PHYSICAL REVIEW D				97	11					114507	10.1103/PhysRevD.97.114507					JUN 11 2018	2018										0	0	0	0	0	0			2470-0010	2470-0029		WOS:000434764200005		
J	Haber, Margalit; Amyot, Franck; Kenney, Kimbra; Meredith-Duliba, Tawny; Moore, Carol; Silverman, Erika; Podell, Jamie; Chou, Yi-Yu; Pham, Dzung L.; Butman, John; Lu, Hanzhang; Diaz-Arrastia, Ramon; Sandsmark, Danielle								Vascular Abnormalities within Normal Appearing Tissue in Chronic Traumatic Brain Injury								JOURNAL OF NEUROTRAUMA											10.1089/neu.2018.5684		JUN	2018			2018										0	0	0	0	0	0			0897-7151	1557-9042		WOS:000434867000001	29609518	
J	Knorr, Benjamin								Infinite order quantum-gravitational correlations								CLASSICAL AND QUANTUM GRAVITY				35	11					115005	10.1088/1361-6382/aabaa0					JUN 7 2018	2018										0	0	0	0	0	0			0264-9381	1361-6382		WOS:000431146100005		
J	Keles, Ahmet; Zhao, Erhai								Renormalization group analysis of dipolar Heisenberg model on square lattice								PHYSICAL REVIEW B				97	24					245105	10.1103/PhysRevB.97.245105					JUN 6 2018	2018										0	0	0	0	0	0			2469-9950	2469-9969		WOS:000434257300001		
J	Bennett, Jeremy P; Haslauer, Claus P; Ross, Martin; Cirpka, Olaf A								An Open, Object-Based Framework for Generating Anisotropy in Sedimentary Subsurface Models.								Ground water											10.1111/gwat.12803					2018-Jun-03	2018										0	0	0	0	0	0				1745-6584		MEDLINE:29862499	29862499	
J	Park, Jungmin; Safdari, Arman; Kim, Kyung Chun								Shape optimization of flow channels based on lattice Boltzmann method								JOURNAL OF MECHANICAL SCIENCE AND TECHNOLOGY				32	6			2619	2627		10.1007/s12206-018-0519-8					JUN 2018	2018										0	0	0	0	0	0			1738-494X	1976-3824		WOS:000435920100019		
J	Chong, Catherine D.; Schwedt, Todd J.								Research Imaging of Brain Structure and Function After Concussion								HEADACHE				58	6			827	835		10.1111/head.13269					JUN 2018	2018										0	0	0	0	0	0			0017-8748	1526-4610		WOS:000435779900004	29476532	
J	Han JiangTao; Guo ZhenYu; Liu WenYu; Hou HeSheng; Liu GuoXing; Han Song; Liu LiJia; Wang TianQi								Deep dynamic process of lithosphere thinning in Songliao basin								CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION				61	6			2265	2279							JUN 2018	2018										0	0	0	0	0	0			0001-5733			CCC:000435427300009		
J	Pereira, Anselmo S.; Mompean, Gilmar; Soares, Edson J.								Modeling and numerical simulations of polymer degradation in a drag reducing plane Couette flow								JOURNAL OF NON-NEWTONIAN FLUID MECHANICS				256				1	7		10.1016/j.jnnfm.2018.03.007					JUN 2018	2018										0	0	0	0	0	0			0377-0257	1873-2631		WOS:000435621800001		
J	Dimakopoulos, Y.; Makrigiorgos, G.; Georgiou, G. C.; Tsamopoulos, J.								The PAL (Penalized Augmented Lagrangian) method for computing viscoplastic flows: A new fast converging scheme								JOURNAL OF NON-NEWTONIAN FLUID MECHANICS				256				23	41		10.1016/j.jnnfm.2018.03.009					JUN 2018	2018										0	0	0	0	0	0			0377-0257	1873-2631		WOS:000435621800003		
J	Huter, Markus; Hulsen, Martien A.; Anderson, Patrick D.					Hutter, Markus/0000-0002-8161-9002			Fluctuating viscoelasticity								JOURNAL OF NON-NEWTONIAN FLUID MECHANICS				256				42	56		10.1016/j.jnnfm.2018.02.012					JUN 2018	2018										0	0	0	0	0	0			0377-0257	1873-2631		WOS:000435621800004		
J	Polanco, J. I.; Vinkovic, I.; Stelzenmuller, N.; Mordant, N.; Bourgoin, M.								Relative dispersion of particle pairs in turbulent channel flow								INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW				71				231	245		10.1016/j.ijheatfluidflow.2018.04.007					JUN 2018	2018						10th International Symposium on Turbulence and Shear Flow Phenomena (TSFP)10th International Symposium on Turbulence and Shear Flow Phenomena (TSFP)	JUL 06-09, 2017JUL 06-09, 2017		Chicago, ILChicago, IL	0	0	0	0	0	0			0142-727X	1879-2278		WOS:000435428900020		
J	Gu, Chengwei; Zeng, Dong; Lin, Jiahui; Li, Sui; He, Ji; Zhang, Hao; Bian, Zhaoying; Niu, Shanzhou; Zhang, Zhang; Huang, Jing; Chen, Bo; Zhao, Dazhe; Chen, Wufan; Ma, Jianhua					Zhang, Hao/0000-0002-1304-5895			Promote quantitative ischemia imaging via myocardial perfusion CT iterative reconstruction with tensor total generalized variation regularization								PHYSICS IN MEDICINE AND BIOLOGY				63	12					125009	10.1088/1361-6560/aac7bd					JUN 2018	2018										0	0	0	0	0	0			0031-9155	1361-6560		WOS:000435105100001	29794346	
J	Faghih, Mohammad M.; Sharp, M. Keith								Characterization of erythrocyte membrane tension for hemolysis prediction in complex flows								BIOMECHANICS AND MODELING IN MECHANOBIOLOGY				17	3			827	842		10.1007/s10237-017-0995-2					JUN 2018	2018										0	0	0	0	0	0			1617-7959	1617-7940		WOS:000431943100014	29299699	
J	Ding, Qiong; Tanigawa, Kitora; Kaneko, Jun; Totsuka, Mamoru; Katakura, Yoshinori; Imabayashi, Etsuko; Matsuda, Hiroshi; Hisatsune, Tatsuhiro								Anserine/Carnosine Supplementation Preserves Blood Flow in the Prefrontal Brain of Elderly People Carrying APOE e4								AGING AND DISEASE				9	3			334	345		10.14336/AD.2017.0809					JUN 2018	2018										0	0	0	0	0	0			2152-5250			WOS:000434762200001	29896423	
J	Shamsoddini, Rahim								Incompressible SPH Modeling of Rotary Micropump Mixers								INTERNATIONAL JOURNAL OF COMPUTATIONAL METHODS				15	4					1850019	10.1142/S0219876218500196					JUN 2018	2018										0	0	0	0	0	0			0219-8762	1793-6969		WOS:000434323000003		
J	Graham, Michael D.								Polymer turbulence with Reynolds and Riemann								JOURNAL OF FLUID MECHANICS				848				1	4		10.1017/jfm.2018.353					JUN 1 2018	2018										0	0	0	0	0	0			0022-1120	1469-7645		WOS:000434249200001		
P	LI Y; JIANG C; LU Z; LI R; CHEN Y; WA Y; WU H; XIAO H; CAI J								Method for transmitting reference signal in terminal, involves mapping element to resource element, transmitting reference signal by resource element, and converting element in sequence into corresponding to resource element of time index					CN108111285-A	ZTE CORP																																		0						DIIDW:2018453965		
J	Tamijani, Ali Y.; Hurley, Joel; Gharibi, Kaveh								Determination of load paths in plates and shells								THIN-WALLED STRUCTURES				127				646	653		10.1016/j.tws.2018.02.031					JUN 2018	2018										0	0	0	0	0	0			0263-8231	1879-3223		WOS:000433269600048		
J	Vanchurin, Vitaly								Information Graph Flow: A Geometric Approximation of Quantum and Statistical Systems								FOUNDATIONS OF PHYSICS				48	6			636	653		10.1007/s10701-018-0166-z					JUN 2018	2018										0	0	0	0	0	0			0015-9018	1572-9516		WOS:000433534900003		
J	Bachman, Scott D.; Anstey, James A.; Zanna, Laure								The relationship between a deformation-based eddy parameterization and the LANS-alpha turbulence model								OCEAN MODELLING				126				56	62		10.1016/j.ocemod.2018.04.007					JUN 2018	2018										0	0	0	0	0	0			1463-5003	1463-5011		WOS:000433242000005		
J	Vargas, M I; Delattre, B M A; Boto, J; Gariani, J; Dhouib, A; Fitsiori, A; Dietemann, J L					Vargas, Maria Isabel/0000-0002-6571-5336			Advanced magnetic resonance imaging (MRI) techniques of the spine and spinal cord in children and adults.								Insights into imaging											10.1007/s13244-018-0626-1					2018-Jun-01	2018										0	0	0	0	0	0			1869-4101			MEDLINE:29858818	29858818	
J	Parent, Maxime; Li, Ying; Santhakumar, Vijayalakshmi; Hyder, Fahmeed; Sanganahalli, Basavaraju G; Kannurpatti, Sridhar								Alterations of parenchymal microstructure, neuronal connectivity and cerebrovascular resistance at adolescence following mild to moderate traumatic brain injury in early development.								Journal of neurotrauma											10.1089/neu.2018.5741					2018-Jun-01	2018										0	0	0	0	0	0				1557-9042		MEDLINE:29855211	29855211	
J	Ramos, J.J.; Merino, M.; Ahedo, E.					Merino, Mario/0000-0001-7649-3663; AHEDO, EDUARDO/0000-0003-2148-4553			Three dimensional fluid-kinetic model of a magnetically guided plasma jet								Physics of Plasmas				25	6			061206 (12 pp.)	061206 (12 pp.)		10.1063/1.5026972					June 2018	2018										0	0	0	0	0	0			1070-664X			INSPEC:17765213		
J	Ghayesh, Mergen H.; Farokhi, Hamed								On the viscoelastic dynamics of fluid-conveying microtubes								INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE				127				186	200		10.1016/j.ijengsci.2018.02.010					JUN 2018	2018										0	0	0	0	0	0			0020-7225	1879-2197		WOS:000432103200010		
J	Gatica, Gabriel N.; Munar, Mauricio; Sequeira, Filander A.								A mixed virtual element method for a nonlinear Brinkman model of porous media flow								CALCOLO				55	2					UNSP 21	10.1007/s10092-018-0262-7					JUN 2018	2018										0	0	0	0	0	0			0008-0624	1126-5434		WOS:000432659100001		
J	Schiffmann, Philipp; Reuss, David L.; Sick, Volker								Empirical investigation of spark-ignited flame-initiation cycle-to-cycle variability in a homogeneous charge reciprocating engine								INTERNATIONAL JOURNAL OF ENGINE RESEARCH				19	5			491	508		10.1177/1468087417720558					JUN 2018	2018										0	0	0	0	0	0			1468-0874	2041-3149		WOS:000432713200001		
J	Zhang, Xiao Dong; Zhang, Long Jiang								Multimodal MR imaging in hepatic encephalopathy: state of the art								METABOLIC BRAIN DISEASE				33	3			661	671		10.1007/s11011-018-0191-9					JUN 2018	2018										0	0	0	0	0	0			0885-7490	1573-7365		WOS:000432530200004	29374342	
J	Liu, Xiaoxue; Li, Jianrui; Xu, Qiang; Mantini, Dante; Wang, Peng; Xie, Yuan; Weng, Yifei; Ma, Chiyuan; Sun, Kangjian; Zhang, Zhiqiang; Lu, Guangming								Pathological factors contributing to crossed cerebellar diaschisis in cerebral gliomas: a study combining perfusion, diffusion, and structural MR imaging								NEURORADIOLOGY				60	6			643	650		10.1007/s00234-018-2015-3					JUN 2018	2018										0	0	0	0	0	0			0028-3940	1432-1920		WOS:000432292400008	29666881	
J	Wang, Zhechao; Zong, Zhi; Qiao, Liping; Li, Wei								Transversely Isotropic Creep Model for Rocks								INTERNATIONAL JOURNAL OF GEOMECHANICS				18	6					04018033	10.1061/(ASCE)GM.1943-5622.0001159					JUN 2018	2018										0	0	0	0	0	0			1532-3641	1943-5622		WOS:000430115200029		
J	Joglekar, Archis S.; Winjum, Benjamin J.; Tableman, Adam; Wen, Han; Tzoufras, Michail; Mori, Warren B.								Validation of OSHUN against collisionless and collisional plasma physics								PLASMA PHYSICS AND CONTROLLED FUSION				60	6					064010	10.1088/1361-6587/aab978					JUN 2018	2018										0	0	0	0	0	0			0741-3335	1361-6587		WOS:000431475700002		
J	Horak, Wojciech								Modeling of magnetorheological fluid in quasi-static squeeze flow mode								SMART MATERIALS AND STRUCTURES				27	6					065022	10.1088/1361-665X/aab7c7					JUN 2018	2018										0	0	0	0	0	0			0964-1726	1361-665X		WOS:000431781600013		
J	Mucha, Piotr B.; Peszek, Jan; Pokorny, Milan								Flocking particles in a non-Newtonian shear thickening fluid								NONLINEARITY				31	6			2703	2725		10.1088/1361-6544/aab594					JUN 2018	2018										0	0	0	0	0	0			0951-7715	1361-6544		WOS:000431372300001		
J	Hamilton, Nicholas; Viggiano, Bianca; Calaf, Marc; Tutkun, Murat; Cal, Raul Bayoan								A generalized framework for reduced-order modeling of a wind turbine wake								WIND ENERGY				21	6			373	390		10.1002/we.2167					JUN 2018	2018										0	0	0	0	0	0			1095-4244	1099-1824		WOS:000431508400001		
J	Wang, Kun; Sun, WaiChing					Sun, WaiChing/0000-0002-3078-5086			A multiscale multi-permeability poroplasticity model linked by recursive homogenizations and deep learning								COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING				334				337	380		10.1016/j.cma.2018.01.036					JUN 1 2018	2018										0	0	0	0	0	0			0045-7825	1879-2138		WOS:000431197000014		
J	Haghgoo, Mohammad Reza; Bergstrom, Donald J.; Spiteri, Raymond J.								Effect of particle stress tensor in simulations of dense gas-particle flows in fluidized beds								PARTICUOLOGY				38				31	43		10.1016/j.partic.2017.04.010					JUN 2018	2018										0	0	0	0	0	0			1674-2001	2210-4291		WOS:000430521000004		
J	Stephanou, Pavlos S.								The rheology of drilling fluids from a non-equilibrium thermodynamics perspective								JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING				165				1010	1020		10.1016/j.petrol.2017.11.040					JUN 2018	2018										0	0	0	0	0	0			0920-4105	1873-4715		WOS:000429896600086		
J	Thomas, Cibu; Sadeghi, Neda; Nayak, Amrita; Trefler, Aaron; Sarlls, Joelle; Baker, Chris I.; Pierpaoli, Carlo								Impact of time-of-day on diffusivity measures of brain tissue derived from diffusion tensor imaging								NEUROIMAGE				173				25	34		10.1016/j.neuroimage.2018.02.026					JUN 2018	2018										0	0	0	0	0	0			1053-8119	1095-9572		WOS:000430366000004	29458189	
J	Yu, Shengjiao; Feng, Renzhong; Yue, Huiqiang; Wang, Zheng; Liu, Tiegang								Adjoint-Based Adaptive Isogeometric Discontinuous Galerkin Method for Euler Equations								ADVANCES IN APPLIED MATHEMATICS AND MECHANICS				10	3			652	672		10.4208/aamm.OA-2017-0046					JUN 2018	2018										0	0	0	0	0	0			2070-0733	2075-1354		WOS:000430200800007		
J	Lopez, Christopher								AMBIENT OBSTRUCTION FLOW								TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY				370	6			4111	4145		10.1090/tran/7106					JUN 2018	2018										0	0	0	0	0	0			0002-9947	1088-6850		WOS:000428311400014		
J	Koba, Hajime								ON DERIVATION OF COMPRESSIBLE FLUID SYSTEMS ON AN EVOLVING SURFACE								QUARTERLY OF APPLIED MATHEMATICS				76	2			303	359		10.1090/qam/1491					JUN 2018	2018										0	0	0	0	0	0			0033-569X	1552-4485		WOS:000425778000005		
J	Maringova, Erika; Zabensky, Josef								On a Navier-Stokes-Fourier-like system capturing transitions between viscous and inviscid fluid regimes and between no-slip and perfect-slip boundary conditions								NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS				41				152	178		10.1016/j.nonrwa.2017.10.008					JUN 2018	2018										0	0	0	0	0	0			1468-1218			WOS:000424721700008		
J	Nyitrai, Gabriella; Spisak, Tamas; Spisak, Zsofia; Gajari, David; Dioszegi, Palma; Kincses, Tamas Zsigmond; Czurko, Andras								Stepwise occlusion of the carotid arteries of the rat: MRI assessment of the effect of donepezil and hypoperfusion-induced brain atrophy and white matter microstructural changes								PLOS ONE				13	5					e0198265	10.1371/journal.pone.0198265					MAY 31 2018	2018										0	0	0	0	0	0			1932-6203			WOS:000433893200044	29851990	
P	MACLEOD M K; SWARTZ J W; PONDER M V								Computer-based method for generating ground truth for training text classifier, involves selecting question text-answer pairs for ground truth training set, and training text classifier using ground truth training set					US2018150607-A1	WELLTOK INC																																		0						DIIDW:201843691M		
P	LI X; ZHOU X; WANG C; CHEN X								FPGA-based LSTM recurrent neural network hardware accelerator designing method, involves writing hardware bit stream file code for hardware device driver by operating system, and performing user interface algorithm interface process					CN108090560-A	SUZHOU INST ADVANCED STUDY USTC																																		0						DIIDW:201843260S		
J	Sack, Kevin L.; Aliotta, Eric; Ennis, Daniel B.; Choy, Jenny S.; Kassab, Ghassan S.; Guccione, Julius M.; Franz, Thomas								Construction and Validation of Subject-Specific Biventricular Finite-Element Models of Healthy and Failing Swine Hearts From High-Resolution DT-MRI								FRONTIERS IN PHYSIOLOGY				9						539	10.3389/fphys.2018.00539					MAY 29 2018	2018										0	0	0	0	0	0			1664-042X			WOS:000433372700001	29896107	
P	WANG S; WANG Y; WANG Z; HU Y; YANG Y; HU M								Auxiliary teaching method, involves transmitting identification result to teacher teaching prompting module, and training depth tensor line network model by identifying module corresponding to class image for detecting action of students					CN108073888-A	SHENZHEN INST ADVANCED TECHNOLOGY; SHENZHEN SIBIKU TECHNOLOGY CO LTD																																		0						DIIDW:2018438738		
J	Brugger, Peter; Katul, Gabriel G.; De Roo, Frederik; Kroeniger, Konstantin; Rotenberg, Eyal; Rohatyn, Shani; Mauder, Matthias								Scalewise invariant analysis of the anisotropic Reynolds stress tensor for atmospheric surface layer and canopy sublayer turbulent flows								PHYSICAL REVIEW FLUIDS				3	5					054608	10.1103/PhysRevFluids.3.054608					MAY 24 2018	2018										0	0	0	0	0	0			2469-990X			WOS:000433043300001		
J	Liu, Yawei; Ganti, Raman; Frenkel, Daan								Pressure gradients fail to predict diffusio-osmosis								JOURNAL OF PHYSICS-CONDENSED MATTER				30	20					205002	10.1088/1361-648X/aabd58					MAY 23 2018	2018										0	0	0	0	0	0			0953-8984	1361-648X		WOS:000430969500001	29637907	
J	Gaspard, Pierre; Kapral, Raymond					Kapral, Raymond/0000-0002-4652-645X			Nonequilibrium thermodynamics and boundary conditions for reaction and transport in heterogeneous media								JOURNAL OF CHEMICAL PHYSICS				148	19					194114	10.1063/1.5031761					MAY 21 2018	2018										0	0	0	0	0	0			0021-9606	1089-7690		WOS:000432853800063		
J	Palanisamy, Duraivelan; den Otter, Wouter K.								Efficient Brownian Dynamics of rigid colloids in linear flow fields based on the grand mobility matrix								JOURNAL OF CHEMICAL PHYSICS				148	19					194112	10.1063/1.5027063					MAY 21 2018	2018										0	0	0	0	0	0			0021-9606	1089-7690		WOS:000432853800061		
J	Rolls, Edward; Erban, Radek								Multi-resolution polymer Brownian dynamics with hydrodynamic interactions								JOURNAL OF CHEMICAL PHYSICS				148	19					194111	10.1063/1.5018595					MAY 21 2018	2018										0	0	0	0	0	0			0021-9606	1089-7690		WOS:000432853800060		
P	LIU S; GUO G; WU X								Neural network model based on gating cycle unit, for identifying leakage damage in water supply network, has output layer which is connected in series with tensor and is configured to output predicted flow of water pipe network at next time					CN108051035-A	UNIV TSINGHUA																																		0						DIIDW:201841341P		
J	Frishman, Anna; Herbert, Corentin								Turbulence Statistics in a Two-Dimensional Vortex Condensate								PHYSICAL REVIEW LETTERS				120	20					204505	10.1103/PhysRevLett.120.204505					MAY 18 2018	2018										0	0	0	0	0	0			0031-9007	1079-7114		WOS:000433032500012	29864335	
P	LASIC S; TOPGAARD D; NILSSON M; LUNDELL H M H								Method of performing diffusion weighted magnetic resonance measurements on sample, involves performing diffusion weighted magnetic resonance measurements on sample, and measurements possess diffusion encoding with different spectral content					WO2018088954-A1	CR DEV AB																																		0						DIIDW:2018386855		
J	Naseri, Homa; Trickett, Kieran; Mitroglou, Nicholas; Karathanassis, Ioannis; Koukouvinis, Phoevos; Gavaises, Manolis; Barbour, Robert; Diamond, Dale; Rogers, Sarah E.; Santini, Maurizio; Wang, Jin					Koukouvinis, Phoevos/0000-0002-3945-3707			Turbulence and Cavitation Suppression by Quaternary Ammonium Salt Additives								SCIENTIFIC REPORTS				8						7636	10.1038/s41598-018-25980-x					MAY 16 2018	2018										0	0	0	0	0	0			2045-2322			WOS:000432271700003	29769595	
