Energy-efficient communication protocol for wireless microsensor networks,"W. R. Heinzelman, A. Chandrakasan, H. Balakrishnan, ",2000,4478,Improving actuator-sensor-actuator communication performance in WSANs using a multicast approach based on bloom filters,Energy efficient multi-target clustering algorithm for WSN-based distributed consensus filter,An energy-efficient LEACH algorithm for wireless sensor networks,Opportunities for transmission power control protocols in wireless sensor networks,Cluster management in the known area of deployment for wireless sensor network,A constrained shortest-path energy-aware routing algorithm for wireless sensor networks,Energy-aware wireless microsensor networks,Intelligent medium access for mobile ad hoc networks with busy tones and power control,Utility-based decision-making in wireless sensor networks,An architecture for building self-configurable systems,Energy-scalable algorithms and protocols for wireless microsensor networks,Dynamic voltage scaling techniques for distributed microsensor networks,E-LEACH: Improving the LEACH protocol for privacy preservation in secure data aggregation in Wireless Sensor Networks,Target Tracking via Crowdsourcing: A Mechanism Design Approach,Performance Evaluation of a Synchronization Protocol for Rechargeable Sensor Networks,TEECH-ME: Threshold Sensitive Energy Efficient Cluster Heads Based on Maximum Energy Routing Protocol for WSNs,MEET: Multi-hop Energy Efficient Protocol for Energy Hole Avoidance Using Variable Transmission Range in Wireless Sensor Networks,MASEHA: Multi-hop Communication Using Active and Sleep Nodes for Energy Hole Avoidance in Wireless Sensor Networks,REEC: Reliable Energy Efficient Critical Data Routing in Wireless Body Area Networks,Mobility Model for WBANs,SEARCH: A Stochastic Election Approach for Heterogeneous Wireless Sensor Networks,QoS based energy efficient key management in body sensor networks,Secured data integrity routing for Wireless Sensor Networks,A new LEACH-based routing protocol for energy optimization in wireless sensor network,Two stage fuzzy logic based clustering approach wireless sensor network LEACH protocol,Fault tolerant and mobility aware routing protocol for mobile wireless sensor network,Low-latency energy-balanced data collection in wireless sensor networks,A Flow-Weighted Scale-Free Topology for Wireless Sensor Networks,Large Scale Environmental Monitoring and Maintaining Sensing Coverage in Sensor Networks,Energy Efficient Clustering Scheme for Prolonging the Lifetime of Wireless Sensor Network With Isolated Nodes
MicroGrids,"R. H. Lasseter, ",2002,868,Optimal scheduling of distributed energy storage systems by means of ACO algorithm,State space modeling of three-phase transformers for small-signal analysis of a microgrid,Cost analysis of renewable energy-based microgrids,A linear damping scheme for higher order dc-dc converters supplying constant-power loads in a dc microgrid,Modelling and control of interlinking converters between AC and DC buses in grid-connected microgrids,Sensorless unbalance correction as an ancillary service for LV 4-wire/3-phase power converters,Improved model predictive control for high voltage quality in microgrid applications,Model-predictive-control-based distributed control scheme for bus voltage unbalance and harmonics compensation in microgrids,A modified Q — V droop control for accurate reactive power sharing in distributed generation microgrid,Using consensus control for reactive power sharing of distributed electric springs,Voltage control by using capacitor banks and tap changing transformers in a renewable microgrid,Autonomous control of smart inverters in grid connected and islanded mode,Integration of hybrid renewable energy and its control in grid connected and islanded mode,A decentralized control method for series connected PV battery hybrid microgrid,A review on coordination and control of hybrid AC-DC micorgrid system,Metaheuristic approach to intelligent soultion of microgrid with storage element,Smart micro grid test system for agent based energy management system,A state of art review of microgrid control and integration aspects,Behavior of fault current in microgrid systems,Availability based distributed resource management of microgrid,A non-linear adaptive control strategy for grid connected DC microgrid,Impact of STATCOM on voltage profile in a DG penetrated grid connected system,Power sharing analysis of power-based droop control for DC microgrids considering cable impedances,Methodology for islanding operation of distributed synchronous generators,Mathematical morphology-based islanding detection for distributed generation,Optimal relay coordination and communication based protection for microgrid,Hybrid dual phase shift control of DC micro-grid coupled DAB DC-DC converter for storage application,A Matlab Simulink model for the study of smart grid — Grid-integrated vehicles interactions,A new control strategy of power sharing in islanded microgrids,PV-Battery-Diesel microgrid layout design based on stochastic optimization
On-chip high-voltage generation in MNOS integrated circuits using an improved voltage multiplier technique,"J. F. Dickson, ",1976,860,A CMOS Low Voltage Charge Pump,Design and analysis of on-chip charge pumps for micro-power energy harvesting applications,An efficient clock scheme for low-voltage four-phase charge pumps,An integrated RF energy harvester for UHF wireless powering applications,Single-wing ladder resonant multilevel converter,A low voltage pre start up circuit for thermal energy harvesting applications,Improved charge pump circuits for standard CMOS technologies,Comparison of positive and negative Dickson charge pump and Fibonacci charge pump,Practical aspects of realisation of negative charge pumps,Fitting simulated and measured parameters of Dickson charge pump,Fibonacci charge pump design test and measurement,An embedded charge pump for a Zener-based voltage reference compensated using a ΔVBE stack,Rectenna design for RF energy harvesting using CMOS 350nm and FDSOI 28nm,Self-Biased Differential Rectifier With Enhanced Dynamic Range for Wireless Powering,A Fully Integrated Multistage Cross-Coupled Voltage Multiplier With No Reversion Power Loss in a Standard CMOS Process,A 0.032-mm<sup>2</sup> 0.15-V Three-Stage Charge-Pump Scheme Using a Differential Bootstrapped Ring-VCO for Energy-Harvesting Applications,Low power constant output voltage RF-DC converter,A Low-EMI Fully Integrated Switched-Capacitor DC/DC Converter,An IC chip of a Dickson-type DC-DC converter with bootstrapped fate transfer switches,A highly efficient CMOS charge pump for 1.2 V supply voltage,Switched-capacitor power converter and its applications to future power net,Zero-Current-Switching Multilevel Modular Switched-Capacitor DC–DC Converter,Multiphase Multilevel Modular DC–DC Converter for High-Current High-Gain TEG Application,A Switched-Capacitor DC–DC Converter With High Voltage Gain and Reduced Component Rating and Count,A Long-Range UHF-Band Passive RFID Tag IC Based on High- $Q$ Design Approach,All-pMOS 50-V Charge Pumps Using Low-Voltage Capacitors,Modular Realization of Capacitive Converters Based on General Transposed Series–Parallel and Derived Topologies,Regulating the Output Voltage of the Resonant Switched-Capacitor Converters Below Their Resonant Frequencies,Analysis and Design of the Ladder Resonant Switched-Capacitor Converters for Regulated Output Voltage Applications,RFID Test Platform: Nonlinear Characterization
OpenSim: Open-Source Software to Create and Analyze Dynamic Simulations of Movement,"Scott L. Delp, Frank C. Anderson, Allison S. Arnold, Peter Loan, Ayman Habib, Chand T. John, Eran Guendelman, Darryl G. Thelen, ",2007,859,Musculoskeletal human-spacesuit interaction model,Demographic specific musculoskeletal models of factory worker performance fatigue and injury,Biomechanics of human locomotion with constraints to design flexible-wheeled biped robots,Socio-economic impact of medical lower-limb Exoskeletons,Influence of origins and insertions of muscles on artificial hip joint dislocation,Ergonomic Designs Based on Musculoskeletal Models,Using high-throughput computing for dynamic simulation of bipedal walking,Position and velocity cursor mappings contribute to distinct muscle forces in simulated isometric and movement reaching,Bio-inspired balance controller for a humanoid robot,The characterization of the kinematic and dynamic properties of the ankle joint for an artificial ankle joint design,A constrained Extended Kalman Filter for dynamically consistent inverse kinematics and inertial parameters identification,Isokinematic leg extension training with an industrial robot,Development and validation of a computational musculoskeletal model of the cat hind limb,Estimation of lower limbs angular positions using Kalman filter and genetic algorithm,Estimating the instantaneous wrist flexion angle from multi-channel surface EMG of forearm muscles,Developing an ankle-foot muscular model using Bayesian estimation for the influence of an ankle foot orthosis on muscles,Exploring possibilities for real-time muscle dynamics state estimation from EMG signals,Proprioceptivity and upper-extremity dynamics in robot-assisted reaching movement,Sit-to-Stand movement assistance using an actuated knee joint orthosis,Modeling and simulation of hand based on opensim and leap motion,EMG-driven model-based knee torque estimation on a variable impedance actuator orthosis,Integrating HLA and Service-Oriented Architecture in a Simulation Framework,Dynamics filter for walking trajectories from human motion capture,Muscle control of fore-aft and vertical body center of mass accelerations of human slip recovery gait: A simulation study using wearable sensor shoes,Cognitive cyber situational awareness using virtual worlds,Toward a Unified Framework for EMG Signals Processing and Controlling an Exoskeleton,A concept for Sensor Web Enablement employment in a high-volume layered sensing simulation environment,A Comprehensive Methodology to Visualize Articulations for the Physiological Human,Virtual Human Behavioural Profile Extraction Using Kinect Based Motion Tracking,A 6-DOF exoskeleton for head and neck motion assist with parallel manipulator and sEMG based control
Multiplication noise in uniform avalanche diodes,"R. J. McIntyre, ",1966,859,Noise effects in avalanche photodiodes,Hg/sub 0.56/ Cd/sub 0.44/ Te 1.6- to 2.5- mu m avalanche photodiode and noise study far from resonant impact ionization,Effect of dead space on gain and noise of double-carrier-multiplication avalanche photodiodes,Time and frequency response of avalanche photodiodes with arbitrary structure,Lucky drift estimation of excess noise factor for conventional avalanche photodiodes including the dead space effect,IEEE 51st Annual Device Research Conference,Monte Carlo simulation of the effect of multiplication layer thickness in wide-bandwidth avalanche photodiodes,Hg/sub 0.4/Cd/sub 0.6/Te 1.55- mu m avalanche photodiode noise analysis in the vicinity of resonant impact ionization connected with the spin-orbit split-off band,1/f noise in short n-p/sup +/ diffusion-current-dominated (HgCd)Te avalanche photodiodes,Field and spatial geometry dependencies of the electron and hole ionization rates in GaAs/AlGaAs multiquantum well APD's,Amorphous silicon/silicon carbide superlattice avalanche photodiodes,Effect on the performance of staircase APDs of electron impact ionization within the graded-gap region,Theory of the temporal response of a simple multiquantum-well avalanche photodiode,Design considerations for high performance avalanche photodiode multiplication layers,Analysis of the noise factor of an avalanche photodiode operated in charge-storage mode,Correlation measurement of carrier multiplication noise sources in MOS transistors at low frequencies,Approaching fundamental limits on signal detection,Charge transport and device parameters from noise measurements,Double-drift avalanche photodetectors,Theory of the GaAs-doped p-i-n quantum well APD,Noise suppression effect in an avalanche multiplication photodiode operating in a charge accumulation mode,Mean gain of avalanche photodiodes in a dead space model,Generalized excess noise factor for avalanche photodiodes of arbitrary structure,A theory of multiplication noise,Responsivity and impact ionization coefficients of Si/sub 1-x/Ge/sub x/ photodiodes,Optical and noise characteristics of amorphous Si/SiC superlattice reach-through avalanche photodiodes,Effect of dead space on the excess noise factor and time response of avalanche photodiodes,An extremely low noise heterojunction IMPATT,Impact of local-negative-feedback on the MRS avalanche photodetector operation,Noise characteristics of avalanche photodiode arrays of the bevel-edge type
Neural networks for short-term load forecasting: a review and evaluation,"H. S. Hippert, C. E. Pedreira, R. C. Souza, ",2001,826,Attack-resilient estimation of switched nonlinear cyber-physical systems,Load forecasting as a computational tool to support smart grids,Short-Term Bus Load Forecasting of Power Systems by a New Hybrid Method,A Novel Approach to Forecast Electricity Price for PJM Using Neural Network and Similar Days Method,Short-Term Load Forecasting Methods: An Evaluation Based on European Data,Toward Estimating Autonomous Neural Network-Based Electric Load Forecasters,RBF Neural Network and ANFIS-Based Short-Term Load Forecasting Approach in Real-Time Price Environment,Short-Term and Midterm Load Forecasting Using a Bilevel Optimization Model,Analysis of Animal-Related Outages in Overhead Distribution Systems With Wavelet Decomposition and Immune Systems-Based Neural Networks,Density Forecasting for Long-Term Peak Electricity Demand,Notice of Violation of IEEE Publication Principles<br/>A Hybrid ARIMA and Neural Network Model for Short-Term Price Forecasting in Deregulated Market,Short-Term Load Forecasting Using Fuzzy Inductive Reasoning and Evolutionary Algorithms,On the Influence of Weather Forecast Errors in Short-Term Load Forecasting Models,Construction of Optimal Prediction Intervals for Load Forecasting Problems,Load Forecasting Using Hybrid Models,Secondary Forecasting Based on Deviation Analysis for Short-Term Load Forecasting,Electric Load Forecasting Based on Statistical Robust Methods,Short-Term Load Forecasting With a New Nonsymmetric Penalty Function,Short-Term Load Forecasting Based on a Semi-Parametric Additive Model,Interval Type-2 Fuzzy Logic Systems for Load Forecasting: A Comparative Study,Distribution System State Estimation Using an Artificial Neural Network Approach for Pseudo Measurement Modeling,Short-Term Predictability of Load Series: Characterization of Load Data Bases,Review on Implementation and Assessment of Conservation Voltage Reduction,Modeling and Validation of Electrical Load Profiling in Residential Buildings in Singapore,A Multi-Objective Method for Short-Term Load Forecasting in European Countries,A Bayesian-Based Approach for a Short-Term Steady-State Forecast of a Smart Grid,Two-Stage Charging Strategy for Plug-In Electric Vehicles at the Residential Transformer Level,A Robust Solution to the Load Curtailment Problem,Clustering-Based Improvement of Nonparametric Functional Time Series Forecasting: Application to Intra-Day Household-Level Load Curves,Analysis of Conservation Voltage Reduction Effects Based on Multistage SVR and Stochastic Process
Digital Computer Solution of Electromagnetic Transients in Single-and Multiphase Networks,"Hermann W. Dommel, ",1969,821,Compacting and partitioning-based simulation solution for frequency-dependent network equivalents in real-time digital simulator,Interfacing an EMT-type modular multilevel converter HVDC model in transient stability simulation,Efficient and accurate hybrid model of modular multilevel converters for large MTDC systems,Fundamental current phasor tracking using discrete Fourier transform extraction of Rogowski coil signal,Real-time simulation of large distribution networks with distributed energy resources,Computing transients on transmission lines in teaching electromagnetics,Prediction of transient electromagnetic environment in power networks,A new technique for simulating nonlinear loaded lossy lines,Coupling electric circuit and 2D-FEM model with Dommel's approach for transient analysis [of EM devices],Proximity losses computation with a 2D complex permeability modelling,A virtual lab for electric motors and drives,SPICE implementation of lossy transmission line and Schottky diode models,Rail transit chopper traction interference modeling using the SPICE circuit simulation package,Grounding techniques and induced surge voltage on the control signal cables,Grounding medium-voltage mobile or portable equipment,Modeling and simulation of interconnection delays and crosstalks in high-speed integrated circuits,Waveform relaxation analysis of RLCG transmission lines,Contents,Modeling of loaded uniform RC lines for computer-aided analysis,Algorithms for the transient simulation of lossy interconnect,A gradient-based algorithm for the state initialization of control systems,Application independent interactive environment for power systems education,A synchronous machine model for three-phase harmonic analysis and EMTP initialization,Closed loop testing of a joint VAr controller using a digital real-time simulator,Variable order and variable step-size integration method for transient analysis programs,Reader's guide to subsynchronous resonance,General purpose symbolic simulation tools for electric networks,Modelling of circuit breakers in the Electromagnetic Transients Program,Suppression of numerical oscillations in the EMTP power systems,An extensible real-time digital transient network analyzer
Fast Decoupled Load Flow,"B. Stott, O. Alsac, ",1974,810,Estimation of the largest eigenvalue in Chebyshev preconditioner for parallel conjugate gradient method-based power flow computation,Application of high-order Newton-like methods to solve power flow equations,Developed generalised unified power flow controller model in the Newton–Raphson power-flow analysis using combined mismatches method,Improved power flow robustness for personal computers,Tellegen's theorem and power systems-new load flow equations new solution methods,On-line power system security analysis,Analysis tools for power systems-contending with nonlinearities,Pre-screening of single contingencies causing network topology changes,Security-constrained reactive power dispatch,A method to compute reactive power margins with respect to voltage collapse,A power system CAD package for the workstation and personal computer environment,Approximate sparse vector techniques for power network solutions,Distribution factors of reactive power flow in transmission line and transformer outage studies,Critically coupled algorithms for solving the power flow equation,Fast linear programming state estimation using the dual formulation,An adaptive localization method for real-time security analysis,Vector computer implementation of power flow outage studies,Control variable adjustment in load flows,Implementation of the hypothesis testing identification in power system state estimation,Evaluation of a local DC load flow screening method for branch contingency selection of overloads,Adequacy equivalents in composite power system evaluation,MW/voltage control in a linear programming based optimal power flow,Expert systems for on line security assessment-A preliminary design,Adjusted solutions in fast decoupled load flow,Fast decoupled load flow: the hybrid model,A modification to the fast decoupled power flow for networks with high R/X ratios,Fast contingency screening and evaluation for voltage security analysis,Standardized sensitivity coefficients for power system networks,Improved simulation techniques for power system dynamics,Complete bounding method for AC contingency screening
Modern Wiener-Hopf design of optimal controllers--Part II: The multivariable case,"D. Youla, H. Jabr, J. Bongiorno, ",1976,809
PRIMA: passive reduced-order interconnect macromodeling algorithm,"A. Odabasioglu, M. Celik, L. T. Pileggi, ",1998,803,Krylov subspace method for passive reduced-order modelling of electrical networks,Gasping the impact of on-chip inductance,Rapid calculation of electrostatic Green's functions in layered dielectrics,Electromagnetic model order reduction for system-level modeling,Enhanced skin effect for partial-element equivalent-circuit (PEEC) models,Improved global rational approximation macromodeling algorithm for networks characterized by frequency-sampled data,Laguerre-SVD reduced-order modeling,Novel closed-form Green's function in shielded planar layered media,Macro-elements for efficient FEM simulation of small geometric features in waveguide components,Passive model reduction of multiport distributed interconnects,Efficient sensitivity analysis of transmission-line networks using model-reduction techniques,A general class of passive macromodels for lossy multiconductor transmission lines,A synthesis technique of time-domain interconnect models by MIMO type of selective orthogonal least-square method,Characterization and modeling of multiple coupled on-chip interconnects on silicon substrate,Efficient sensitivity analysis of lossy multiconductor transmission lines with nonlinear terminations,Equivalent Elmore delay for RLC trees,Clock skew verification in the presence of IR-drop in the power distribution network,Simulation of high-speed distributed interconnects using Krylov-space techniques,Equipotential shells for efficient inductance extraction,Exact and efficient crosstalk estimation,DTT: direct truncation of the transfer function - an alternative to moment matching for tree structured interconnect,A design system for RFIC: challenges and solutions,Simulation of high-speed interconnects,Progress in the methodologies for the electrical modeling of interconnects and electronic packages,Efficient passive circuit models for distributed networks with frequency-dependent parameters,Rules for robust generation of accurate reduced-order models for high-speed coupled interconnections,An all-purpose dispersive multiconductor interconnect model compatible with PRIMA,Nonlinear circuit-reduction of high-speed interconnect networks using congruent transformation techniques,A new finite element model for reduced order electromagnetic modeling,A method for reduced-order modeling and simulation of large interconnect circuits and its application to PEEC models with retardation
Promoting the use of end-to-end congestion control in the Internet,"S. Floyd, K. Fall, ",1999,782,An effective approach to alleviating the challenges of transmission control protocol,IQCM: a robust and efficient multimedia data recovery mechanism,Evaluating the impact of emerging streaming media applications on TCP/IP performance,Approximate fair dropping for variable length packets,Is max-min fairness achievable in the presence of insubordinate users?,Building trustworthy systems: lessons from the PTN and Internet,Layered quality adaptation for Internet video streaming,Transporting real-time video over the Internet: challenges and approaches,Internet multicast routing and transport control protocols,Video multicast over the Internet,Scalable fair reliable multicast using active services,Congestion control mechanisms and the best effort service model,A survey on TCP-friendly congestion control,TCP/IP modeling and validation,ABE: providing a low-delay service within best effort,TCP-friendly Internet video streaming employing variable frame-rate encoding and interpolation,Streaming video over the Internet: approaches and directions,Real-time streaming video with adaptive bandwidth control and DCT-based error concealment,Promoting the use of end-to-end congestion control in the Internet,Maintaining end-to-end throughput in a differentiated-services Internet,TCP-Peach: a new congestion control scheme for satellite IP networks,Modeling the effect of short-term rate variations on TCP-friendly congestion control behavior,Global Stability Analysis about a Congestion Control Scheme for Networks with Time Delay,Scalable proportional allocation of bandwidth in ip satellite networks,A New Schema Congestion Control to Promote Fairness in the Internet Traffic,A proposal of a streaming video system in best-effort networks using adaptive QoS control rules,Active congestion control mechanism for non-cumulative layered multicasting,Run-time adjusted congestion control for multimedia: experimental results,Zone-based routing algorithm for congestion control over the Internet,BPB: A method for transparently obtaining network path characteristics close to the sender
Optimal Residential Load Control With Price Prediction in Real-Time Electricity Pricing Environments,"Amir-Hamed Mohsenian-Rad, Alberto Leon-Garcia, ",2010,781,Model predictive control-based operation management for a residential microgrid with considering forecast uncertainties and demand response strategies,Dynamic demand response in smart buildings using an intelligent residential load management system,Fair and efficient energy consumption scheduling algorithm using tabu search for future smart grids,Dynamic incentive framework for demand response in distribution system using moving time horizon control,Methodology for ESS-type selection and optimal energy management in distribution system with DG considering reverse flow limitations and cost penalties,Accommodating renewable generation through an aggregator-focused method for inducing demand side response from electricity consumers,Global energy management system for cooperative networked residential green buildings,Coordinated residential energy resource scheduling with vehicle-to-home and high photovoltaic penetrations,Optimal single phase smart meter design,Demand side management controlling with personalised pricing method,Decentralized control of aggregated loads for demand response,A new pricing scheme for controlling energy storage devices in smart grid,Incentive-Driven Energy Trading in the Smart Grid,Energy Management Based on Demand-Side Pricing: A Supermodular Game Approach,A Learning Automaton-Based Scheme for Scheduling Domestic Shiftable Loads in Smart Grids,Maximizing photovoltaic array energy usage within a house using model predictive controla,Demand response program implementation in an energy district of domestic prosumers,PLEMS: Plug Load Energy Management Solution for Enterprises,Peak Load Scheduling in Smart Grid Communication Environment,Randomized pricing for the optimal coordination of opportunistic agents,Intelligent home management in the smart grids,Modeling and optimal scheduling of residential controllable load with TOU price,Modeling charging demands of various types of electric vehicles in an actual distribution system,Identification of realistic scheduling opportunities and base loads in smart homes using dynamic pricing and standard deviation of load profiles,A two-stage residential demand response framework for smart community with transformer aging,Optimal residential load scheduling in smart grid: A comprehensive approach,Maximizing return on investment of a grid-connected hybrid electrical energy storage system,DRL-cloud: Deep reinforcement learning-based resource provisioning and task scheduling for cloud service providers,Autonomous appliance scheduling based on time of use probabilities and load clustering,Optimal scheduling of conveyor belt systems under Critical Peak Pricing
Equivalent capacity and its application to bandwidth allocation in high-speed networks,"R. Guerin, H. Ahmadi, M. Naghshineh, ",1991,780,Performance analysis of flexible reuse in cellular networks,Routing virtual circuits with temporal QoS requirements in virtual path-based ATM networks,Analysis of a correlated queue in a communication system,Bandwidth allocation for multiple qualities of service using generalized processor sharing,On the estimation of buffer overflow probabilities from measurements,Effective bandwidth-based admission control for multiservice CDMA cellular networks,Statistical multiplexing with loss priorities in rate-based congestion control of high-speed networks,Long-range dependence in variable-bit-rate video traffic,A novel approach to estimating the cell loss probability in an ATM multiplexer loaded with homogeneous on-off sources,Squeezing the most out of ATM,A CAC scheme based on real-time cell loss estimation for ATM multiplexers,Multihop packet scheduling in WDM/TDM networks with nonnegligible transceiver tuning times,ATM technology for corporate networks,ATM local area networks,Traffic management for ATM local area networks,Neural networks in B-ISDN flow control: ATM traffic prediction or network modeling?,Call admission control schemes: a review,Bandwidth allocation and admission control in ATM networks with service separation,Design and analysis of a bandwidth management framework for ATM-based broadband ISDN,QUARTS-II: a routing simulator for ATM networks,TELPACK: an advanced teletraffic analysis package,Bandwidth management and congestion control in plaNET,Design of a power-spectrum-based ATM connection admission controller for multimedia communications,Performance analysis of single-link system with nonlinear equivalent capacity,Comparison of a genetic algorithm with a simulated annealing algorithm for the design of an ATM network,An analysis of the congestion effects of link failures in wide area networks,An architecture and methodology for mobile-executed handoff in cellular ATM networks,Predictive dynamic bandwidth allocation for efficient transport of real-time VBR video over ATM,An introduction to large deviations for communication networks,Large deviations approximation for fluid queues fed by a large number of on/off sources
Grid of the future,"Ali Ipakchi, Farrokh Albuyeh, ",2009,769,Active distribution network expansion planning integrating dispersed energy storage systems,Dynamic demand response in smart buildings using an intelligent residential load management system,Low-voltage ride-through concept in flyback inverterbased alternating current-photovoltaic modules,Scheduling algorithms for PHEV charging in shared parking lots,A distributed scheme for fair EV charging under transmission constraints,Convex optimal uncertainty quantification: Algorithms and a case study in energy storage placement for power grids,Demand response for chemical manufacturing using Economic MPC,Security of smart distribution grids: Data integrity attacks on integrated volt/VAR control and countermeasures,Privacy-optimal strategies for smart metering systems with a rechargeable battery,A tutorial on secure outsourcing of large-scale computations for big data,Distributed Generation Locating and Sizing in Active Distribution Network Considering Network Reconfiguration,Event-Driven Energy Trading System in Microgrids: Aperiodic Market Model Analysis With a Game Theoretic Approach,The solid-state transformer concept: A new era in power distribution,The gamified grid: Possibilities for utilising game-based motivational psychology to empower the Smart Social Grid,Mitigation of real power loss THD &amp; enhancement of voltage profile with optimal DG allocation using PSO &amp; sensitivity analysis,On the impact of SmartGrid metering infrastructure on load forecasting,Differentially private distributed protocol for electric vehicle charging,Simulation of a power line communication system in medium and low voltage distribution networks,Effect of transient conditions on DFT-based synchrophasor estimator performance,Secondary substation power line communications for medium voltage smart grids,A DFT-based synchrophasor frequency and ROCOF estimation algorithm,Measurement and communication interfaces for distributed generation in smart grids,An interface protection system with power line communication for distributed generators remote control,Functional requirements of next generation control center applications,Weather-based and conductor state measurement methods applied for dynamic line rating forecasting,Research and engineering practice of intelligent substation system,The typical construction mode research of intelligent distribution network,Grid interactions and stability analysis of distribution power network with high penetration of plug-in hybrid electric vehicles,Droop-free distributed control with event-triggered communication in DC micro-grid,An Electric Energy Balancing Model in a Medium Enterprise Grid
Optimal Power Flow Solutions,"Hermann W. Dommel, William F. Tinney, ",1968,747,Hybrid multi-swarm particle swarm optimisation based multi-objective reactive power dispatch,Solution of optimal reactive power dispatch by chaotic krill herd algorithm,Estimation of the largest eigenvalue in Chebyshev preconditioner for parallel conjugate gradient method-based power flow computation,Investigation and mathematical modelling of the impact of incentive signals to consumers on their consumption load forecast and network operation,Solution of reactive power optimisation including interval uncertainty using genetic algorithm,Effects of correlated photovoltaic power and load uncertainties on grid-connected microgrid day-ahead scheduling,Maximising wind generation through optimised operation of on-load tap changing transformers in active distribution networks,Distribution voltage control utilising the reactive power capabilities of wind generators,Coupling between knowledge-based and algorithmic methods,A comparison of probabilistic perturbation and deterministic based optimal power flow solutions,Combining loss and cost objectives in daily hydro-thermal economic scheduling,Optimization of fixed tap transformer setting in bulk electric systems,Security-constrained reactive power dispatch,Optimal power flow emulation of interchange brokerage systems using linear programming,A dual augmented Lagrangian approach for optimal power flow,Optimal operation of large-scale power systems,Power system remedial action methodology,Practical reactive power allocation/operation planning using successive linear programming,Adjusted solutions in fast decoupled load flow,Hydrothermal optimal power flow based on a combined linear and nonlinear programming methodology,Considerations in applying optimal power flow to power system operation,Daily generation scheduling optimization with transmission constraints: a new class of algorithms,Hydro-thermal power flow scheduling accounting for head variations,A least squares solution for optimal power flow sensitivity calculation,Discrete shunt controls in a Newton optimal power flow,A tutorial description of an interior point method and its applications to security-constrained economic dispatch,Correctability in online contingency analysis,An approach to standing phase angle reduction,A direct nonlinear predictor-corrector primal-dual interior point algorithm for optimal power flows,Active-reactive coupling in optimal reactive dispatch: a solution via Karush-Kuhn-Tucker optimality conditions
The continuation power flow: a tool for steady state voltage stability analysis,"V. Ajjarapu, C. Christy, ",1992,741,A novel index for identification of weak nodes for reactive compensation to improve voltage stability,Special protection scheme against voltage collapse,Initialised load-flow analysis based on Lagrange polynomial approximation for efficient quasi-static time-series simulation,Numerical polynomial homotopy continuation method to locate all the power flow solutions,Measurement-based voltage stability assessment for load areas addressing n−1 contingencies,Voltage stability assessment based on improved coupled single-port method,Voltage instability: mechanisms and control strategies [power systems],Local bifurcation in power systems: theory computation and application,Analysis tools for power systems-contending with nonlinearities,Voltage instability: phenomena countermeasures and analysis methods,A general parametric optimal power flow,An optimal reactive power planning strategy against voltage collapse,A power flow measure for unsolvable cases,CPFLOW: a practical tool for tracing power system steady-state stationary behavior due to load and generation variations,Estimating the loading limit margin taking into account voltage collapse areas,A piecewise global small-disturbance voltage-stability analysis of structure-preserving power system models,Methods for contingency screening and ranking for voltage stability analysis of power systems,Invariant subspace parametric sensitivity (ISPS) of structure-preserving power system models,On-line detection of power system small disturbance voltage instability,Sensitivity of the loading margin to voltage collapse with respect to arbitrary parameters,On dynamic load models for voltage stability studies,Assessment of transmission system loadability,A method to approximate a closest loadability limit using multiple load flow solutions,The role of automatic differentiation in power system analysis,Methods for calculating oscillations in large power systems,New techniques to speed up voltage collapse computations using tangent vectors,Neuro-fuzzy networks for voltage security monitoring based on synchronized phasor measurements,A practical minimum load shedding strategy to mitigate voltage collapse,Available transfer capability calculations,Contingency ranking for voltage collapse via sensitivities from a single nose curve
