Particle swarm optimization,"J. Kennedy, R. Eberhart, ",1995,14195,Ultra wideband antenna design using discrete Green's functions in conjunction with binary particle swarm optimisation,Multi-static radar power allocation for multi-stage stochastic task of missile interception,Control of IPM Synchronous Generator for Maximum Wind Power Generation Considering Magnetic Saturation,Real Time Implementation of an Artificial Immune System Based Controller for a DSTATCOM in an Electric Ship Power System,Hardware Implementation of an AIS-Based Optimal Excitation Controller for an Electric Ship,Particle swarm optimization - mass-spring system analogon,Use of intelligent-particle swarm optimization in electromagnetics,A novel ecological-biological-behavior praticle swarm optimization for Ackley's function,Improved Particle Swarm Optimization approach of PID controller design for machine tool positioning,A proposal for improved Particle Swarm Optimization,A novel building cooling load prediction based on SVR and SAPSO,Real-Time Face Reconstruction from a Single Depth Image,Learning to Navigate the Energy Landscape,Convergence of Vectors in Paired Comparison-based Interactive Differential Evolution for Creating Scent,Generation of Appropriate User Chord Development Based on Interactive Genetic Algorithm,Parallel Swarm Intelligence for VANETs Optimization,Improving Particle Swarm Optimization Algorithm for Distributed Sensing and Search,The particle swarm - explosion stability and convergence in a multidimensional complex space,A particle swarm optimization for reactive power and voltage control considering voltage security assessment,A modified DE: Population or generation based levy flight differential evolution (PGLFDE),Development of a Grey Wolf Optimizer Toolkit in LabVIEW<sup>™</sup>,Optimization of PID controller with first order noise filter,Training feedforward neural networks using hybrid flower pollination-gravitational search algorithm,Test case selection and prioritization using cuckoos search algorithm,Modeling identification of power plant thermal process based on PSO algorithm,Hammerstein and Wiener nonlinear models identification using a multimodal particle swarm optimizer,A particle swarm optimization approach for automatic diagnosis of PMSM stator fault,Modified particle swarm optimization algorithm for steelmaking charge plan with unknown charge number,A novel training algorithm in ANFIS structure,Adaptive Particle Swarm Optimization Algorithm for Power System Reactive Power Optimization
On the determination of the optimal constant output feedback gains for linear multivariable systems,"W. Levine, M. Athans, ",1970,543,The Optimal Output Feedback Control of a Synchronous Machine,Optimal Power System Stabilization Through Excitation and/or Governor Control,Stabilization A High Voltage ACDC Power Systems I. Evaluation Of Control Strategies,Investigation of Subsynchronous Resonance With VSC-Based HVDC Transmission Systems,Design of a Proportional-Integral Power System Stabilizer,A Comparison of Multivariable Time- And Frequency-Domain Design Methods for Power System Stabilisers including Links with Reported Field Trials,Complex-Valued State Matrices for Simple Representation of Large Autonomous Microgrids Supplied by  $PQ$ and  $Vf$ Generation,Automatic Generation Control of Electric Energy Systems - A Simulation Study,Manual Control System Design Using a Dual Suboptimal Control Model,Optimal Design of Residual-Driven Dynamic Compensator Using Iterative Algorithms With Guaranteed Convergence,Design of a Preview Controller for Vehicle Rollover Prevention,Robust controller design for discrete-time diamond uncertain systems,Fundamental Theorem for Optimal Output Feedback Problem with Quadratic Performance Criterion,Fuzzy sliding mode control with compensator for building structure,The design and analysis of the distributed suboptimal controller,Spectral control of cortical activity,Stabilizing control of a class of discrete-time systems with random delay,Derivation method of optimal solution on output feedback control,Optimal dencentralized regulation for a string of coupled systems,Solution of the optimal constant output feedback problem by conjugate gradients,A concise derivation of optimal constant limited state feedback gains,Analysis of cost sensitivity for linear-quadratic stochastic problems with instantaneous output feedback,Optimization of the state-output relationships for linear stochastic systems,An algorithm for designing suboptimal dynamic controllers,Calculation of optimum feedback gains for output-constrained regulators,Suboptimal control for discrete linear constant stochastic systems,On the design of optimal time-invariant compensators for linear stochastic time-invariant systems,Application of system identification to modeling the human controller under stress conditions,Optimal constant controllers for stochastic linear systems,Optimization with trajectory sensitivity considerations
A Closed-Form Solution to Natural Image Matting,"Anat Levin, Dani Lischinski, Yair Weiss, ",2008,507
An approach to online identification of Takagi-Sugeno fuzzy models,"P. P. Angelov, D. P. Filev, ",2004,506,Solving the sales prediction problem with fuzzy evolving methods,Online Multivariable Identification of a MIMO Distillation Column Using Evolving Takagi-Sugeno Fuzzy Model,Real-time nonlinear modeling of a twin rotor MIMO system using evolving neuro-fuzzy network,MIMO evolving functional fuzzy models for interest rate forecasting,Online estimation of stochastic volatility for asset returns,Evolving Fuzzy Rule-based Classifiers,Autonomous Visual Self-localization in Completely Unknown Environment using Evolving Fuzzy Rule-based Classifier,Evolving fuzzy models for Anti-lock Braking Systems,Simulated annealing approach to fuzzy modeling of servo systems,Online fault identification of the potential information clustering based on resetting variance kalman filtering,Experimental results of evolving Takagi—Sugeno fuzzy models for a nonlinear benchmark,A Simplified Structure Evolving Method for Fuzzy System structure learning,Adaptive kernel smoothing regression using vector quantization,Evolving fuzzy linear regression trees with feature selection,Evolving human activity classifier from sensor streams,Evolving fuzzy systems for pricing fixed income options,A self-organising fuzzy neural network with locally recurrent self-adaptive synapses,An enhanced approach for evolving participatory learning fuzzy modeling,Evolving activity recognition from sensor streams,Robust evolving cloud-based controller for a hydraulic plant,Resolving global and local drifts in data stream regression using evolving rule-based models,A Meta-cognitive Interval Type-2 fuzzy inference system classifier and its projection based learning algorithm,Ensemble method based on individual evolving classifiers,Evolving systems for computer user behavior classification,Online identification of complex multi-input-multi-output system based on generic evolving neuro-fuzzy inference system,A self tuning regulator for nonlinear time varying control systems based on evolving linear models,Evolving Takagi-Sugeno model based on online Gustafson-Kessel algorithm and kernel recursive least square method,Context-sensitive modeling of input source configuration for evolving intelligent systems,Towards evolving fuzzy reference controller,Man-machine cooperation for the on-line training of an evolving classifier
Applying the design structure matrix to system decomposition and integration problems: a review and new directions,"T. R. Browning, ",2001,505,Metrics for verification and validation of architecture in powertrain software development,Revisiting the Divide and Conquer Strategy to Deal with Complexity in Product Design,Extent and characteristics of dependencies between vehicle functions in automotive software systems,Target compliant configuration of conceptual structural features of modular product platforms,Methodology for the identification of solution patterns within mechatronic systems,End-to-end features as meta-entities for enabling coordination in geographically distributed software development,It is All about the Interface: Factors Which Drive Process Interface Criticality in Organzations,Using Laplacian Spectra to Analyze Project Based Services,Architecture Design and Assessment with Design Matrix,Strategies for Integrating Models of Interdependent Subsystems of Complex System-Of-Systems Products,A functional modularization approach for architecting defense open systems: In support of strategic open architecture reuse,Modeling and analysis of health-information system of systems for managing transitional complexity using engineering systems multiple-domain matrix,Requirements engineering for systems of systems,Using Design Structure Matrix for improving Electronic Medical Record usability,A practical framework for the generation and selection of strategic plans of action: The relevance of timeframe considerations and a systems thinking approach,Coupling Structural Complexity Management and System Dynamics to represent the dynamic behavior of product development processes,Towards the development of a complex structural inspection system using small-scale aerial vehicles and image processing,Structure-based analysis of dynamic engineering process behavior,Identifying the adequate level of abstraction within structural modeling,Assessing the informative value of complexity metrics within Design Structure Matrices in early development phases of complex systems,Method for the supplier selection in supply chain networks,Automatic generation of simulation workflows for system verification using XDSM representation,Modeling impacts of process architecture on cost and schedule risk in product development,Optimal modes and levels of integration and the identification of cross-functional coordination deficiencies in concurrent engineering,A simulation-based process model for managing complex design projects,A simulation-based optimization framework for product development cycle time reduction,Information Leaders in Product Development Organizational Networks: Social Network Analysis of the Design Structure Matrix,Toward a Product System Modularity Construct: Literature Review and Reconceptualization,Project Acceleration via Activity Crashing Overlapping and Substitution,From DSM-Based Planning to Design Process Simulation: A Review of Process Scheme Logic Verification Issues
Reduced-state sequence estimation with set partitioning and decision feedback,"M. V. Eyuboglu, S. U. H. Qureshi, ",1988,505,Single-channel blind source separation for paired carrier multiple access signals,Trellis precoding: combined coding precoding and shaping for intersymbol interference channels,Maximum likelihood sequence estimation from the lattice viewpoint,Capacity mutual information and coding for finite-state Markov channels,Vector coding for partial response channels,The structure and design of realizable decision feedback equalizers for IIR channels with colored noise,Joint equalization and coding for intersymbol interference channels,A soft output hybrid algorithm for ML/MAP sequence estimation,The Viterbi algorithm and Markov noise memory,Cochannel interference suppression through time/space diversity,A simulation study of adaptive reception schemes for high-density digital magnetic storage,Performance comparison of detection methods in magnetic recording,Improving performance of PRML/EPRML through noise prediction,Noise-predictive maximum likelihood (NPML) detection,Reduced complexity maximum likelihood sequence estimation for multitrack high-density magnetic recording channels,A reduced-state sequence estimation technique and its applications,State reduction in Viterbi detector using preliminary decisions,Decision feedback equalization in channels with signal-dependent media noise,A new adaptive equalizer with channel estimator for mobile radio communication,Adaptive state allocation algorithm in MLSD receiver for multipath fading channels: structure and strategy,New approaches to adjacent channel interference suppression in FDMA/TDMA mobile radio systems,Reduced-state sequence detection of multilevel partial-response signals,Data-aided synchronization of coherent CPM-receivers,Block decision feedback equalization,Decision feedback sequence estimation for continuous phase modulation on a linear multipath channel,Joint signal detection and parameter estimation in multiuser communications,Delayed decision-feedback sequence estimation,Detection of coded modulation signals on linear severely distorted channels using decision-feedback noise prediction with interleaving,,Decoding of trellis-encoded signals in the presence of intersymbol interference and noise
Reversible watermark using the difference expansion of a generalized integer transform,"A. M. Alattar, ",2004,505,Fragile and blind watermarking technique based on Weber's law for medical image authentication,Histogram-bin-shifting-based reversible watermarking for colour images,Reversible data hiding based on two-dimensional prediction errors,Semantic image compression based on data hiding,Reversible data hiding scheme based on significant-bit-difference expansion,An improved Quad and RDE-based medical data hiding method,Reversible SMVQ Image Hiding Using Adaptive Search Order Coding,Reversible image watermarking using modified difference expansion,Developing a pixel value ordering based reversible data hiding scheme,Robust lossless watermarking based on circular interpretation of bijective transformations for the protection of medical databases,Reversible Data Hiding Based on Histogram Shifting of Prediction Errors,Reversible visible watermarking for H.264/AVC encoded video,Reversible data hiding without side information,Efficient joint encryption and data hiding algorithm for medical images security,A High Quality Reversible Data Hiding Method Using Interpolation Technique,Detecting tampered cheque images in cheque truncation system using difference expansion based watermarking,Reversible data hiding in encrypted images by active block exchange and room reservation,Imperceptible digital watermarking in medical retinal images for tele-medicine applications,Multilevel RDH scheme using image interpolation,Reversible data hiding in encrypted images using interpolation-based distributed space reservation,Hiding secret data by using modulo function in quad difference expansion,A simplified parabolic interpolation based reversible data hiding scheme,Reversible image watermarking by rhombus prediction and histogram modification,Reversible image watermarking based on a generalized integer transform,Efficient reversible data hiding based on two-dimensional pixel-intensity-histogram modification,Recursive dither modulation based reversible watermarking scheme for medical images,Lossless fragile pinpoint authentication scheme for medical images,Lossless Data Hiding Scheme Based on Adjacent Pixel Difference,Reversible data hiding with image bit-plane slicing,A reversible data hiding scheme based on maximum histogram gap of image blocks
Antenna selection in MIMO systems,"S. Sanayei, A. Nosratinia, ",2004,504,Outage probability analysis of spatial modulation systems with antenna selection,Achieving negative security gaps with transmit antenna selection and frame scrambling in quasi-static fading channels,Performance analysis of orthogonal space–time block coding with antenna selection,Performance analyses of decode-and-forward multi-hop relay network scenarios with multiple antenna techniques over Nakagami-m fading channels,Performance analysis of differential chaos shift keying modulation with transmit antenna selection,Rate-varying space-time coding scheme for multiple-input multiple-output fading channel with zero-forcing receiver,Interpolation based pilot-aided channel estimation for STBC spatial modulation and performance analysis under imperfect CSI,Analysis of low complexity uplink/downlink full-duplex wireless access with spatially random nodes,Performance of decremental antenna selection algorithms for spatial multiplexing MIMO systems with linear receiver over correlated fading channels,Dual-antenna selection with distributed space–time block codes in two-way relaying networks,Hybrid MIMO Architectures for Millimeter Wave Communications: Phase Shifters or Switches?,Measurement-Based Massive MIMO Channel Modeling for Outdoor LoS and NLoS Environments,Hybrid Precoding-Beamforming Design With Hadamard RF Codebook for mmWave Large-Scale MIMO Systems,Joint Beamforming and Power Optimization With Iterative User Clustering for MISO-NOMA Systems,On Simultaneous Wireless Information and Power Transfer for Receive Spatial Modulation,Transmit Antenna Subset Selection in Spatial Modulation Relying on a Realistic Error-Infested Feedback Channel,Entropy Coding Aided Adaptive Subcarrier-Index Modulated OFDM,Capacity maximizing algorithms for joint transmit-receive antenna selection,Optimized data symbol allocation in multicell MIMO channels,Near-optimal and optimal reduced complexity algorithms for throughput maximization in underlay CR MIMO systems,Effects of hand on the performance of 5 GHz two-port terminal antennas,Space-Time Code Selection Using Channel Prediction,A transmit antenna selection diversity scheme based on ACK/NACK feedback,Analysis of joint transmit and receive antenna selection in arbitrary Nakagami-m fading channels,Comparison of diversity combining techniques for MIMO systems,A novel antenna beam switching technique on mobile devices for MIMO applications,Performance analysis for indoor wireless systems employing directional antennas in the presence of external interference,Performance of RFID tags with multiple RF ports,Antenna selection criterion suitable for indoor LOS scenarios for two-stream MIMO systems,Performance examinations of Multi-User MIMO systems with a compact antenna cube
A new mathematical model and control of a three-phase AC-DC voltage source converter,"V. Blasko, V. Kaura, ",1997,504,Recent advances in power electronics technology for industrial and traction machine drives,Experimental evaluation of STATCOM closed loop dynamics,Discrete time modeling and control of the voltage source converter for improved disturbance rejection,Offset-free feedback linearisation control of a three-phase grid-connected photovoltaic system,Dead-beat predictive direct power control of voltage source inverters with optimised switching patterns,Bandwidth oriented proportional-integral controller design for back-to-back power converters in DFIG wind turbine system,Phasor model of full scale converter wind turbine for small-signal stability analysis,Impedance-compensated grid synchronisation for extending the stability range of weak grids with voltage source converters,Design and implementation of hardware-in-the-loop simulation system for testing control and operation of DC microgrid with multiple distributed generation units,Multiple switching tables direct power control of active front-end rectifiers,A three-phase four-wire static synchronous compensator with reduced number of switches for unbalanced loads,Deadbeat direct power control of three-phase pulse-width modulation rectifiers,Control and dynamic analysis of a parallel-connected single active bridge DC–DC converter for DC-grid wind farm application,Backstepping direct power control without phase-locked loop of AC/DC converter under both balanced and unbalanced grid conditions,DC-link current estimation for load-side converter of brushless doubly-fed generator in the current feed-forward control,Stability analysis of AC-DC unity power factor PWM boost rectifier with hysteresis current controller,Simplified control circuit of three phase PWM rectifier,A robust digital current control method for active power filters,Three-phase AC/DC regulated power supplies: a comparative evaluation of different topologies,Experimental verification of the active front-end converters dynamic model and control designs,New Parameter-Insensitive Observer-based Control Methods for Combined Source Voltage Harmonics and Unbalance Disturbances in PWM Voltage-Source Converters,Analysis and Specification of Switching Frequency in Parallel Active Power Filter Regarding Compensation Characteristics of Generators,The optimal control strategy for rectifier side of low switching frequency back-to-back converter,An analysis on the influence of interface inductor to STATCOM system with Phase and Amplitude Control and corresponding design considerations,Vector oriented control of voltage source PWM inverter as a dynamic VAR compensator for wind energy conversion system connected to utility grid,Torque impulse for experimental modal analysis in transmitted vibration study of engine-generators,Average modeling and control for three-phase three-level non-regenerate rectifier with unbalanced DC loads,Minimum-sensing current control of three-phase PFC converters,Synchronization of three-phase converters and virtual microgrid implementation utilizing the Power-Hardware-in-the-Loop concept,Synthesis of variable harmonic impedance in inverter-interfaced distributed generation unit for harmonic damping throughout a distribution network
The Skyline operator,"S. Borzsony, D. Kossmann, K. Stocker, ",2001,504,PrefDB: Supporting Preferences as First-Class Citizens in Relational Databases,LARS*: An Efficient and Scalable Location-Aware Recommender System,Complex SQL Predicates as Quantifiers,QueRIE: Collaborative Database Exploration,Backward Path Growth for Efficient Mobile Sequential Recommendation,Caching Support for Skyline Query Processing with Partially Ordered Domains,Probabilistic Convex Hull Queries over Uncertain Data,Keyword Search Over Probabilistic RDF Graphs,Discovery of Path Nearby Clusters in Spatial Networks,Maximizing a Record’s Standing in a Relation,Top-k Dominating Queries on Incomplete Data,Online Subgraph Skyline Analysis over Knowledge Graphs,Discovering the $k$  Representative Skyline Over a Sliding Window,Efficient Processing of Skyline Queries Using MapReduce,An Efficient Indexing Method for Skyline Computations with Partially Ordered Domains,Efficient Top-k Dominating Computation on Massive Data,Mining Competitors from Large Unstructured Datasets,Efficient Computation of G-Skyline Groups,What Do You Prefer? Using Preferences to Enhance Learning Technology,Multicriteria Similarity-Based Anomaly Detection Using Pareto Depth Analysis,A General Framework for Efficient Continuous Multidimensional Top-k Query Processing in Sensor Networks,Efficient Parallel Skyline Evaluation Using MapReduce,Parallel Continuous Preference Queries over Out-of-Order and Bursty Data Streams,Service Mining on the Web,Ranking and Clustering Web Services Using Multicriteria Dominance Relationships,Computing Service Skyline from Uncertain QoWS,Predicting Quality of Service for Selection by Neighborhood-Based Collaborative Filtering,SkyLens: Visual Analysis of Skyline on Multi-Dimensional Data,MA-SSR: A Memetic Algorithm for Skyline Scenic Routes Planning Leveraging Heterogeneous User-Generated Digital Footprints,Enhancing GPS With Lane-Level Navigation to Facilitate Highway Driving
Differential Evolution Using a Neighborhood-Based Mutation Operator,"Swagatam Das, Ajith Abraham, Uday K. Chakraborty, Amit Konar, ",2009,503,High-performance Brillouin distributed temperature sensor using Fourier wavelet regularised deconvolution algorithm,Improved Differential Evolution With a Modified Orthogonal Learning Strategy,An iteration method of sidelobe suppressing of unequally spaced array,Performance evaluation of opposition based Differential Evolution on non-convex economic dispatch,A smoothing evolutionary algorithm based on square search and filled function for global optimization,MRLDE for solving engineering optimization problems,Real life optimization problems solving by IUDE,Large scale global optimization using self-adaptive differential evolution algorithm,A modified Invasive Weed Optimization algorithm for time-modulated linear antenna array synthesis,Differential evolution with ensemble of constraint handling techniques for solving CEC 2010 benchmark problems,Sequential DE enhanced by neighborhood search for Large Scale Global Optimization,User's favorite scent design using paired comparison-based Interactive Differential Evolution,Differential Evolution enhanced by neighborhood search,A preliminary study on the use of differential evolution for adjusting the position of examples in nearest neighbor classification,A normative differential evolution approach for estimation of heat transfer coefficient during freezing treatment by inverse analysis,Benchmarking a hybrid DE-RHC algorithm on real world problems,Ensemble strategies in Compact Differential Evolution,Clustering in mobile ad hoc networks with differential evolution,Adaptive Differential Evolution with variable population size for solving high-dimensional problems,Self-adaptive differential evolution algorithm with a small and varying population size,Enhanced mutation strategy for differential evolution,Tree model reconstruction innovization using multi-objective differential evolution,Selection strategies and random perturbations in differential evolution,Global optimization algorithm based on self-organizing centroids,Elite Multi-Group Differential Evolution,Differential Evolution with Concurrent Fitness Based Local Search,Structured Population Size Reduction Differential Evolution with Multiple Mutation Strategies on CEC 2013 real parameter optimization,Self-adaptive mutation strategy for evolutionary programming based on fitness tracking scheme,DEMO-TDQL: An adaptive multi-objective optimization algorithm,Multiagent Coordination Optimization: A control-theoretic perspective of swarm intelligence algorithms
VSNR: A Wavelet-Based Visual Signal-to-Noise Ratio for Natural Images,"Damon M. Chandler, Sheila S. Hemami, ",2007,502,Content-based image quality assessment using semantic information and luminance differences,Efficient image sharpening and denoising using adaptive guided image filtering,Quality index evaluation of videos based on fuzzy interface system,Structured entropy of primitive: big data-based stereoscopic image quality assessment,Quality assessment of a stereo pair formed from decoded and synthesized views using objective metrics,Objective quality measures comparison of impaired 3D video sequences from the UC3D database,Mean Deviation Similarity Index: Efficient and Reliable Full-Reference Image Quality Evaluator,Performance Evaluation of Visual Tracking Algorithms on Video Sequences With Quality Degradation,Audio-Visual Multimedia Quality Assessment: A Comprehensive Survey,On the use of image quality estimators for improved JPEG2000 coding,Perceptual evaluation of image denoising algorithms,A Reduced Reference Image Quality assessment for Multiply Distorted Images,Toward a universal learning-based image quality metric with reference for stereoscopic images,Analysis of TID2008 and LIVE databases,Optimized three scores combination for image quality assessment,Translation insensitive assessment of image quality based on measuring the homogeneIty of correspondence,Reduced reference image quality assessment using Principal Component Analysis,Evaluation of video quality metrics on transmission distortions in H.264 coded video,Which metric can predict coding gain of H.265/HEVC over H.264/AVC?,Subjective and objective quality assessment for color changed images,Application of full-reference video quality metrics in IPTV,A rank-order comparison of image quality metrics,Perceptual quality driven cross-layer optimization for wireless video streaming,Influence of HEVC compression on event detection in security video sequences,Image restoration using filters and image quality assessment using reduced reference metrics,No-reference image sharpness Algorithm based on gradient shape,Self-information weighting for image quality assessment,A multifunctional video quality assessment system,On the assessment of the quality of textures in visual media,A Novel Image Quality Assessment Method Based on Vision Attention
Interacting multiple model methods in target tracking: a survey,"E. Mazor, A. Averbuch, Y. Bar-Shalom, J. Dayan, ",1998,502,LMMSE estimation of Markovian jump linear systems with random parameters and estimate feedback,Optimal multi-model detection with application to Gaussian problems,Partially Linear Estimation With Application to Sparse Signal Recovery From Measurement Pairs,Modeling and State Estimation for Dynamic Systems With Linear Equality Constraints,Concurrent Particle Filtering and Data Association Using Game Theory for Tracking Multiple Maneuvering Targets,Electrocardiogram Signal Modeling With Adaptive Parameter Estimation Using Sequential Bayesian Methods,A Class of Fast Exact Bayesian Filters in Dynamical Models With Jumps,Recursive Maximum Likelihood Identification of Jump Markov Nonlinear Systems,Improper Complex-Valued Multiple-Model Adaptive Estimation,Group Sparsity Based Multi-Target Tracking in Passive Multi-Static Radar Systems Using Doppler-Only Measurements,Smart Automotive Airbags: Occupant Classification and Tracking,Mobile Location Estimator in a Rough Wireless Environment Using Extended Kalman-Based IMM and Data Fusion,An IMM/EKF Approach for Enhanced Multitarget State Estimation for Application to Integrated Risk Management System,Adaptive Two-Loop Power Tracking Control in CDMA Systems with the Utility Optimization,Confidence Field-Based Temporal Alignment and Positioning for Vehicles Using Multiple Sensors,Interacting multiple model gaussian particle filter,Interacting multiple sensor unscented Kalman filter,Kalman filtering with multiplicative and additive noises,Multi-Sensor IMM Estimator for Uncertain Measurement,Robust urban mobile localization using data fusion and intelligent estimation,PCRLB-Based Optimal Sensor Selection for Maneuvering Target Tracking,Turn rate estimation based on curve fitting in maneuvering target tracking,General model-set design methods for multiple-model approach,Gating techniques for maneuvering target tracking in clutter,Recursive state estimation for multiple switching models with unknown transition probabilities,Explicit formulas for two state Kalman H/sub 2/ and H/sub /spl infin// target tracking filters,PDAF with multiple clutter regions and target models,Tracking evasive move-stop-move targets with a GMTI radar using a VS-IMM estimator,Kalman filter versus IMM estimator: when do we need the latter?,Maneuver detection using the radar range rate measurement
Distributed cochannel interference control in cellular radio systems,"J. Zander, ",1992,500,Combined power control and link selection in deviceto-device enabled cellular systems,Femtocell base station clustering and logistic smooth transition autoregressive-based predicted signal-to-interference-plus-noise ratio for performance improvement of two-tier macro/femtocell networks,Centralized power control in cellular radio systems,Cellular CDMA networks impaired by Rayleigh fading: system performance with power control,,Performance bounds for power control supported DCA-algorithms in highway micro cellular radio systems,Distributed autonomous wireless channel assignment algorithm with power control,Integrated power control and base station assignment,Distributed power balancing in cellular systems using limited control-data flow,Efficient distributed power control for cellular mobile systems,Resource allocation for cellular radio systems,Improving the capacity in wireless networks through integrated channel base station and power assignment,A parametric power control with fast convergence in cellular radio systems,A distributed fixed-step power control algorithm with quantization and active link quality protection,The convergence of an asynchronous cooperative algorithm for distributed power control in cellular systems,Performance of optimum transmitter power control in CDMA cellular mobile systems,A simple algorithm for adjusting cell-site transmitter power in CDMA cellular systems,Error-rate-based power-controlled multimode H.263-assisted video telephony,Transitions from DCA to FCA behavior in a self-organizing cellular radio network,A strength-and-SIR-combined adaptive power control for CDMA mobile radio channels,Efficient interactive call admission control in power-controlled mobile systems,Optimum transmitter power control in cellular systems with heterogeneous SIR thresholds,A quality-based fixed-step power control algorithm with adaptive target threshold,On the optimization of fully distributed power control techniques in cellular radio systems,Partial compensation signal-level-based up-link power control to extend terminal battery duration,A generalized algorithm for constrained power control with capability of temporary removal,Impact of fast fading compensations on mobile radio system performance,Capacity and power control in spread spectrum macrodiversity radio networks,Power control in cellular networks subject to measurement error,Stochastic power control for cellular radio systems
Localizing Region-Based Active Contours,"Shawn Lankton, Allen Tannenbaum, ",2008,499,Active contours driven by novel fitting term for image segmentation,Locally adaptive combining colour and depth for human body contour tracking using level set method,Computer-aided mammogram diagnosis system using deep learning convolutional fully complex-valued relaxation neural network classifier,Foreground extraction for freely moving RGBD cameras,Saliency-based localising active contour for automatic natural object segmentation,Active contours with a joint and region-scalable distribution metric for interactive natural image segmentation,Fast localised active contour for inhomogeneous image segmentation,Adaptive localised region and edge-based active contour model using shape constraint and sub-global information for uterine fibroid segmentation in ultrasound-guided HIFU therapy,Convex-relaxed active contour model based on localised kernel mapping,Adaptive Region Based Active Contour Model for Image Segmentation,Lung nodule detection by KNN classifier and active contour modelling and 3D visualization,Improved active contour based object segmentation using color informations,Statistical glottal segmentation of videoendoscopic images using geodesic active contours,Vision based automatic inspection of insects in pheromone traps,Application of active contours method in assessment of optimal approach trajectory to brain tumor,Automated coronary artery analysis system in 3D CTA images,A video capture and processing system for laryngoscope diagnosis,Liver hydatid CT image segmentation based on localizing region active contours and modified parametric active contours,Direct 3D segmentation of carotid plaques from 3D ultrasound images,Improved lip contour extraction using K-means clustering and ellipse fitting,Dynamic Estimation of Curve Evolution in Image Segmentation with CRFs Label Inferring,Segmentation of breast cancer lesion in digitized mammogram images,Segmentation of Left Ventricle of 2D Echocardiographic Image Using Active Contouring,Boosting performance of the edge-based active contour model applied to phytoplankton images,Active Contours with Adaptively Normal Biased Gradient Vector Flow External Force,Improved C-V segmentation model based on local information for pavement distress images,An improved local distribution fitting model,Active contours driven by local probability distributions,Active contours with extended neighborhood generalized gradient vector flow external force,Multimodal interaction for service robot control
An Efficient Algorithm for Spectral Analysis of Heart Rate Variability,"Ronald D. Berger, Solange Akselrod, David Gordon, Richard J. Cohen, ",1986,499,A time domain approach for the fluctuation analysis of heart rate related to instantaneous lung volume,Assessment of autonomic response by broad-band respiration,A dual-input nonlinear system analysis of autonomic modulation of heart rate,Selective discrete Fourier transform algorithm for time-frequency analysis: method and application on simulated and cardiovascular signals,Linear and nonlinear ARMA model parameter estimation using an artificial neural network,Spectral distortion properties of the integral pulse frequency modulation model,Elimination of interference component in Wigner-Ville distribution for the signal with 1/f spectral characteristic,Real-time heart rate variability extraction using the Kaiser window,Estimation of nonlinear couplings on the basis of complexity and predictability-a new method applied to cardiorespiratory coordination,Adaptive AR modeling of nonstationary time series by means of Kalman filtering,Power spectral density of unevenly sampled data by least-square analysis: performance and application to heart rate signals,Improved heart rate variability signal analysis from the beat occurrence times according to the IPFM model,Threshold modeling of autonomic control of heart rate variability,Distortion properties of the interval spectrum of IPFM generated heartbeats for heart rate variability analysis,Linear and nonlinear system identification of autonomic heart-rate modulation,Time-frequency analysis of heart-rate variability,Comparing spectral and invasive estimates of baroreflex gain,Assessment of Computer-Supported Collaborative Processes Using Interpersonal Physiological and Eye-Movement Coupling,Continuous representation of unevenly sampled signals - An application to the analysis of heart rate variability,Sleep-wake stages classification based on heart rate variability,Parasympathetic autonomic function monitoring,Processing of ECG and Breathing Signals to Study the Correlation of Respiration Waveform Time Intervals with HF and LF Powers of Heart Rate Variability,RESPIRE: A Spectral Kurtosis-Based Method to Extract Respiration Rate from Wearable PPG Signals,Use of a phase-locked loop to correct heart rate variability artifacts in data from human cardiac transplant recipients,Estimation of heart rate power spectrum bands from real-world data: dealing with ectopic beats and noisy data,Closed-loop identification of cardiovascular regulatory mechanisms,Transfer function analysis of cardiovascular regulation in an open-loop animal model,A comprehensive PC solution to heart rate variability analysis in mental stress,Interpolation over ectopic beats increases low frequency power in heart rate variability spectra,Adaptive power spectrum estimation algorithm for heart rate variability analysis
Advances in picture coding,"H. G. Musmann, P. Pirsch, H. -J. Grallert, ",1985,499,Motion estimation for video compression using Kalman filtering,Predictive block-matching motion estimation for TV coding. II. Inter-frame prediction,Adaptive entropy constrained transform coding of magnetic resonance image sequences,Image sequence coding by split and merge,A new segmentation algorithm for videophone applications based on stereo image pairs,LINC: a common theory of transform and subband coding,Adaptive DCT coding of video signals,Adaptive vector quantization for picture coding using neural networks,A transformed block-based motion compensation technique,Adaptive image matching via spatial varying gray-level correction,DCT/DST alternate-transform image coding,Motion compensated image interpolation,Compact coder for component color television,Tree-structured scene adaptive coder,Efficiency analysis and application of uncovered background prediction in a low bit rate image coder,The LOT: transform coding without blocking effects,Image coding-from waveforms in animation,A chip set core for image compression,A motion-adaptive de-interlacing method,Lowpass temporal filter using motion adaptive spatial filtering and its systolic realization,Picture processing RAMs (PPRAMs) for motion estimation,A novel video coding scheme based on temporal prediction using digital image warping,Motion estimation architecture for video compression,High speed video compression testbed,Pyramidal multiresolution source coding for progressive sequences,A low-cost desktop videoconferencing codec: an adaptive Motion-JPEG design,A VLSI architecture for hierarchical motion estimation,IC for motion-compensated 100 Hz TV with natural-motion movie-mode,An efficient block-matching criterion for motion estimation and its VLSI implementation,Error concealment based on directional interpolation
