Particle swarm optimization,"J. Kennedy, R. Eberhart, ",1995,14195,Ultra wideband antenna design using discrete Green's functions in conjunction with binary particle swarm optimisation,Multi-static radar power allocation for multi-stage stochastic task of missile interception,Control of IPM Synchronous Generator for Maximum Wind Power Generation Considering Magnetic Saturation,Real Time Implementation of an Artificial Immune System Based Controller for a DSTATCOM in an Electric Ship Power System,Hardware Implementation of an AIS-Based Optimal Excitation Controller for an Electric Ship,Particle swarm optimization - mass-spring system analogon,Use of intelligent-particle swarm optimization in electromagnetics,A novel ecological-biological-behavior praticle swarm optimization for Ackley's function,Improved Particle Swarm Optimization approach of PID controller design for machine tool positioning,A proposal for improved Particle Swarm Optimization,A novel building cooling load prediction based on SVR and SAPSO,Real-Time Face Reconstruction from a Single Depth Image,Learning to Navigate the Energy Landscape,Convergence of Vectors in Paired Comparison-based Interactive Differential Evolution for Creating Scent,Generation of Appropriate User Chord Development Based on Interactive Genetic Algorithm,Parallel Swarm Intelligence for VANETs Optimization,Improving Particle Swarm Optimization Algorithm for Distributed Sensing and Search,The particle swarm - explosion stability and convergence in a multidimensional complex space,A particle swarm optimization for reactive power and voltage control considering voltage security assessment,A modified DE: Population or generation based levy flight differential evolution (PGLFDE),Development of a Grey Wolf Optimizer Toolkit in LabVIEW<sup>™</sup>,Optimization of PID controller with first order noise filter,Training feedforward neural networks using hybrid flower pollination-gravitational search algorithm,Test case selection and prioritization using cuckoos search algorithm,Modeling identification of power plant thermal process based on PSO algorithm,Hammerstein and Wiener nonlinear models identification using a multimodal particle swarm optimizer,A particle swarm optimization approach for automatic diagnosis of PMSM stator fault,Modified particle swarm optimization algorithm for steelmaking charge plan with unknown charge number,A novel training algorithm in ANFIS structure,Adaptive Particle Swarm Optimization Algorithm for Power System Reactive Power Optimization
A Bayesian hierarchical model for learning natural scene categories,"L. Fei-Fei, P. Perona, ",2005,873,Illumination-Invariant Background Subtraction: Comparative Review Models and Prospects,Aggregating Deep Convolutional Feature Maps for Insulator Detection in Infrared Images,A Semi-Supervised Image Classification Model Based on Improved Ensemble Projection Algorithm,Multicriteria-Based Active Discriminative Dictionary Learning for Scene Recognition,Automatic image cropping using sparse coding,Scene classification using adaptive integration of reconstruction errors,Label-Related/Unrelated Topic Switching Model: A Partially Labeled Topic Model Handling Infinite Label-Unrelated Topics,Bayesian nonparametric inference of latent topic hierarchies for multimodal data,Feature extraction and image retrieval on an automata structure,Acoustic scene classification using self-determination convolutional neural network,Real Time Human Action Recognition in a Long Video Sequence,Issue of resource usage in content-based image retrieval algorithms,Action recognition based on spatio-temporal interest points,Adaptive color discrimination for image classification,Identifying the origin of Iris images based on fusion of local image descriptors and PRNU based techniques,A computer vision approach to mining big solar data,Fast locality-constrained low-rank coding for image classification,Foreground Objects Recognition in Video Based on Bag-of-Words Model,The Generic Object Classification Based on MIML Machine Learning,Active learning using the data distribution for interactive image classification and retrieval,Improving codebook generation for action recognition using a mixture of Asymmetric Gaussians,Multi-scale Spatial Topic Models for scene recognition,A framework for semantic analysis of histopathological images using nonnegative matrix factorization,Automated Place Classification Using Object Detection,Place Classification Using Visual Object Categorization and Global Information,Indoor Scene Recognition with a Visual Attention-Driven Spatial Pooling Strategy,Discriminative Object Class Models of Appearance and Shape by Correlatons,Scene Classification Using Bag-of-Regions Representations,Incremental learning of nonparametric Bayesian mixture models,Fully automatic feature localization for medical images using a global vector concentration approach
MicroGrids,"R. H. Lasseter, ",2002,868,Optimal scheduling of distributed energy storage systems by means of ACO algorithm,State space modeling of three-phase transformers for small-signal analysis of a microgrid,Cost analysis of renewable energy-based microgrids,A linear damping scheme for higher order dc-dc converters supplying constant-power loads in a dc microgrid,Modelling and control of interlinking converters between AC and DC buses in grid-connected microgrids,Sensorless unbalance correction as an ancillary service for LV 4-wire/3-phase power converters,Improved model predictive control for high voltage quality in microgrid applications,Model-predictive-control-based distributed control scheme for bus voltage unbalance and harmonics compensation in microgrids,A modified Q — V droop control for accurate reactive power sharing in distributed generation microgrid,Using consensus control for reactive power sharing of distributed electric springs,Voltage control by using capacitor banks and tap changing transformers in a renewable microgrid,Autonomous control of smart inverters in grid connected and islanded mode,Integration of hybrid renewable energy and its control in grid connected and islanded mode,A decentralized control method for series connected PV battery hybrid microgrid,A review on coordination and control of hybrid AC-DC micorgrid system,Metaheuristic approach to intelligent soultion of microgrid with storage element,Smart micro grid test system for agent based energy management system,A state of art review of microgrid control and integration aspects,Behavior of fault current in microgrid systems,Availability based distributed resource management of microgrid,A non-linear adaptive control strategy for grid connected DC microgrid,Impact of STATCOM on voltage profile in a DG penetrated grid connected system,Power sharing analysis of power-based droop control for DC microgrids considering cable impedances,Methodology for islanding operation of distributed synchronous generators,Mathematical morphology-based islanding detection for distributed generation,Optimal relay coordination and communication based protection for microgrid,Hybrid dual phase shift control of DC micro-grid coupled DAB DC-DC converter for storage application,A Matlab Simulink model for the study of smart grid — Grid-integrated vehicles interactions,A new control strategy of power sharing in islanded microgrids,PV-Battery-Diesel microgrid layout design based on stochastic optimization
Training support vector machines: an application to face detection,"E. Osuna, R. Freund, F. Girosit, ",1997,866,Gabor feature based face recognition using kernel methods,Face detection based on Kernel Fisher Discriminant analysis,Classification-based face detection using Gabor filter features,Real-time face and head detection using four directional features,A fast and robust face detection based on module switching network,Face detection using one-class-based support vectors,A robust elliptical head tracker,Human tracking using multiple-camera-based head appearance modeling,Oriented filters for object recognition: an empirical study,Modeling face appearance with nonlinear independent component analysis,Automatic 3D face reconstruction from single images or video,Training high dimension ternary features with GA in boosting cascade detector for object detection,Multi-speaker voice cryptographic key generation,Sonar image segmentation based on statistical modeling of wavelet subbands,A Face Recognition System Using Support Vector Machines and Elastic Graph Matching,Automatic target detection using multispectral imaging,An improved SNoW based classification technique for head-pose estimation and face detection,A system for change detection and human recognition in voxel space using the Microsoft Kinect sensor,Face Detecting Using Artificial Neural Network Approach,Human tracking method based on improved HOG+Real AdaBoost,Improving the performance of a keyword spotting system by using support vector machines,Hypovigilance detection by calculating and analyzing a spatio-temporal features of the face components based on 3D head orientation,Automatic face region tracking for highly accurate face recognition in unconstrained environments,Boosting object detection using feature selection,A hybrid technique for face detection in color images,Face detection in color images,Learning gender with support faces,A Ball Vector Machine based on improved enclosing ball iterative solution strategies,Fault classification using SVM,Quantitative estimation of the strength of agreements in goal-oriented meetings
Synchronizing chaotic circuits,"T. L. Carroll, L. M. Pecora, ",1991,858,A synchronization scheme using self-pulsating laser diodes in optical chaotic communication,Synchronization of chaos in phase-locked loops,Synthesis of fuzzy model-based designs to synchronization and secure communications for chaotic systems,Optical chaotic AM demodulation by asymptotic synchronization,Three steps to chaos. II. A Chua's circuit primer,Taming chaos. I. Synchronization,Experimental hyperchaos in coupled Chua's circuits,Communicating with use of filtered synchronized chaotic signals,A linear inverse system approach in the context of chaotic communications,A new approach to communications using chaotic signals,Digital communication method based on M-synchronized chaotic systems,Digital coding via chaotic systems,Phase synchronization in driven and coupled chaotic oscillators,An observer looks at synchronization,Identifiability and identification of chaotic systems based on adaptive synchronization,Self-regularization of chaos in neural systems: experimental and theoretical results,Nonlinear observer design to synchronize hyperchaotic systems via a scalar signal,Applications of symbolic dynamics in chaos synchronization,Dependent switched capacitor chaos generator and its synchronization,PDMA-1: chaotic communication via the extended Kalman filter,On adaptive chaotic encoding,An observer-based approach for chaotic synchronization with applications to secure communications,Information transmission using chaotic discrete-time filter,Chaotic synchronization in small assemblies of driven Chua's circuits,Finite-time global chaos synchronization for piecewise linear maps,Experimental realization of observer-based hyperchaos synchronization,Global chaos synchronization and robust filtering in noisy context,Theory and experimental realization of observer-based discrete-time hyperchaos synchronization,CMOS design of chaotic oscillators using state variables: a monolithic Chua's circuit,Synchronization of Lorenz-based chaotic circuits with applications to communications
Microwave Photonics,"Jianping Yao, ",2009,856,Integrated optical reflective amplified modulator for indoor millimetre wave radio-over-fibre applications,Influence of optical amplifier on inter-satellite microwave photonics links employing a low-biased Mach-Zehnder modulator,Performance comparison of analogue inter-satellite microwave photonics link using intensity modulation with direct detection and phase modulation with interferometric detection,Reconfigurable multi-band radio-frequency transceiver based on photonics technology for future optical wireless communications,Photonic-assisted microwave amplification using four-wave mixing,Microwave Photonic Downconversion With Improved Conversion Efficiency and SFDR,All optical microwave photonic filter with bandpass and notch filtering shapes,Widely tunable microwave photonic filter based on semiconductor optical amplifier,Photonics for electronic inteference suppression,Advances in optoelectronic approaches for wideband and programmable processing of ultrafast signals,Beat note stabilization of a 10–60 GHz dual polarization Nd:YAG microchip laser through optical down conversion,Microwave photonic frequency up-convertor with frequency doubling and compensation of chromatic-dispersion-induced power fading,Low-biased analog photonic link capable of multi-octave span RF signal delivery,Microwave-band optoelectronic frequency converters based on long wavelength VCSELs,The group delay ripple effects on the performance of phase-modulator based microwave-photonic filter,Intermodulation distortion analysis of an analog photonic link employing parametric phase sensitive amplification,Proposal for distribution of a low-phase-noise oscillator signal in forthcoming fifth-generation mobile network by radio-over-fibre technology,Microwave-Band Circuit-Level Semiconductor Laser Modeling,Transmission performance of 60 GHz signals generated by OSSB upconversion,A Finite Element eigenanalysis of electrically large THz and photonic structures,COEO phase locking and performance optimisation,Optoelectronic comb oscillators with FBG based frequency control,Silicon photonic subwavelength grating based integrated optical delay lines,Photonic microwave filter employing an opto-VLSI-based adaptive optical combiner,A bidirectional radio-over-fiber system based on cross-polarization modulation effect in a semiconductor optical amplifier,Polarization-modulated microwave photonic signal processing,Photonic microwave generation utilizing dynamics of laser diodes,Photonic RF channelization based on series-coupled asymmetric double-ring resonator filter,Performance evaluation of real-time 10GbE data connectivity over a converged IF-over-Fiber links and millimeter-wave wireless bridge,Coherent phase modulated fiberoptic link
Neural-network-based fuzzy logic control and decision system,"C. -T. Lin, C. S. G. Lee, ",1991,851,Three machine learning techniques for automatic determination of rules to control locomotion,Derived fuzzy knowledge model for estimating the depth of anesthesia,Fuzzy rules extraction directly from numerical data for function approximation,A neural-network-based fuzzy classifier,Fuzzy B-spline membership function (BMF) and its applications in fuzzy-neural control,A handwritten numeral character classification using tolerant rough set,On the optimization aspects of parameterized neurocontrol (PNC) design,Dynamically focused fuzzy learning control,Simplification of fuzzy-neural systems using similarity analysis,Fuzzy inference neural network for fuzzy model tuning,A neural fuzzy system with fuzzy supervised learning,An adaptive neural fuzzy filter and its applications,On-line tuning of fuzzy-neural network for adaptive control of nonlinear dynamical systems,Decentralized adaptive fuzzy control of robot manipulators,A parallel fuzzy inference model with distributed prediction scheme for reinforcement learning,Fuzzy classifications using fuzzy inference networks,An adaptive fuzzy neural network for MIMO system model approximation in high-dimensional spaces,A new method for constructing membership functions and fuzzy rules from training examples,Observer-based adaptive fuzzy-neural control for unknown nonlinear dynamical systems,Fuzzy function approximators with ellipsoidal regions,On generating FC/sup 3/ fuzzy rule systems from data using evolution strategies,POPFNN-AAR(S): a pseudo outer-product based fuzzy neural network,Membership function modification of fuzzy logic controllers with histogram equalization,Integrated feature analysis and fuzzy rule-based system identification in a neuro-fuzzy paradigm,Tuning certainty factor and local weight of fuzzy production rules by using fuzzy neural network,Autonomous control reconfiguration,Using a neural/fuzzy system to extract heuristic knowledge of incipient faults in induction motors. Part I-Methodology,Using a neural/fuzzy system to extract heuristic knowledge of incipient faults in induction motors: Part II-Application,An accurate and cost-effective fuzzy logic controller with a fast searching of moment equilibrium point,Fuzzy neural networks for identification and control of ultrasonic motor drive with LLCC resonant technique
Error control and concealment for video communication: a review,"Yao Wang, Qin-Fan Zhu, ",1998,850,A multi-path error control mechanism for interactive video in mobile wireless networks,Multipath Local Error Management Technique Over Ad Hoc Networks,A standard-based system for robust video transmission over the Internet,Error concealment methods a comparative study,Efficient Multiple-Link Adaptive Bandwidth Provisioning for End-to-End Quality of Service Guarantee,Joint content authentication and error control for wireless multimedia communications,An efficient error detection technique for MPEG-4 video streams,Analysis of H.264 Bitstream Prioritization for Dual TCP/UDP Streaming of HD video over WLANs,Analysis of channel error upon selectively encrypted H.264 video,Robust Video Transmission Scheme Using Dynamic Rate Selection LDPC and RS codes,A Joint Optimized Transmission Scheme Based on M-QAM and UEP for Wireless Scalable Video,A Fast and Efficient Spatial Error Concealment for Intra-coded Frames,Efficient Directional Interpolation for Block Recovery Using Difference Values of Border Pixels,A distributed surveillance system for detection of abandoned objects in unmanned railway environments,Fault tolerance in computing compressing and transmitting FFT data,Spatial error concealment based on judgement on edge information,Video sequences error concealment based on texture detection,An adaptive Markov random field based error concealment method for video communication in an error prone environment,Error concealment for MPEG-4 video communication in an error prone environment,The use of Hough transforms in spatial error concealment,Motion adaptive error resilient encoding for MPEG-4,Error concealment using data hiding,A collaborative multiple description transform coding and statistical error concealment method for error resilient video streaming over noisy channels,Adaptive multiple description coding for Internet video,An efficient resynchronization technique for perceptual quality enhancement for robust video transmission,Perceptual quality feedback based progressive frame-level refreshing for robust video communication,Error protection of video over wireless local area networks through real-time retry limit adaptation,Distortion optimized multiple channel image transmission under delay constraints,Error concealment for MPEG-2 video decoders with enhanced coding mode estimation,A region and data hiding based error concealment scheme for images
PeerTrust: supporting reputation-based trust for peer-to-peer electronic communities,"Li Xiong, Ling Liu, ",2004,849,Traceable group-oriented signature scheme with multiple signing policies in group-based trust management,Handling Fake Multimedia Contents Threat with Collective Intelligence in P2P File Sharing Environments,Colluder Detection in Commercial P2P CDNs Using Reputation Information,A Hybrid Model for Ranking Cloud Services,A Review of Theoretical and Practical Challenges of Trusted Autonomy in Big Data,Multi-Reciprocity Policies Co-Evolution Based Incentive Evaluating Framework for Mobile P2P Systems,TrustCall: A Trust Computation Model for Web Conversational Services,Centralized Security Labels in Decentralized P2P Networks,PerformTrust: Trust model integrated past and current performance in P2P file sharing systems,A Trust Reputation Architecture for Cloud Computing Environment,Trust based communication in unstructured P2P networks using reputation management and self certification mechanism,On Trustworthy Reputation Evidence Establishment: Rating Analysis and Defense against Dishonesty,Service oriented trustworthiness of acquaintances in peer-to-peer overlay networks,Combined On-line and Off-line Trust Mechanism for Agent Computing,COBS: Realizing Decentralized Infrastructure for Collaborative Browsing and Search,Objective Trustworthiness of Acquaintances in Peer-to-Peer (P2P) Overlay Networks,A Review of Incentive Mechanism in Peer-to-Peer Systems,Context-Sensitive Computation in Trustworthy Computing,An Improved Trust Model Based on Reputation in P2P Networks,A lightweight model of trust propagation in a multi-client network environment: to what extent does experience matter?,Reputation Management Survey,Subgraph Extraction for Trust Inference in Social Networks,Analysis and optimization of routing trust values in a Kademlia-based Distributed Hash Table in a malicious environment,Reputation-Based Trust in federated testbeds utilizing user experience,Research and Design on P2P Based Reliable Reputation Management System,Hierarchical fuzzy trust management for peer-to-peer network,A reputation inference model based on linear hidden markov process,Risk management of digital certificates in ad hoc and P2P networks,Evaluating trust models for improved event learning in VANETs,Detecting malicious peers in a reputation-based peer-to-peer system
A scalable content-addressable network,"Sylvia Ratnasamy, Paul Francis, Mark Handley, Richard Karp, Scott Shenker, ",2001,847
Energy-aware wireless microsensor networks,"V. Raghunathan, C. Schurgers, Sung Park, M. B. Srivastava, ",2002,844,Semantization Improves the Energy Efficiency of Wireless Sensor Networks,An adaptive energy-conservation scheme with implementation based on TelosW platform for wireless sensor networks,Using hardware-based forward error correction to reduce the overall energy consumption of WSNs,Joint rate and voltage adaptation to save energy of software radios in underutilized WLAN,Minimizing transmit power consumption in multi-level WSNs for environmental monitoring,Wireless Energy Harvesting and Communications: Limits and Reliability,Intra-Cluster Topology Creation in Wireless Sensor Networks,Outage probability of multihop wireless CDMA sensor networks with correlated interferers,A new energy-efficient scheduling scheme for multiple target coverage in wireless sensor networks,Energy-aware joint source-channel coding control for quality-optimized wireless multimedia communications,An energy-aware genetic algorithm for managing self-organized wireless sensor networks,Energy-efficient relay selection schemes for Contention-based Geographic Forwarding,BLESS: A divine energy saving protocol for wireless sensor networks,ATP: An Aggregation and Transmission Protocol for Conserving Energy in Periodic Sensor Networks,C A Based Sensor Node Management Scheme: An Energy Efficient Approach,Profile-based energy minimisation strategy for Object Tracking Wireless Sensor Networks,Energy-Efficient State Scheduling for Maximizing Sensor Network Lifetime under Coverage Constraint,Prediction and management in energy harvested wireless sensor nodes,Embedded systems and sensors in wireless networks,Trading sensing coverage for an extended network lifetime,An Application-Layer Restful Sleepy Nodes Implementation for Internet of Things Systems,TinyTorrents - Integrating Peer-to-Peer and Wireless Sensor Networks,Energy conservation in sensor networks through selective node activation,Heterogeneous modulation for trading-off energy balancing with bandwidth efficiency in hierarchical sensor networks,Experimental evaluation of an Adaptive Staggered Sleep Protocol for wireless sensor networks,Topology Control Protocol Based on Cell for Wireless Sensor Network,An Ant Colony System Based Energy Prediction Routing Algorithms for Wireless Sensor Networks,Predicting types of failures in wireless sensor networks using an adaptive neuro-fuzzy inference system,Power-Efficient Clustering in Wireless Sensor Networks under Coverage Constraint,Lifetime and power consumption analysis of sensor networks
Minimum energy mobile wireless networks,"V. Rodoplu, T. H. Meng, ",1999,843,Design of an energy-efficient cross-layer protocol for mobile ad hoc networks,Energy-efficient joint routing and power allocation optimisation in bit error rate constrained multihop wireless networks,Energy-efficient cooperative routing in multi-hop wireless ad hoc networks,A new routing scheme concerning energy conservation in wireless home ad-hoc networks,Intelligent medium access for mobile ad hoc networks with busy tones and power control,Power-aware localized routing in wireless networks,Geographical routing using partial information for wireless ad hoc networks,Sleep scheduling of wireless sensor networks using hard-core point processes,Routing Protocols in Wireless Sensor Networks: A Survey,Computation of core capacity of wireless ad hoc networks,Connectivity of sensor networks with power control,An Energy Aware Routing Protocol for Mobile Ad-Hoc Networks,An adaptive network/routing algorithm for energy efficient cooperative signal processing in sensor networks,Multiobjective energy-aware node selection,Optimized Autonomous Space In-situ Sensor-Web for Volcano Monitoring,Indirect Reinforcement Learning for Autonomous Power Configuration and Control in Wireless Networks,Constructing energy-efficient multicast trees with delay constraints in ad hoc networks,A Distributed and Dynamic Data Gathering Protocol for Sensor Networks,Power and Delay Analysis of The WEAC Protocol Based MANET Under Video Transport,Network coding with periodic recomputation for minimum energy multicasting in mobile ad-hoc networks,TAEE: A NEW Transmit-rate Aware Energy Efficient Routing Algorithm For Multicast/Broadcast In Ad Hoc Network,Design and Analysis of a MST-Based Topology Control Scheme with PSO for Wireless Sensor Networks,Energy saving strategy for video-based Wireless Sensor Networks under field coverage preservation,Dynamic Topology Control Scheme in MANETs for AODV Routing,A Novel Topology Control with Reconfigurable Radio for Sustainable Wireless Ad Hoc Networks,A Topology Control Algorithm for Effective Power Efficiency and Throughput for Wireless Mesh Networks,Mobility controllable relays for conserving power in a network of mobile wireless sensors: Usage and issues,Energy efficiency in future wireless networks: Cognitive radio standardization requirements,New Solutions of VoIP on Multi-hop Wireless Network,Lifetime Analysis of Data Aggregation Tree with Unreliable Sensor Node
Condition monitoring and fault diagnosis of electrical motors-a review,"S. Nandi, H. A. Toliyat, X. Li, ",2005,841,Experimental study of induction motor misalignment and its online detection through data fusion,Change-detection algorithm for short-circuit fault detection in closed-loop AC drives,Broken bar indicators for cage induction motors and their relationship with the number of consecutive broken bars,Non-intrusive induction motor speed detection,Detection of stator incipient faults and identification of faulty phase in three-phase induction motor – simulation and experimental verification,Model-based exact technique to identify type and degree of eccentricity faults in induction motors,Detection of mixed eccentricity fault in doubly-fed induction generator based on reactive power spectrum,Diagnosis of broken rotor bar fault in open- and closed-loop controlled wye-connected induction motors using zero-sequence voltage,Disturbance Free Operation of Permanent Magnet Motor Drives Under Short Circuit Faults Using Center-Split Winding,An Improved Strategy to Detect Stator Inter-Turn Faults in Reluctance Synchronous Machines Using Both Negative Sequence Quantities and Stored Magnetic Energy After Supply Disconnection,Quad Demodulation: A Time Domain Diagnostic Method for Induction Machines,Broken Rotor Bar Detection in Line-Fed Induction Machines Using Complex Wavelet Analysis of Startup Transients,Diagnosis of Inter-Turn Short Circuit for a Polyphase Induction Motor in Closed-Loop Vector-Controlled Drives,Diagnostics of Induction Machines Operated from Inverters and Soft-Starters Using High Frequency Negative Sequence Currents,A New Robust Method To Detect Rotor Faults in Salient-Pole Synchronous Machines Using Structural Asymmetries,Fast Single-Turn Sensitive Stator Inter-Turn Fault Detection of Induction Machines Based on Positive and Negative Sequence Third Harmonic Components of Line Currents,Mechanical and thermal designing aspects for a PM synchronous machine with wound rotor,Fuzzy system based fault detection method using ZCT signals: An FPGA approach,Stator fault detection in induction motor under unbalanced supply voltage,Leakage error compensation in induction motor current measurements for rotor fault diagnosis,Causes and failures classification of industrial electric motor,Fault detection of eccentricity and bearing damage in a PMSM by means of wavelet transforms decomposition of the stator current,Fault Detection in dynamic conditions by means of Discrete Wavelet Decomposition for PMSM running under Bearing Damage,Fault Diagnosis Implementation of Induction Machines based on Advanced Digital Signal Processing Techniques,Stator Short Circuits Detection in PMSM by means of Higher Order Spectral Analysis (HOSA),Fault detection and diagnostics for non-intrusive monitoring using motor harmonics,A robust sensorless fault diagnosis algorithm for low cost motor drives,Reliability assessment of energy conversion components in geographically distributed power grid through a modern communication network,Combinational-logic-based traction inverter fault diagnosis,On-line fault diagnosis of multi-phase drives using self-recurrent wavelet neural networks with adaptive learning rates
Semidefinite Relaxation of Quadratic Optimization Problems,"Zhi-quan Luo, Wing-kin Ma, Anthony Man-cho So, Yinyu Ye, Shuzhong Zhang, ",2010,840,Robust adaptive beamforming using beamspace steering vector estimation,High-rate relay beamforming for simultaneous wireless information and power transfer,Low-complexity precoding for MIMO channels with finite alphabet input,Spatial rotation technique with application to unmanned underwater vehicle (UUV) sonar arrays,How to understand linear minimum mean-square-error transceiver design for multiple-input-multiple-output systems from quadratic matrix programming,Robust joint signal and interference alignment in cognitive radio networks with ellipsoidal channel state information uncertainties,Signal leakage neutralisation in instantaneous non-regenerative relaying networks under channel uncertainty,Signal-to-interference-plus-noise ratio-based multi-relay beamforming for multi-user multiple-input multiple-output cognitive relay networks with interference from primary network,Precoding methods for multi-input multi-ouput interference channels with channel covariance Feedback,Precoding designs for energy efficiency balancing for the cellular two way relay network,Joint admission control and beamforming design for the interference cognitive radio network with partial channel state information case,Eavesdropping mitigation for wireless communications over single-input–single-output channels,Energy-efficient transmission for decode-and-forward dual-hop networks with asymmetric traffic demands,Joint beamforming and power allocation for secure communication in cognitive radio networks,Filter-and-forward transceiver design for cognitive two-way relay networks,Achievable secrecy rate of wiretap channels incorporating multi-input–multi-output amplify and forward relaying,Beamforming strategies for multi-antenna relay-assisted networks,Robust beamforming and power splitting design in MISO SWIPT downlink system,Secure communication design for multi-user peer-to-peer wireless relay networks,Robust rank-two beamforming for multicell multigroup multicast,Robust beamforming based on transmit power analysis for multiuser multiple-input–single-output interference channels with energy harvesting,Robust beamforming design for multiple-input–single-output secrecy multicasting systems with simultaneous wireless information and power transmission,Distributed energy efficiency beamforming design in multiple-input-single-output interference channels,Structured beamforming designs for spectral efficiency and energy efficiency in a three-node amplify-and-forward relay network,Maximising the minimum achievable secrecy rate of two-way relay networks using the null space beamforming method,LR algorithm based on MED for multi-input–multi-output LDs,Multi-beam pattern synthesis algorithm based on kernel principal component analysis and semi-definite relaxation,Energy-efficient precoding design for cloud radio access networks,Queue-aware energy minimisation through sparse beamforming in C-RAN,Waveform design for multiple extended targets in temporally correlated cognitive radar system
Fully convolutional networks for semantic segmentation,"Jonathan Long, Evan Shelhamer, Trevor Darrell, ",2015,835,HS-Nets: Estimating Human Body Shape from Silhouettes with Convolutional Neural Networks,Deeper Depth Prediction with Fully Convolutional Residual Networks,CNN-Based Object Segmentation in Urban LIDAR with Missing Points,Joint Semantic Segmentation and Depth Estimation with Deep Convolutional Networks,V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation,Room Layout Estimation with Object and Material Attributes Information Using a Spherical Camera,3D Human Pose Estimation via Deep Learning from 2D Annotations,Multimodal Gesture Recognition Using 3-D Convolution and Convolutional LSTM,Tree-Wise Discriminative Subtree Selection for Texture Image Labeling,An Improved Faster R-CNN for Same Object Retrieval,Image Segmentation-Based Multi-Focus Image Fusion Through Multi-Scale Convolutional Neural Network,Gaze-Assisted Multi-Stream Deep Neural Network for Action Recognition,Efficient Stereo Matching Leveraging Deep Local and Context Information,An Ensemble Deep Learning Method for Vehicle Type Classification on Visual Traffic Surveillance Sensors,Development of Home Intelligent Fall Detection IoT System Based on Feedback Optical Flow Convolutional Neural Network,Automatic Magnetic Resonance Image Prostate Segmentation Based on Adaptive Feature Learning Probability Boosting Tree Initialization and CNN-ASM Refinement,BundleNet: Learning with Noisy Label via Sample Correlations,Fast Fourier Transform Networks for Object Tracking Based on Correlation Filter,Quality Assessment of Retargeted Images Using Hand-Crafted and Deep-Learned Features,Martian Fetch: Finding and retrieving sample-tubes on the surface of mars,Training and evaluating object detection pipelines with connected components,Size-Invariant Fully Convolutional Neural Network for vessel segmentation of digital retinal images,Raw waveform-based speech enhancement by fully convolutional networks,Non-native speech conversion with consistency-aware recursive network and generative adversarial network,An effective segmentation algorithm of apple watercore disease region using fully convolutional neural networks,Multi-resolution for disparity estimation with convolutional neural networks,Training a convolutional neural network for multi-class object detection using solely virtual world data,Semantic labeling for improved vehicle detection in aerial imagery,A study on detecting drones using deep convolutional neural networks,Convolutional Neural Network for Combined Classification of Fluorescent Biomarkers and Expert Annotations using White Light Images
Distributed Subgradient Methods for Multi-Agent Optimization,"Angelia Nedic, Asuman Ozdaglar, ",2009,714,Brief paper - Asynchronous algorithms for distributed optimisation and application to distributed regression with robustness to outliers,Asynchronous consensus-based time synchronisation in wireless sensor networks using unreliable communication links,Guaranteed cost consensus problems for second-order multi-agent systems,Cooperative optimisation with inseparable cost functions,Distributed optimisation of second-order multi-agent systems by control algorithm using position-only interaction with time-varying delay,Distributed coordination for a class of non-linear multi-agent systems with regulation constraints,Online hierarchical and distributed method for voltage control in distribution smart grids,A distributed simplex algorithm and the multi-agent assignment problem,Distributed averaging with flow constraints,Passivity-based cooperative estimation of 3D target motion for visual sensor networks: Analysis on averaging performance,Decentralized Online Convex Programming with local information,Multi-agent systems reaching optimal consensus with directed communication graphs,The geometry of a probabilistic consensus of opinion algorithm,Zero-gradient-sum algorithms for distributed convex optimization: The continuous-time case,A distributed predictive control approach to building temperature regulation,Mean square stability analysis for uniformly circulant networked consensus with stochastic link failures,Convergence rate for distributed optimization methods: Novel bounds and distributed step size computation,Distributed convergence to Nash equilibria by adversarial networks with undirected topologies,Distributed dual averaging for convex optimization under communication delays,Distributed Least Square with intermittent communications,An analytic framework for decentralized extremum seeking control,Distributed extremum seeking for real-time resource allocation,Joint leader and link weight selection for fast convergence in multi-agent systems,Price-based distributed control for networked plug-in electric vehicles,Proportional integral distributed optimization for dynamic network topologies,Distributed optimization with the consideration of adaptivity and finite-time convergence,A newton based distributed optimization method with local interactions for large-scale networked optimization problems,Periodic and event-triggered communication for distributed continuous-time convex optimization,Dispatch of distributed generators under local-information constraints,Distributed extremum-seeking control over networks of dynamic agents
