An Improved Voice Activity Detection Using Higher Order Statistics,"Ke Li, M. N. S. Swamy, M. O. Ahmad, ",2005,37,Robust Voice Activity Detection Feature Design Based on Spectral Kurtosis,Research on voice activity detection in burst and partial duration noisy environment,A new approach for robust realtime Voice Activity Detection using spectral pattern,Using online model comparison in the Variational Bayes framework for online unsupervised Voice Activity Detection,Research of Voice Activity Detection Algorithm,A voice activity detection using cyclic statistics based on sinusoidal speech model,Low-complexity in-sensor audio detection with experimental validation,Noise robust speech activity detection,In-sensor low-complexity audio pattern recognition for pervasive networking,Enhancing Bowel Sounds by Using a Higher Order Statistics-Based Radial Basis Function Network,Long-Term Spectro-Temporal and Static Harmonic Features for Voice Activity Detection,Online Unsupervised Classification With Model Comparison in the Variational Bayes Framework for Voice Activity Detection,Acoustical Vehicle Detection Based on Bispectral Entropy,Robust Whisper Activity Detection Using Long-Term Log Energy Variation of Sub-Band Signal,Advanced voice activity detection on mobile phones by using microphone array and phoneme-specific Gaussian mixture models,Dereverberation and Denoising Using Multichannel Linear Prediction,Blind Subband Beamforming With Time-Delay Constraints for Moving Source Speech Enhancement,Higher-Order-Statistics-Based Radial Basis Function Networks for Signal Enhancement,Design and Performance Analysis of Bayesian Neyman–Pearson and Competitive Neyman–Pearson Voice Activity Detectors,Voice activity detection using discriminative restricted Boltzmann machines,Voice activity detection using higher-order statistics in the teager energy domain,On the Use of Lime Dereverberation Algorithm in an Acoustic Environment With a Noise Source
On second-order statistics and linear estimation of cepstral coefficients,"Y. Ephraim, M. Rahim, ",1999,37,On preprocessing for mismatched classification of Gaussian signals,The uncertainty of measured autocorrelation functions,Speech enhancement using the multistage Wiener filter,Complex Cepstrum of Discrete Hartley Andwarped Discrete Hartley Filters,On second order statistics and linear estimation of cepstral coefficients,Efficient on-line acoustic environment estimation for FCDCN in a continuous speech recognition system,Uncertainty decoding with SPLICE for noise robust speech recognition,On application of the Faragó-Lugosi algorithm in speech recognition,A novel a priori SNR estimation approach based on selective cepstro-temporal smoothing,Multi-microphone maximum a posteriori fundamental frequency estimation in the cepstral domain,On the relation between speech corruption models in the spectral and the cepstral domain,A Performance Analysis of Features from Complex Cepstra of Warped DST DCT and DHT Filters for Phoneme Recognition,Cepstrum based non-parametric approach in the context of spectrum hole search in cognitive radio network,Cepstrum Thresholding Scheme for Nonparametric Estimation of Smooth Spectra,A comparison Study of Cepstral Analysis with Applications to Speech Recognition,Revisiting autoregressive hidden Markov modeling of speech signals,On second-order statistics of log-periodogram with correlated components,On Nonparametric Estimation of 2-D Smooth Spectra,Theoretical Complex Cepstrum of DCT and Warped DCT Filters,Multitaper Estimation of Frequency-Warped Cepstra With Application to Speaker Verification,Smoothed nonparametric spectral estimation via cepsturm thresholding - Introduction of a method for smoothed nonparametric spectral estimation,A Convex Optimization Approach to ARMA Modeling,Speech Analysis in a Model of the Central Auditory System,Transforming Binary Uncertainties for Robust Speech Recognition,MST Radar Signal Processing Using Cepstral Thresholding,Hidden Markov processes,Speaker classification using composite hypothesis testing and list decoding,Total-Variance Reduction Via Thresholding: Application to Cepstral Analysis,On the Statistics of Spectral Amplitudes After Variance Reduction by Temporal Cepstrum Smoothing and Cepstral Nulling,A methodology for speaker-dependent acoustic features based on a simplified cortical response for speaker verification
Consistent Wiener Filtering for Audio Source Separation,"Jonathan Le Roux, Emmanuel Vincent, ",2013,37,Exploitation of Phase-Based Features for Whispered Speech Emotion Recognition,Time-Frequency Filter Bank: A Simple Approach for Audio and Music Separation,Impact noise suppression using spectral phase estimation,MMSE-optimal enhancement of complex speech coefficients with uncertain prior knowledge of the clean speech phase,Harmonic phase estimation in single-channel speech enhancement using von mises distribution and prior SNR,Equalization matching of speech recordings in real-world environments,Phase unmixing: Multichannel source separation with magnitude constraints,Phase-dependent anisotropic Gaussian model for audio source separation,On relationships between amplitude and phase of short-time Fourier transform,Single-channel Wiener filtering of deterministic signals in stochastic noise using the panorama,Adaptive multichannel LMS signal decoupling,Blind audio source separation using Wiener filtering approach,Time-frequency constraints for phase estimation in single-channel speech enhancement,Phase Retrieval via the Alternating Direction Method of Multipliers,Recent Developments in Speech Enhancement in the Short-Time Fourier Transform Domain,Global soft decision based speech enhancement using voiced-unvoiced uncertainty and harmonic phase decomposition technique,Multichannel High-Resolution NMF for Modeling Convolutive Mixtures of Non-Stationary Signals in the Time-Frequency Domain,STFT Phase Reconstruction in Voiced Speech for an Improved Single-Channel Speech Enhancement,Phase Estimation in Single-Channel Speech Enhancement: Limits-Potential,A Consolidated Perspective on Multimicrophone Speech Enhancement and Source Separation,Bayesian Estimation of Clean Speech Spectral Coefficients Given a Priori Knowledge of the Phase,PRIME: Phase Retrieval via Majorization-Minimization,A fast Griffin-Lim algorithm,Consistent anisotropic wiener filtering for audio source separation,Model-Based STFT Phase Recovery for Audio Source Separation,Compositional Models for Audio Processing: Uncovering the structure of sound mixtures,Phase Processing for Single-Channel Speech Enhancement: History and recent advances,Probabilistic time-frequency source-filter decomposition of non-stationary signals
Guest Editors' Introduction: An Introduction to Interactive Sonification,"T. Hermann, A. Hunt, ",2005,37,Auditory display as a prosthetic hand sensory feedback for reaching and grasping tasks,Sound and tangible interface for shape evaluation and modification,Evaluating geometrical properties of virtual shapes using interactive sonification,Auditory attention control for human-computer interaction,The Effects of Ecological Auditory Feedback on Rhythmic Walking Interaction,Interactive Sonification [Guest editors' introduction],Development Implementation and Evaluation of Sonification Tools for Point-and-Surface-Based Data Exploration,Comparison and Evaluation of Sonification Strategies for Guidance Tasks,SQUEAKeys: A friction idiophone for physical interaction with mobile devices,Swarm modulation: An algorithm for real-time spectral transformation
Audio-Based Semantic Concept Classification for Consumer Video,"Keansub Lee, Daniel P. W. Ellis, ",2010,37,Online sound structure analysis based on generative model of acoustic feature sequences,Online acoustic scene analysis based on nonparametric Bayesian model,Implementation of Content Based Video Classification Using Hidden Markov Model,Soundtrack classification by transient events,Classifying soundtracks with audio texture features,Audio event detection from acoustic unit occurrence patterns,On-line genre classification of TV programs using audio content,Deep learning vector quantization for acoustic information retrieval,Exploring audio semantic concepts for event-based video retrieval,Semi-automatic audio semantic concept discovery for multimedia retrieval,Speech/music discrimination in a large database of radio broadcasts from the wild,Robust minimum statistics project coefficients feature for acoustic environment recognition,Acoustic scene analysis from acoustic event sequence with intermittent missing event,Detecting semantic concepts in consumer videos using audio,Speech emotion recognition with acoustic and lexical features,Deductive refinement of species labelling in weakly labelled birdsong recordings,Temporal localization of audio events for conflict monitoring in social media,SmartVideoRanking: Video Search by Mining Emotions from Time-Synchronized Comments,Audio-based affect detection in web videos,Leveraging structural information in music-speech dectection,Speech emotion classification using acoustic features,An Overview on Perceptually Motivated Audio Indexing and Classification,Acoustic scene analysis based on latent acoustic topic and event allocation,An N-gram model for unstructured audio signals toward information retrieval,Fast Summarization of User-Generated Videos: Exploiting Semantic Emotional and Quality Clues,Exemplar-Based Processing for Speech Recognition: An Overview,Background-tracking acoustic features for genre identification of broadcast shows,Super Fast Event Recognition in Internet Videos,AENet: Learning Deep Audio Features for Video Analysis,Recurrence quantification analysis features for environmental sound recognition
Reverberation Model-Based Decoding in the Logmelspec Domain for Robust Distant-Talking Speech Recognition,"Armin Sehr, Roland Maas, Walter Kellermann, ",2010,37,Improving reverberant VTS for hands-free robust speech recognition,Combined-order hidden Markov models for reverberation-robust speech recognition,Model-based approaches to handling additive noise in reverberant environments,Extension of the remos concept to frequency-filtering-based features for reverberation-robust Speech recognition,Single and multichannel enhancement of distant speech using characteristics of speech production,A speech event detection and localization task for multiroom environments,Efficient training of acoustic models for reverberation-robust medium-vocabulary automatic speech recognition,Frame-wise HMM adaptation using state-dependent reverberation estimates,On the application of reverberation suppression to robust speech recognition,Recording environment identification using acoustic reverberation,Noise model transfer using affine transformation with application to large vocabulary reverberant speech recognition,Joint sparse representation based cepstral-domain dereverberation for distant-talking speech recognition,An uncertainty decoding approach to noise- and reverberation-robust speech recognition,Estimating room acoustic parameters for speech recognizer adaptation and combination in reverberant environments,Far-field speech recognition using CNN-DNN-HMM with convolution in time,Formulation of the REMOS concept from an uncertainty decoding perspective,Blind Speech Dereverberation Based on a Statistical Model,Single-channel dereverberation for distant-talking speech recognition by combining denoising autoencoder and temporal structure normalization,Distant-talking speech recognition using multi-channel LMS and multiple-step linear prediction,Experimental study on dereverberation and noise reduction for distant speech recognition,Acoustic modeling based on early-to-late reverberation ratio for robust ASR,An Efficient HMM-Based Feature Enhancement Method With Filter Estimation for Reverberant Speech Recognition,Weight-Space Viterbi Decoding Based Spectral Subtraction for Reverberant Speech Recognition,Making Machines Understand Us in Reverberant Rooms: Robustness Against Reverberation for Automatic Speech Recognition,Noise Model Transfer: Novel Approach to Robustness Against Nonstationary Noise,Robust Multichannel Dereverberation using Relaxed Multichannel Least Squares,Anti-Forensics of Environmental-Signature-Based Audio Splicing Detection and Its Countermeasure via Rich-Features Classification,Survey on approaches to speech recognition in reverberant environments,Model-Based Feature Enhancement for Reverberant Speech Recognition
Spectral vs. spectro-temporal features for acoustic event detection,"Courtenay V. Cotton, Daniel P. W. Ellis, ",2011,37,An acoustic monitoring system and its field trials,Automatic recognition of environmental sound events using all-pole group delay features,Spatial-feature-based acoustic scene analysis using distributed microphone array,Kernel discriminant analysis for environmental sound recognition based on acoustic subspace,Recognition of harmonic sounds in polyphonic audio using a missing feature approach,Acoustic feature extraction by statistics based local binary pattern for environmental sound classification,Online NON-negative Tensor Deconvolution for source detection in 3DTV audio,Unsupervised feature learning for urban sound classification,Abnormal sound event detection using temporal trajectories mixtures,Acoustic event detection based on non-negative matrix factorization with mixtures of local dictionaries and activation aggregation,Detection of overlapping acoustic events using a temporally-constrained probabilistic model,Classification of human cough signals using spectro-temporal Gabor filterbank features,Recursive Goal Seeking Algorithm for reactive navigation in autonomous rover systems,A Survey of Polyphonic Sound Event Detection Based on Non-Negative Matrix Factorization,Semi-automatic bird song analysis by spatial-cue-based integration of sound source detection localization separation and identification,A Knowledge-Based Approach to Automatic Detection of Equipment Alarm Sounds in a Neonatal Intensive Care Unit Environment,Deep Convolutional Neural Networks and Data Augmentation for Environmental Sound Classification,A Dual-Stage Ultra-Low-Power Acoustic Event Detection System,Random Regression Forests for Acoustic Event Detection and Classification,Histogram of Gradients of Time–Frequency Representations for Audio Scene Classification,Spectro-Temporal Gabor Filterbank Features for Acoustic Event Detection,Learning Representations for Nonspeech Audio Events Through Their Similarities to Speech Patterns,Spatial Cepstrum as a Spatial Feature Using a Distributed Microphone Array for Acoustic Scene Analysis,Supervised Representation Learning for Audio Scene Classification,Unsupervised Feature Learning Based on Deep Models for Environmental Audio Tagging,Polyphonic Sound Event Tracking Using Linear Dynamical Systems,Acoustic event filterbank for enabling robust event recognition by cleaning robot,Detection and Classification of Acoustic Scenes and Events,An exemplar-based NMF approach to audio event detection,On the use of spectro-temporal features for the IEEE AASP challenge ‘detection and classification of acoustic scenes and events’
Robust speech recognition based on a Bayesian prediction approach,"Hui Jiang, K. Hirose, Qiang Huo, ",1999,37,On adaptive decision rules and decision parameter adaptation for automatic speech recognition,A Bayesian predictive classification approach to robust speech recognition,A minimax search algorithm for robust continuous speech recognition,Online adaptive learning of continuous-density hidden Markov models based on multiple-stream prior evolution and posterior pooling,Transformation-based Bayesian predictive classification using online prior evolution,A Bayesian approach to the verification problem: applications to speaker verification,A robust compensation strategy for extraneous acoustic variations in spontaneous speech recognition,Upper and lower bounds on the mean of noisy speech: application to minimax classification,Discriminative training of n-gram language models for speech recognition via linear programming,Modelling uncertainty in stochastic vector mapping with minimum classification error training for robust speech recognition,An Inexpensive Packet Loss Compensation Scheme for Distributed Speech Recognition Based on Soft-Features,Incremental Adaptation using Bayesian Inference,Large margin estimation of n-gram language models for speech recognition via linear programming,Interacting with computers by voice: automatic speech recognition and synthesis,Large margin hidden Markov models for speech recognition,Bayesian Adaptive Inference and Adaptive Training,Solving Large-Margin Hidden Markov Model Estimation via Semidefinite Programming,Static and Dynamic Variance Compensation for Recognition of Reverberant Speech With Dereverberation Preprocessing,Adaptive Multimodal Fusion by Uncertainty Compensation With Application to Audiovisual Speech Recognition,Large-Margin Estimation of Hidden Markov Models With Second-Order Cone Programming for Speech Recognition,The integral decode: a smoothing technique for robust HMM-based speaker recognition,Linear regression based Bayesian predictive classification for speech recognition,A new approach to utterance verification based on neighborhood information in model space,Variational bayesian estimation and clustering for speech recognition,Predictive hidden Markov model selection for speech recognition,Dynamic compensation of HMM variances using the feature enhancement uncertainty computed from a parametric model of speech distortion,A Study of Neighborhood Competing Models Based Verification Method
Digital impedance bridge,"B. C. Waltrip, N. M. Oldham, ",1995,37,Digital impedance bridge based on a two-phase generator,Special considerations for alternatively designed digital phase angle standard,Uncertainty analysis for four terminal-pair capacitance and dissipation factor characterization at 1 and 10 MHz,A multiphase direct-digital-synthesis sinewave generator for high-accuracy impedance comparison,Automated system for inductance realization traceable to AC resistance with a three-voltmeter method,Digital impedance bridge based on a two-phase generator,Digital generator assisted impedance bridge,A fast L-R comparison system by digital sampling measurement approach,A digital impedance bridge with auto-balancing source ratio,Phase detector in a digital phase reference source,Special considerations for alternatively designed digital phase angle standard,Uncertainty analysis for four terminal-pair capacitance and dissipation factor characterization at 1 MHz and 10 MHz,On the application of special self-calibration algorithm to improve impedance measurement by standard measuring systems,Automated system for inductance realization traceable to AC resistance with a three-voltmeter method,A multiphase direct-digital-synthesis sinewave generator for high-accuracy impedance comparison,Evaluation of an alternatively designed digital phase angle standard,Automatic compensation system for impedance measurement,Impedance measurement by means of a high-stability multiphase DDS generator with the three-voltage method,Quadrature Bridge for R-C Comparisons based on Polyphase Digital Synthesis,Evaluation of an alternatively designed digital phase angle standard,Digital generator assisted impedance bridge,Precision impedance measurements by the three-voltage method with a novel high-stability multiphase DDS generator,Automatic compensation system for impedance measurement,Quadrature Bridge for $R$– $C$ Comparisons Based on Polyphase Digital Synthesis,Noniterative Digital AC Bridge Balance,$RLC$ Bridge Based on an Automated Synchronous Sampling System,A High-Resolution PXI Digitizer for a Low-Value-Resistor Calibration System,A Digital Five-Terminal Impedance Bridge,A Reconfigurable Four Terminal-Pair Digitally Assisted and Fully Digital Impedance Ratio Bridge,Impedance Comparison Using Unbalanced Bridge With Digital Sine Wave Voltage Sources
A computationally efficient nonuniform FIR digital filter bank for hearing aids,"Yong Lian, Ying Wei, ",2005,37,Low power FIR filter design for wearable devices using frequency response masking technique,A 16-band nonuniform FIR digital filterbank for hearing aid,Perceptually guided inexact DSP design for power area efficient hearing aid,A low complex 10-band non-uniform FIR digital filter bank using frequency response masking technique for hearing aid,A design of IIR based digital hearing aids using genetic algorithm,A low complexity reconfigurable channel filter based on decimation interpolation and frequency response masking,A survey of filter bank algorithms for biomedical applications,Multi stage filter bank system for improved noise reduction in hearing aids,Continuous-time FIR filters based on frequency-response masking technique,A design of digital FIR filter banks with adjustable subband distribution for hearing aids,21 Band 1/3-Octave Filter bank for digital hearing aids,FRM-Based FIR Filters with Minimum Coefficient Sensitivities,Memristor crossbar memory for hybrid ultra low power hearing aid speech processor,Digital filter bank for hearing aid application using FRM technique,Efficient farrow structure based bank of variable bandwidth filters for digital hearing aids,Design of Low Complexity Adjustable Filter Bank for Personalized Hearing Aid Solutions,A Reconfigurable Sound Wave Decomposition Filterbank for Hearing Aids Based on Nonlinear Transformation,A Reconfigurable Digital Filterbank for Hearing-Aid Systems With a Variety of Sound Wave Decomposition Plans,A computationally efficient nonuniform FIR digital filter bank for hearing aids,Design of Multi-Plet Perfect Reconstruction Filter Banks Using Frequency-Response Masking Technique,Design and Implementation of Low-Power ANSI S1.11 Filter Bank for Digital Hearing Aids,10-ms 18-Band Quasi-ANSI S1.11 1/3-Octave Filter Bank for Digital Hearing Aids,11.25-ms-Group-Delay and Low-Complexity Algorithm Design of 18-Band Quasi-ANSI S1.11 1/3 Octave Digital Filterbank for Hearing Aids,LMI Approach to Stability of Direct Form Digital Filters Utilizing Single Saturation Overflow Nonlinearity,Digital filter banks with approximately liner phase,Efficiency analysis of one class of uniform linear phase filter banks,Reconfigurable low complexity hearing aid system using adjustable filter bank,FRM-Based FIR Filters With Optimum Finite Word-Length Performance
Headphone-Based Spatial Sound,"V. Ralph Algazi, Richard O. Duda, ",2011,37,A study of 3D audio rendering by headphones,Spatial sound rendering for dynamic virtual environments,Perceptual evaluation of inter-individual differences in headphone equalization,Tensor modeling and interpolation for distance-dependent head-related transfer function,Externalization improvement in a real-time binaural sound image rendering system,Attention driven computational model of the auditory midbrain for sound localization in reverberant environments,The Road to Immersive Communication,A Parallel Approach to HRTF Approximation and Interpolation Based on a Parametric Filter Model,Computing HRTFs using Spherical Near field Acoustic Holography for rendering spatial audio,On the development of a dynamic virtual reality system using audio and visual scenes,Binaural analysis of a sound source,Fifty Years of Artificial Reverberation,Empirical Determination of Frequency Representation in Spherical Harmonics-Based HRTF Functional Modeling,Natural Listening over Headphones in Augmented Reality Using Adaptive Filtering Techniques,Headphone-based immersive audio for virtual reality headsets,Optimized Fundamental Signal Processing Operations For Energy Minimization on Heterogeneous Mobile Devices,Interactive rate acoustical occlusion/diffraction modeling for 2D virtual environments &amp; games,The Binaural LCMV Beamformer and its Performance Analysis,Vectorization of binaural sound virtualization on the ARM Cortex-A15 architecture,Can spatial audio support pilots? 3D-audio for future pilot-assistance systems,Assisted Listening Using a Headset: Enhancing audio perception in real augmented and virtual environments,Natural Sound Rendering for Headphones: Integration of signal processing techniques,Differential Head Related Transfer Function as a new approach to virtual sound source positioning,Correction
Thermal Converters for Audio-Frequency Voltage Measurements of High Accuracy,"F. L. Hermach, E. S. Williams, ",1966,37,A new isothermal multijunction differential thermal element provides fast settling AC to DC converter,Recharacterization of thermal voltage converters after thermoelement replacement,A new optically sensed thermal element for precise AC-DC conversion,An accurate AC-Dc voltage transfer standard test system using the differential and the dual-channel method,An AC/DC active attenuator for comparison of TVC with different input voltages,A reevaluation of the NIST low-frequency standards for AC-DC difference in the voltage range 0.6-100 V,Development of a new type of electrometic AC-DC transfer standard,High-frequency AC-DC differences of NML single-junction thermal voltage converters,Recent developments in the NIST ac-dc difference calibration service for thermal transfer standards,Establishing and verifying the Norwegian absolute ACV,Precision ac-dc transfer measurement system based on a 1000-volt inductive voltage divider,An international intercomparison of quantum-based AC Voltage Standards,Evaluation of AC-DC differences of NML single-junction thermal voltage converters at frequencies up to 1 MHz,Development of a new type of electrometric AC-DC transfer standard,AC/DC Thermal Converters of the ETL,A Method for the Determination of AC-DC Transfer Errors in Thermoelements,An International Comparison of Thermal Converters as AC-DC Transfer Standards,A Semiautomatic System for AC/DC Difference Calibration,A Thermoelement Comparator for Automatic AC-DC Difference Measurements,An Automatic System for AC/DC Calibration,High-Precision Thermal EMF Comparator for Automatic AC-DC Transfer Measurements,Components and Systems for AC/DC Transfer at the ppm Level,Recent Advances in Precision AC Measurements,AC-DC transfer standards-present status and future directions,A Dual-Channel Automated Comparator for AC-DC Difference Measurements,Current-Independent AC-DC Transfer Errors in Single-Junction Thermal Converters,Precision AC–DC Transfer Measurement System Based on a 1000-V Inductive Voltage Divider,Development of Thin-Film Multijunction Thermal Current Converters With Increased Rated Current,Fabrication of Thin Film Multijunction Thermal Converters With Improved Long-Term Stability
Joint Frequency Offset and Channel Estimation for OFDM Systems Using Pilot Symbols and Virtual Carriers,"Tao Cui, Chintha Tellambura, ",2007,37,A Survey on High Mobility Wireless Communications: Challenges Opportunities and Solutions,A channel estimation technique for OFDM systems in dispersive time-varying channels,Analysis and Algorithm for Non-Pilot-Aided Channel Length Estimation in Wireless Communications,MISO joint synchronization-pilot design for OFDM systems,Fast semi-blind channel estimation for MIMO-OFDM systems with virtual carriers,Channel estimation for MIMO-OFDM systems using superimposed training In VLSI,Hybrid CFO-RSS Cooperative Positioning for environments with limited GNSS visibility,Collaborative navigation with ground vehicles and personal navigators,Closed-form MSE performance for phase estimation from Gaussian reference signals,Joint symbol timing and frequency offset estimation for wireless OFDM systems,Integer frequency offset recovery in OFDM transmissions over selective channels,A scattered pilot synchronization scheme by partial correlation for DVB-H systems,Linearly time-varying channel estimation for MIMO/OFDM systems using superimposed training,Scattered Pilots-Based Frequency Synchronization for Multiuser OFDM Systems With Large Number of Receive Antennas,An Instantaneous Lane-Level Positioning Using DSRC Carrier Frequency Offset,Cooperative Inertial Navigation for GNSS-Challenged Vehicular Environments,Cooperative Positioning for Vehicular Networks: Facts and Future,Blind Maximum Likelihood Carrier Frequency Offset Estimation for OFDM With Multi-Antenna Receiver,One-Shot Blind CFO and Channel Estimation for OFDM With Multi-Antenna Receiver,Blind Frequency Synchronization for Multiuser OFDM Uplink With Large Number of Receive Antennas,Noniterative Joint Frequency Offset and Channel Estimation for MIMO OFDM Systems Using Cascaded Orthogonal Pilots,An Optimized Iterative (Turbo) Receiver for OFDM Systems with Type-I Hybrid ARQ: Clipping and CFO Cases,Maximum Likelihood Based Channel Estimation for Macrocellular OFDM Uplinks in Dispersive Time-Varying Channels,I/Q-Imbalance Self-Interference Coordination,A Study of Pilot Placement Optimization with Constrained MDPs in IEEE802.11p Systems,Lower Bound of SNR Fall Caused by ICI Based on All Phase OFDM Systems,Collaborative navigation field trials with different sensor platforms,Optimized iterative (turbo) reception for QAM OFDM with CFO over unknown double-selective channels
Filter bank design for subband adaptive microphone arrays,"J. M. de Haan, N. Grbic, I. Claesson, S. E. Nordholm, ",2003,37,Minimum mutual information beamforming for simultaneous active speakers,Implementation of DFT Filter Banks Based on FPGA,Detection of vehicle mounted auditory reverse alarm using hidden Markov model,Microphone Array Speech Enhancement Based on Filter Bank Generalized Sidelobe Canceller,Simplified design of low-delay oversampled NPR GDFT filterbanks,Filter bank design based on minimization of individual aliasing terms for minimum mutual information subband adaptive beamforming,Low distortion SNR-based speech enhancement employing critical band filter banks,Adaptive Close-Talking Beamforming with a Novel Differential Array,A method of weak signal detection based on subband ANC and normalized energy spectrum,An Efficient Method for Designing Low-Delay Nonuniform Oversampled M-channel Filterbanks,A new structure and design method for low group delay maximally-decimated DFT filter banks,Optimal Design of Oversampled Modulated Filter Bank,Design of two-channel linear-phase fir biorthogonal filter banks,Adaptive Beamforming With a Minimum Mutual Information Criterion,A New Delayless Subband Adaptive Filtering Algorithm for Active Noise Control Systems,Iterative method for the design of DFT filter Bank,Uniform FIR filterbank optimization with group delay specifications,A Competitive Mean-Squared Error Approach to Beamforming,Global Optimum Design of Uniform FIR Filter Bank With Magnitude Constraints,A Method of Multi-Channel Non-Uniform Subband Adaptive Noise Cancellation,Low-delay nonuniform oversampled filterbanks for acoustic echo control
Optimization of radiation patterns for an array of concentric ring sources,"L. Biller, G. Friedman, ",1973,37,Concentric circular antenna array synthesis using Particle Swarm Optimization with Constriction Factor Approach,Thinned concentric ring arrays,Concentric ring array synthesis using Taguchi algorithm for MIMO applications,Swarm Intelligence Based Synthesis of Concentric Circular Antenna Array for Broadside Radiation,Optimum ring spacing and interelement distance for sidelobe reduction of a uniform concentric ring array antenna using differential evolution algorithm,Design of phase-differentiated dual-beam concentric ring array antenna using differential evolution algorithm,Generation of phase-only pencil-beam pair from concentric ring array antenna using Gravitational Search Algorithm,Particle Swarm Optimization with Constriction Factor Approach based synthesis of Concentric Circular Antenna Array for broadside radiation,Optimized radii and current excitations for low sidelobed concentric circular antenna array using Particle Swarm Optimization,Craziness Particle Swarm Optimization based synthesis of Concentric Circular Antenna Array with non-isotropic elements,Design of non-uniform concentric circular antenna arrays for side lobe reduction using the method of CRPSO,Thinned concentric circular array antenna synthesis using Particle Swarm Optimization with Constriction Factor and Inertia Weight Approach,Bacteria Foraging Optimization based synthesis of Concentric Circular Antenna Array,Improved Particle Swarm Optimization based synthesis of Concentric Circular Antenna Array with non-isotropic elements,Broadside radiation synthesis of Concentric Circular Antenna Array using Improved Particle Swarm Optimization,Thinned concentric circular array antennas synthesis using genetic algorithm,Optimized Element Spacing for Low Sidelobe Concentric Ring Arrays,Constrained Pareto Optimization of Wide Band and Steerable Concentric Ring Arrays,3-D array pattern synthesis with frequency Invariant property for concentric ring array,NPSO based optimal deign and synthesis of Concentric Circular Antenna Array with non-isotropic elements,Focusing patterns within far and near field for a novel 2D sparse MIMO array,Modified Real GA for the Synthesis of Sparse Planar Circular Arrays,Design of steerable concentric rings array using rotation properties and evolutionary optimization
A model and a system for machine recognition of speech,"D. Reddy, L. Erman, R. Neely, ",1973,37,Layered modular action control for communicative humanoids,Syntax and semantics in a distributed speech understanding system,Focus of attention in a distributed-logic speech understanding system,Selection of word islands in the Hearsay-II speech understanding system,A linguistic approach to speech recognition via a minicomputer net,Algorithms for acoustic prosodic analysis,A practical application of a real-time isolated-word recognition system using syntactic constraints,Organization of the Hearsay II speech understanding system,Talking with Computers: Synthesis and Recognition of Speech by Machines,System Organizations for Speech Understanding: Implications of Network and Multiprocessor Computer Architectures for AI,The Hearsay-I Speech Understanding System: An Example of the Recognition Process,Parallelism in Artificial Intelligence Problem Solving: A Case Study of Hearsay II,Isolated and Connected Word Recognition - Theory and Selected Applications,Noah-A Bottom-Up Word Hypothesizer for Large-Vocabulary Speech Understanding Systems,Speech recognition by machine: A review,Speech recognition based chess system for visually challanged
Resilient multicast support for continuous-media applications,"X. R. Xu, A. C. Myers, Hui Zhang, R. Yavatkar, ",1997,37,Improving the Fault Resilience of Overlay Multicast for Media Streaming,Multicast transport protocols: a survey and taxonomy,Error recovery for interactive video transmission over the Internet,Transporting real-time video over the Internet: challenges and approaches,Survey of error recovery techniques for IP-based audio-visual multicast applications,A survey of packet loss recovery techniques for streaming audio,Video multicast over the Internet,Video multicast using layered FEC and scalable compression,Large-scale media delivery using a semi-reliable multicast protocol,DiCoR: Distributed cooperative repair of multimedia broadcast losses,Multicast and unicast video streaming with rateless channel-coding over wireless broadband,Improving the Fault Resilience of Overlay Multicast for Media Streaming,Generating network topologies that obey power laws,MESH-R: large-scale reliable multicast transport,Real-time error recovery utilizing layered media multicast control (LMMC),Reliable multicast transport of BGP for geostationary satellite networks,RTMC: an error control protocol for IP-based audio-visual multicast applications,On the optimal rate allocation for layered video multicast,A multicast framework for multimedia applications,Multicast loss recovery with active injection,New ARQ protocol for interactive video over data networks,Scaling end-to-end multicast transports with a topologically-sensitive group formation protocol,A hybrid adaptation protocol for TCP-friendly layered multicast and its optimal rate allocation,Slurpie: a cooperative bulk data transfer protocol,Content-based retransmission for 3-D wavelet video streaming on the Internet,Real-Time Playing of Network Audio-Video System Based on DataSet,Retransmission-based error control for interactive video applications over the Internet,Limited retransmission of real-time layered multimedia,Scalable diverse protected multicast as a programmable service leveraging IP-multicast,Resilient peer-to-peer multicast from the ground up
