Adaptive control of nonlinear systems with a triangular structure,"D. Seto, A. M. Annaswamy, J. Baillieul, ",1994,237,Robust adaptive control for a class of MIMO nonlinear systems with guaranteed error bounds,Robust adaptive tracking for time-varying uncertain nonlinear systems with unknown control coefficients,Adaptive neural network control of nonlinear systems with unknown time delays,Robust Adaptive Control of Feedback Linearizable MIMO Nonlinear Systems With Prescribed Performance,Global Stabilization of the Generalized MIMO Triangular Systems With Singular Input-Output Links,Robust Partial-State Feedback Prescribed Performance Control of Cascade Systems With Unknown Nonlinearities,Constructive Design of Adaptive Controllers for Nonlinear MIMO Systems With Arbitrary Switchings,Uniform Stabilization of Nonlinear Systems With Arbitrary Switchings and Dynamic Uncertainties,Performance Study of an Adaptive Controller in the Presence of Uncertainty,Adaptive Fuzzy Output-Feedback Controller Design for Nonlinear Systems via Backstepping and Small-Gain Approach,A Combined Backstepping and Stochastic Small-Gain Approach to Robust Adaptive Fuzzy Output Feedback Control,Adaptive Predefined Performance Control for MIMO Systems With Unknown Direction via Generalized Fuzzy Hyperbolic Model,Robust Control for a Class of Nonaffine Nonlinear Systems Based on the Uncertainty and Disturbance Estimator,Robust adaptive neural control for a class of perturbed strict feedback nonlinear systems,Neural network-based adaptive dynamic surface control for a class of uncertain nonlinear systems in strict-feedback form,Adaptive neural network control for a class of low-triangular-structured nonlinear systems,Approximation-Based Adaptive Tracking Control of Pure-Feedback Nonlinear Systems With Multiple Unknown Time-Varying Delays,A Simplified Adaptive Neural Network Prescribed Performance Controller for Uncertain MIMO Feedback Linearizable Systems,Adaptive Neural Control for a Class of Pure-Feedback Nonlinear Systems via Dynamic Surface Technique,Robust Adaptive Tracking Control for Nonlinear Systems Based on Bounds of Fuzzy Approximation Parameters,Adaptive neural control of nonlinear time-delay systems with unknown virtual control coefficients,Observer-Based Adaptive Fuzzy Backstepping Dynamic Surface Control for a Class of MIMO Nonlinear Systems,Adaptive Neural Control of Pure-Feedback Nonlinear Time-Delay Systems via Dynamic Surface Technique,A combined backstepping/second order sliding mode approach to control a class of nonlinear systems,Nonlinear adaptive decentralized stabilizing control of multimachine systems,Controller Design for a Class of Nonregular-feedback-linearizable Systems,Adaptive Control for a Class of Time-varying Uncertain Nonlinear Systems,Adaptive Robust L2-Gain Hybrid Controller Design for a Class of Uncertain Nonlinear Systems,Robust adaptive neural network control for strict-feedback nonlinear systems with uncertainties,Adaptive decoupling switching control of a dual-tank water system
Optimal linear estimation fusion .I. Unified fusion rules,"X. R. Li, Yunmin Zhu, Jie Wang, Chongzhao Han, ",2003,236,General heterogeneous sensor estimation fusion-system fusion method,Sequential covariance intersection fusion Kalman filter for multiple time-delay sensor network systems with colored noises,Fast SCI fusion steady-state Kalman filters for multiple time-delayed systems with colored measurement noises,Set-membership information fusion for multisensor nonlinear dynamic systems,Inverse covariance intersection: New insights and properties,Distributed filtering over networks based on diffusion strategy,Kalman smoother and weighted fusion algorithm for fractional systems,Average marginal density based distributed multichannel fusion for multi-target tracking,Forty years of distributed estimation: A review of noteworthy developments,Bayesian model selection for multisensor track-to-track association and track fusion,On Estimation Across Analog Erasure Links With and Without Acknowledgements,Distributed Fusion Estimation With Missing Measurements Random Transmission Delays and Packet Dropouts,Optimal Distributed Kalman Filtering Fusion With Singular Covariances of Filtering Errors and Measurement Noises,Distributed Fusion Estimation With Communication Bandwidth Constraints,Distributed Mixed  $H_{2}/H_{infty}$ Fusion Estimation With Limited Communication Capacity,Networked Fusion Estimation With Bounded Noises,Survey of maneuvering target tracking. Part V. Multiple-model methods,Optimal and self-tuning information fusion Kalman multi-step predictor,Fusion of distributed extended forgetting factor RLS state estimators,Estimation Fusion with General Asynchronous Multi-Rate Sensors,Multi-Sensor Centralized Fusion without Measurement Noise Covariance by Variational Bayesian Approximation,Distributed Estimation Fusion with Unavailable Cross-Correlation,Optimal Linear Fusion of Smoothed State Estimates,Estimation Fusion for Markovian Jump Linear System via Data Transformation,The Role of Pseudo Measurements in Equality-Constrained State Estimation,Networked fusion kalman filtering with multiple uncertainties,Robust weighted fusion steady-state kalman predictors with uncertain noise variances,A Solution to Estimation Fusion for Multirate Measurements with Delays,Tracking-Aided Classification of Targets Using Multihypothesis Sequential Probability Ratio Test,Robust Information Fusion Estimator for Multiple Delay-Tolerant Sensors With Different Failure Rates
Finite-Time Attitude Tracking Control of Spacecraft With Application to Attitude Synchronization,"Haibo Du, Shihua Li, Chunjiang Qian, ",2011,235
Robust backstepping control of nonlinear systems using neural networks,"C. Kwan, F. L. Lewis, ",2000,235,Adaptive Neural Control of Non-Affine Pure-Feedback Systems,Control of a nonholonomic mobile robot using neural networks,Backstepping based fuzzy logic control of active vehicle suspension systems,Neural network based adaptive tracking of uncertain nonlinear systems in triangular form,Adaptive backstepping control for a class of nonlinear systems via multilayered neural networks,Adaptive backstepping control for nonlinear systems using RBF neural networks,Adaptive neural dynamic surface control of nonlinear time-delay systems with model uncertainties,Continuous-time nonlinear system identification using neural network,Command filtered backstepping,Design of RBF Neural Controller with Differencial Reconstruction and PID Conpensation for a Class of Nonlinear System with Linear Input Unmodeled Dynamics,The application of neural network in wind speed forecasting,State feedback and output feedback tracking control of discrete-time nonlinear system using Chebyshev neural networks,Trajectory tracking control of industrial robot manipulators using a neural network controller,RBF neural network adaptive backstepping controllers for MIMO nonaffine nonlinear systems,Robust tracking control of uncertain nonlinear systems using disturbance observer,Direct Neural-Adaptive Control with Quantifiable Bounds and Improved Performance,Adaptive Neural-Based Backstepping Control of Uncertain MIMO Nonlinear Systems,Robot control with a fully tuned Growing Radial Basis Function neural network,Robust adaptive neural network control of aircraft braking system,Backstepping control using adaptive neural network for industrial two link robot manipulator,Robust Backstepping Control of Induction Motor Drives Using Artificial Neural Networks,Robust Adaptive Neural Network Control for a Class of Nonlinear Systems,Some remarks on adaptive neuro-fuzzy systems,Control of a nonholonomic mobile robot using neural networks,Stable adaptive output feedback controller for a class of uncertain non-linear systems,Dynamic surface control for a class of stochastic non-linear systems with input saturation,Finite-time exact tracking control for a class of non-linear dynamical systems,Design of robust speed and slip controllers for a hybrid electromagnetic brake system,Adaptive neural block control design for a class of nonlinear system,Neural learning control with disturbance
Volumetric transformation of brain anatomy,"G. E. Christensen, S. C. Joshi, M. I. Miller, ",1997,235,Anatomical model matching with fuzzy implicit surfaces for segmentation of thoracic volume scans,Reconstruction of the human cerebral cortex from magnetic resonance images,Segmentation registration and measurement of shape variation via image object shape,Computer-aided stereotactic functional neurosurgery enhanced by the use of the multiple brain atlas database,Unwarping of unidirectionally distorted EPI images,Medical image segmentation using analysis of isolable-contour maps,Elastic registration of fMRI data using Bezier-spline transformations,Landmark-based elastic registration using approximating thin-plate splines,Consistent image registration,Registration of 3-d intraoperative MR images of the brain using a finite-element biomechanical model,Landmark matching via large deformation diffeomorphisms,Statistical analysis of normal and abnormal dissymmetry in volumetric medical images,Improved Warping of Diffusion Tensor Fields Free of Artifacts,Fast FEM-Based Non-Rigid Registration,Non-rigid Medical Image Registration Based on the Thin-Plate Spline Algorithm,Multistructure brain registration using multimodal neuroimaging for the detection of Alzheimer's disease,A Joint Transformation and Residual Image Descriptor for Morphometric Image Analysis using an Equivalence Class Formulation,A Novel Shape Transformation Approach for Quantizing Facial Expressions,Large-deformation image registration using fluid landmarks,Biomedical image segmentation,Compensation of unidirectional geometric distortion in EPI using spline warping,Variational image segmentation models: Application to medical images MRI,Geodesic closest point constrained inter-subject non-rigid registration,Implicit active contours for N-dimensional biomedical image segmentation,Investigating a two stage facial expression rating and classification technique,Brain structures deformation to obtain anatomical averages,A hierarchical nonrigid image registration technique based on local deformations,Subthalamic Nucleus Deep Brain Stimulation: Accurate Axonal Threshold Prediction with Diffusion Tensor Based Electric Field Models,Multi-structure whole brain registration and population average,TOADS: topology-preserving anatomy-driven segmentation
Fuzzy adaptive sliding-mode control for MIMO nonlinear systems,"Shaocheng Tong, Han-Xiong Li, ",2003,234,Backstepping-based direct adaptive fuzzy control for SISO nonlinear systems,Radial basis function neural network-based adaptive control of uncertain nonlinear systems,Robust Adaptive Fuzzy Output Tracking Control of Uncertain Robot System Using Backstepping Design,State observer-based discrete-time fuzzy control system,Synchronization of Chaotic Systems Controller Design by Neural Networks,Adaptive fuzzy control for a class of nonlinear systems with adaptation compensator,Relative degrees and output tracking control of T-S fuzzy systems,Robust adaptive sliding mode control for uncertain nonlinear MIMO system with guaranteed error bounds,Improved nonsingular terminal sliding mode attitude tracking control for reentry vehicle,Indirect adaptive fuzzy control for a class of MIMO nonlinear systems,Output tracking control for uncertain underactuated systems based on fuzzy sliding mode control approach,A design for a class of fuzzy control systems with state observer,Discrete-Time Fuzzy Control System Design with State Observer,Fuzzy Controller Design Utilizing Experts' Knowledge,A Survey on Analysis and Design of Model-Based Fuzzy Control Systems,A Novel Robust Adaptive-Fuzzy-Tracking Control for a Class of NonlinearMulti-Input/Multi-Output Systems,An Adaptive Generalized Predictive Control Method for Nonlinear Systems Based on ANFIS and Multiple Models,Robust Adaptive Fuzzy Control by Backstepping for a Class of MIMO Nonlinear Systems,Extraction and Adaptation of Fuzzy Rules for Friction Modeling and Control Compensation,Robust Self-Organizing Neural-Fuzzy Control With Uncertainty Observer for MIMO Nonlinear Systems,Noninteracting Adaptive Control of PMSM Using Interval Type-2 Fuzzy Logic Systems,Delayed Output Feedback Control for Nonlinear Systems With Two-Layer Interval Fuzzy Observers,Adaptive Fuzzy Control for MIMO Nonlinear Systems With Nonsymmetric Control Gain Matrix and Unknown Control Direction,The Bounded Capacity of Fuzzy Neural Networks (FNNs) Via a New Fully Connected Neural Fuzzy Inference System (F-CONFIS) With Its Applications,A Collaborative Fuzzy Clustering Algorithm in Distributed Network Environments,An Intelligent Second-Order Sliding-Mode Control for an Electric Power Steering System Using a Wavelet Fuzzy Neural Network,Error-Compensated Marginal Linearization Method for Modeling a Fuzzy System,Adaptive Tracking Control for A Class of Nonlinear Systems With a Fuzzy Dead-Zone Input,Decentralized Fuzzy Control of Multiple Cooperating Robotic Manipulators With Impedance Interaction,Dynamic Tanker Steering Control Using Generalized Ellipsoidal-Basis-Function-Based Fuzzy Neural Networks
Implementation of a MIMO OFDM-based wireless LAN system,"A. van Zelst, T. C. W. Schenk, ",2004,234
A general algorithm for robot formations using local sensing and minimal communication,"J. Fredslund, M. J. Mataric, ",2002,234,Neural adaptive output feedback formation control of type (m s) wheeled mobile robots,Leader-Following Formation Control of Multiple Mobile Robots,Formation control of car-like mobile robots: A Lyapunov function based approach,Region tracking control for multi-agent systems with high-order dynamics,A formal approach to self-configurable swarm-based space-exploration systems,PD control scheme for formation control of multiple autonomous underwater vehicles,Creation of geometric formations of multiple robots with limited sensory power based on visual information,A method for decentralized formation building for unicycle-like mobile robots,Notice of Violation of IEEE Publication Principles<br/>Bio-inspired automatic shape formation for swarms of self-reconfigurable modular robots,Artificial morphogenesis for arbitrary shape generation of swarms of multi agents,A scalable robust ultra-low complexity agent swarm for area coverage and interception tasks,A distributed algorithm for circle formation by multiple mobile robots,Trajectory tracking for groups of unicycles with convergence of the orientation angles,A rapid incremental motion planner for flexible formation control of fixed-wing UAVs,Experimental comparison of a directed and a non-directed potential field approach to formation navigation,Multi-Robot Cooperative Hunting,Behavior-based control of swarm robots with improved potential field,Heterogeneous Swarm Formation Control Using Bivariate Normal Functions to Generate Potential Fields,Multi-robot Motion Coordination based on Swing Propagation,Detecting social context: A method for social event classification using naturalistic multimodal data,Notice of Violation of IEEE Publication Principles<br/>Agent Based Morphological Approach for Collaborative Shape Formation of Self-Organizable Unmanned Aerial Vehicles,Fuzzy manual control of multi-robot system with built-in swarm behavior,A token passing approach for circle formation by multiple mobile robots,Behavior coordination in multi-robot systems,Decentralized cooperative control for swarm agents with high-order dynamics,Dynamic growth of robot formation using only local sensing and minimal communication,Rendezvous trajectory generation for energy trophallaxis,Survey on Security Challenges for Swarm Robotics,A flexible virtual structure formation keeping control for fixed-wing UAVs,A dynamic virtual structure formation control for fixed-wing UAVs
Adaptive control of plants with unknown dead-zones,"Gang Tao, P. V. Kokotovic, ",1994,234
A Novel Infinite-Time Optimal Tracking Control Scheme for a Class of Discrete-Time Nonlinear Systems via the Greedy HDP Iteration Algorithm,"Huaguang Zhang, Qinglai Wei, Yanhong Luo, ",2008,233,Numerical adaptive learning control scheme for discrete-time non-linear systems,Online adaptive optimal control for continuous-time Markov jump linear systems using a novel policy iteration algorithm,Data-driven optimal tracking control for a class of affine non-linear continuous-time systems with completely unknown dynamics,Using reinforcement learning techniques to solve continuous-time non-linear optimal tracking problem without system dynamics,Data-driven policy iteration algorithm for optimal control of continuous-time Itô stochastic systems with Markovian jumps,Online fault compensation control based on policy iteration algorithm for a class of affine non-linear systems with actuator failures,Data-based adaptive critic design for discrete-time zero-sum games using output feedback,N-step optimal time-invariant trajectory tracking control for a class of nonlinear systems,Adaptive dynamic programming for optimal control of unknown nonlinear discrete-time systems,Near optimal control of mobile robot formations,An approximate Dynamic Programming based controller for an underactuated 6DoF quadrotor,Adaptive optimal control for nonlinear discrete-time systems,Real-time tracking on adaptive critic design with uniformly ultimately bounded condition,Theoretical analysis of a reinforcement learning based switching scheme,Adaptive dynamic programming for discrete-time LQR optimal tracking control problems with unknown dynamics,ADP-based optimal control for a class of nonlinear discrete-time systems with inequality constraints,Optimal tracking control for discrete-time systems by model-free off-policy Q-learning approach,Online and model-free supplementary learning control based on approximate dynamic programming,Generalized policy iteration adaptive dynamic programming algorithm for optimal tracking control of a class of nonlinear systems,Optimal tracking control of affine nonlinear discrete-time systems with unknown internal dynamics,Optimal control of affine nonlinear continuous-time systems using an online Hamilton-Jacobi-Isaacs formulation,Model-based reinforcement learning for infinite-horizon approximate optimal tracking,Optimal tracking control for a class of continuous time complex-valued systems based on adaptive dynamic programming algorithm,Nearly optimal tracking control for continuous time nonlinear systems using a policy iteration based HJB approach,Robust adaptive dynamic programming for a three-player zero-sum differential game with unmatched uncertainties,On design of nonlinear event-triggerec suboptimal tracking controller,Neuro-optimal learning control scheme for gasification process with unknown system model,Heuristic dynamic programming-based H∞ control of discrete-time affine nonlinear systems,Generalized adaptive dynamic programming algorithm for discrete-time nonlinear systems: Convergence and stability analysis,Universal dynamic tracking control law for mobile robot trajectory tracking
Adaptive smoothing: a general tool for early vision,"P. Saint-Marc, J. -S. Chen, G. Medioni, ",1991,232,Mean shift: a robust approach toward feature space analysis,Structural indexing: efficient 3-D object recognition,3-D surface description from binocular stereo,B-spline contour representation and symmetry detection,An edge detection technique using the facet model and parameterized relaxation labeling,Optimal local weighted averaging methods in contour smoothing,Shape recovery from equal thickness contours,Depth Image Based Rendering for 3D Data Service Over T-DMB,Nonlinear anisotropic filtering of MRI data,Volume rendering of 3D medical ultrasound data using direct feature mapping,Application of the extremum stack to neurological MRI,Very low bit-rate coding algorithm for stereo video with spatiotemporal HVS model and binary correlation disparity estimator,An adaptive smoothing filter for URTURlP images,Weight adaptation and oscillatory correlation for image segmentation,Adaptive temporal decimation algorithm with dynamic time window,Theoretical aspects of vertically invariant gray-level morphological operators and their application on adaptive signal and image filtering,An error-weighted regularization algorithm for image motion-field estimation,A robust approach to image enhancement based on fuzzy logic,Multigrid anisotropic diffusion,Decoupling recognition and localization in CAD-based vision,A fuzzy-rule-based image enhancement method for medical applications,Wavelet-based inhomogeneous near-lossless compression of ultrasound images of the heart,Research and Implementation on the Digital Medical Image Enhancement Methods Based on Gradient Smooth and Context Smooth,Natural Landmarks Extraction Method from Range Image for Mobile Robot,Edge-preserving based adaptive ICC method for image diffusion,Edge-Preserving Filtering for Grey and Color Image,Segmentation of mitral regurgitant jet using the combination of wavelet and watershed transformation,Shape from equal thickness contours,Model based segmentation of nuclei,Discontinuity Preserving Filtering over Analytic Manifolds
A digital recursive measurement scheme for online tracking of power system harmonics,"A. A. Girgis, W. B. Chang, E. B. Makram, ",1991,232,Automatic Detection and Analysis of Voltage Events in Power Systems,A Discussion of New Requirements for Measurement of Harmonic Distortion in Modern Power Supply Systems,Harmonics Measurement With a Modulated Sliding Discrete Fourier Transform Algorithm,A Robust Technique for Single-Phase Grid Voltage Fundamental and Harmonic Parameter Estimation,Parameter Estimation for an Electric Power System Using Genetic Algorithms,An Adaptive Algorithm for Real-Time Multi-Tone Estimation and Frequency Tracking of Non-Stationary Signals,,Model-based generation of low distortion currents in grid-coupled PWM-inverters using an LCL output filter,A Voltage and Frequency Droop Control Method for Parallel Inverters,Inter-Harmonic Identification Using Group-Harmonic Weighting Approach Based on the FFT,A Three-Phase Adaptive Notch Filter-Based Approach to Harmonic/Reactive Current Extraction and Harmonic Decomposition,A Fast-Convergent Modulation Integral Observer for Online Detection of the Fundamental and Harmonics in Grid-Connected Power Electronics Systems,An Efficient FPGA Implementation of a Quadrature Signal-Generation Subsystem in SRF PLLs in Single-Phase PFCs,An adaptive method for determining the reference compensating current in single-phase shunt active power filters,An adaptive Kalman filter for dynamic harmonic state estimation and harmonic injection tracking,A New Technique of Measurement of Nonstationary Harmonics,Development of a Network-Wide Harmonic Control Scheme Using an Active Filter,Extraction of Harmonics Using Composite Observers,Power-Quality Improvement Using Wiener Filters Based On a Modular Compensating Strategy,A Power-Quality Measure,Sensorless Current Control of Three-Phase Inverter-Based Distributed Generation,Extended Real Model of Kalman Filter for Time-Varying Harmonics Estimation,Reduction of Voltage Harmonics in Single Phase Inverters Using Composite Observers,Processing of Harmonics and Interharmonics Using an Adaptive Notch Filter,Detection of Partial Saturation and Waveform Compensation of Current Transformers,Distance Relays Based on the Taylor–Kalman-Fourier Filter,Analysis and implementation of model-based linear estimation of dynamic phasors,A novel time-domain current-detection algorithm for shunt active power filters,Real Coded Genetic Algorithm Compared to the Classical Method of Fast Fourier Transform in Harmonics Analysis,Improved algorithm for on-line harmonic identification in HVDC application
Traffic monitoring and accident detection at intersections,"S. Kamijo, Y. Matsushita, K. Ikeuchi, M. Sakauchi, ",2000,232
A Distributed Control Approach to A Robust Output Regulation Problem for Multi-Agent Linear Systems,"Xiaoli Wang, Yiguang Hong, Jie Huang, Zhong-Ping Jiang, ",2010,231,Distributed output regulation of switching multi-agent systems subject to input saturation,Leader-following coordination problem with an uncertain leader in a multi-agent system,Synchronised output regulation of heterogeneous networks with delayed and sampled-data communications,Cooperative output regulation for a class of non-linear multi-agent systems,Robust output synchronisation of non-identical linear agents via internal model principle,Distributed adaptive optimal regulation of uncertain large-scale interconnected systems using hybrid Q-learning approach,Distributed observer-based cooperative control for output regulation in multi-agent linear parameter-varying systems,Cooperative output regulation of linear heterogeneous systems with mismatched uncertainties via generalised extended state observer,Cooperative adaptive output regulation for linear multi-agent systems with actuator faults,Distributed coordination for a class of non-linear multi-agent systems with regulation constraints,Static output-feedback synchronisation of multi-agent systems: a secure and unified approach,Robust decentralized output regulation for uncertain heterogeneous systems,Cooperative semi-global robust output regulation of nonlinear uncertain multi-agent systems,Distributed output tracking control of heterogeneous linear agents,Output regulation of heterogeneous multi-agent systems: A graphical game approach,Robust cooperative output regulation of a linear multi-agent system with incomplete exosystem measurement,Consensus control of a class of nonlinear systems,Cooperative robust output regulation of linear minimum-phase multi-agent systems under switching network,Distributed robust control of linear multi-agent systems under directed topology,Zero-sum differential graphical game: Optimal synchronization for heterogeneous multi-agent system with additional antagonistic input,Output feedback control of heterogeneous multi-agent systems with stochastic sampled-data,Distributed output regulation of uncertain and switching multi-agent systems via internal model design,Distributed quadratic stabilization of uncertain linear multi-agent systems,Distributed output regulation for multi-agent systems with unknown communication delays,Sampled-data synchronized output regulation of linear system based on input delay approach,Cooperative output regulation of linear multi-agent systems by output feedback under intermittent communication topology,Semiglobal distributed output regulation of switching multi-agent systems via dynamic feedback,An impact-time-control guidance law for cooperative attack of multiple missiles,Internal model-based synthesis for networks of multiple multivariable systems,Cooperative control of uncertain multivehicle systems
A Combined Adaptive Neural Network and Nonlinear Model Predictive Control for Multirate Networked Industrial Process Control,"Tong Wang, Huijun Gao, Jianbin Qiu, ",2016,230
Generation control circuit for photovoltaic modules,"T. Shimizu, M. Hirakata, T. Kamezawa, H. Watanabe, ",2001,230,A reconfigurable solar photovoltaic array under shadow conditions,Maximum power point tracking architectures for photovoltaic systems in mismatching conditions: a review,Simple scheme to extract maximum power from series connected photovoltaic modules experiencing mismatched operating conditions,Analysis of a distributed maximum power point tracking tracker with low input voltage ripple and flexible gain range,Grid-tie inverter topology with maximum power extraction from two photovoltaic arrays,Photovoltaic-battery scheme to enhance PV array characteristics in partial shading conditions,Modularized buck-boost + Cuk converter for high voltage series connected battery cells,Sub-module differential power processing for photovoltaic applications,Enhancing micro-inverter energy capture with sub-module differential power processing,Enhanced differential power processor for PV systems: Resonant switched-capacitor gyrator converter with local MPPT,Non-isolated individual MPP trackers for series PV strings through partial current processing technique,A multilevel VR implementation and MIMO control scheme for vertically-stacked microprocessor cores,Feeding partial power into line capacitors for low cost and efficient MPPT of photovoltaic strings,Analysis of Photovoltaic Array Performance under shaded conditions,A photovoltaic string architecture with multiple single-phase inverter modules,Research on MPPT control of PV system based on PSO algorithm,Power compensation and efficiency promotion of PV modules under partially shaded condition,Modified Maximum Power Point tracking (MPPT) of grid-connected PV system under partial shading conditions,Overview of connection topologies for grid-connected PV systems,Modeling and analysis of the photovoltaic array faults,New topology and predictive control for photovoltaic application with inductive power decoupling capability,Experimental tests on a multilevel converter for grid-connected photovoltaic systems,A comparative theoretical analysis of distributed ladder converters for sub-module PV energy optimization,Comparative analysis of differential power conversion architectures and controls for solar photovoltaics,Multilevel Power-Point-Tracking for Variable-Conversion-Ratio Photovoltaic Ladder Converters,Asynchronous and distributed maximum power point tracking of series-connected photovoltaic sub-modules using differential power processing,Online spectroscopic diagnostics implemented in an efficient battery management system,A differential current compensation technique for PV systems under partially shaded condition,Model for Thermal Behavior of Shaded Photovoltaic Cells under Hot-Spot Condition,A new wide input range high efficiency photovoltaic inverter
3-D model-based tracking of humans in action: a multi-view approach,"D. M. Gavrila, L. S. Davis, ",1996,230,Multiple-human tracking using multiple cameras,Human body postures from trinocular camera images,Human action tracking guided by key-frames,Multiple cues used in model-based human motion capture,A framework for modeling the appearance of 3D articulated figures,Towards model-based gesture recognition,Detection and estimation of pointing gestures in dense disparity maps,Constraint-conscious smoothing framework for the recovery of 3D articulated motion from image sequences,Consistency and coupling in human model likelihoods,Human detection using geometrical pixel value structures,Human tracking using multiple-camera-based head appearance modeling,Multiple frame motion inference using belief propagation,Using histograms to detect and track objects in color video,Sequential Monte Carlo tracking of body parameters in a sub-space,Recognizing human activities,Human body pose estimation using silhouette shape analysis,Action Signature: A Novel Holistic Representation for Action Recognition,Multiple views based human motion tracking in surveillance videos,Vision-based animation of digital humans,Probability Evolutionary Algorithm based human motion tracking using voxel data,Automatic creation of flexible antropomorphic models for 3D videoconferencing,Real-time tracking and pose-estimation of walking human from silhouette images,A new hierarchical particle filtering for markerless human motion capture,A New Robust Approach for Real-Time Hand Detection and Gesture Recognition,Upper body pose estimation from stereo and hand-face tracking,Interactive Motion Recovery of Chinese Kung-Fu for Computer Games,Markerless Motion Capture using Multiple Cameras,Incremental tracking of human actions from multiple views,Singularity analysis for articulated object tracking,Shape reconstruction in projective grid space from large number of images
Adaptive control of a class of nonlinear systems with fuzzy logic,"Chun-Yi Su, Y. Stepanenko, ",1994,230,Indirect fuzzy contour tracking for X–Y PMSM actuated motion system applications,Robust Adaptive Control of Uncertain Nonlinear Systems Using Fuzzy Logic Systems,Numerical stability analysis of fuzzy control systems via quadratic programming and linear matrix inequalities,A fuzzy basis function vector-based multivariable adaptive controller for nonlinear systems,Upgrading catching up and shooting for par [PC market economics],An adaptive fuzzy sliding-mode controller for servomechanism disturbance rejection,A new approach to numerical stability analysis of fuzzy control systems,Adaptive control of a class of nonlinear systems with a first-order parameterized Sugeno fuzzy approximator,Experimental comparative analysis of adaptive fuzzy logic controllers,Adaptive control for a class of nonlinear systems with a time-varying structure,Decomposition property of fuzzy systems and its applications,Stable adaptive control using fuzzy systems and neural networks,Adaptive fuzzy control: experiments and comparative analyses,An improved stable adaptive fuzzy control method,Stable multi-input multi-output adaptive fuzzy/neural control,Robust tracking designs for both holonomic and nonholonomic constrained mechanical systems: adaptive fuzzy approach,Robust adaptive control using a universal approximator for SISO nonlinear systems,A stable adaptive fuzzy sliding-mode control for affine nonlinear systems with application to four-bar linkage systems,Adaptive fuzzy-based tracking control for nonlinear SISO systems via VSS and H/sup /spl infin// approaches,Adaptive control of a class of nonlinear systems with nonlinearly parameterized fuzzy approximators,Fuzzy model based adaptive control for a class of nonlinear systems,Direct adaptive fuzzy-neural control with state observer and supervisory controller for unknown nonlinear dynamical systems,A fuzzy disturbance observer and its application to control,Design of fuzzy direct adaptive controller and stability analysis for a class of nonlinear system,Statistical confidence measure of fuzzy logic system performance,Adaptive control for a class of time-varying nonlinear systems,Adaptive control of a class of nonlinear systems with nonlinearly parameterized fuzzy approximators,Uniformly ultimately bounded uncertain adaptive tracking control systems,Fuzzy indirect adaptive sliding mode tracking control for a class of nonlinear similar composite large-scale systems,Output-feedback control of uncertain nonlinear systems using adaptive fuzzy observer
Optimized Maximum Power Point Tracker for Fast-Changing Environmental Conditions,"Dezso Sera, Remus Teodorescu, Jochen Hantschel, Michael Knoll, ",2008,230
Recovering non-rigid 3D shape from image streams,"C. Bregler, A. Hertzmann, H. Biermann, ",2000,230,Bilinear Modeling via Augmented Lagrange Multipliers (BALM),Computing Smooth Time Trajectories for Camera and Deformable Shape in Structure from Motion with Occlusion,Stochastic Exploration of Ambiguities for Nonrigid Shape Recovery,What Shape Are Dolphins? Building 3D Morphable Models from 2D Images,Convolutional Sparse Coding for Trajectory Reconstruction,Shape-from-Template,Lifting Object Detection Datasets into 3D,Partial Sum Minimization of Singular Values in Robust PCA: Algorithm and Applications,Sequential Non-Rigid Structure from Motion Using Physical Priors,Spatio-Temporal Matching for Human Pose Estimation in Video,3D Reconstruction of Human Motion from Monocular Image Sequences,A Stable Analytical Framework for Isometric Shape-from-Template by Surface Integration,Learning Category-Specific Deformable 3D Models for Object Reconstruction,Sparse Representation for 3D Shape Estimation: A Convex Relaxation Approach,Kronecker-Markov Prior for Dynamic 3D Reconstruction,Robust Matrix Factorization by Majorization Minimization,Stratification Approach for 3-D Euclidean Reconstruction of Nonrigid Objects From Uncalibrated Image Sequences,RotoTexture: Automated Tools for Texturing Raw Video,Simultaneous motion segmentation and Structure from Motion,NRSfM using local rigidity,Mode-shape interpretation: Re-thinking modal space for recovering deformable shapes,Dense Batch Non-Rigid Structure from Motion in a Second,Accurate 3D Reconstruction of Dynamic Scenes from Monocular Image Sequences with Severe Occlusions,Subspace and motion segmentation via local subspace estimation,Improving the performance of non-rigid 3D shape recovery by points classification,Projective structure from facial motion,Learning Shape Motion and Elastic Models in Force Space,Dense Non-rigid Structure-from-Motion and Shading with Unknown Albedos,Space-Time Localization and Mapping,Uncalibrated non-rigid factorisation with automatic shape basis selection
